bangla_speech,combined,ipa_output
আমার বাসার দারওয়ান অনেক ভালো মানুষ,Sylhet  আমার বাসার দারওয়ান অনেক ভালা মানুষ ,ʃɔlhe  ɐmɐɾ bɐʃɐɾ d̪ɐɾoʷɐn ɔnek bʱɐlɐ mɐnuʃ 
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,Sylhet  আমার বন্ধু খুলনা বেরানিত গেছইন,sɔlhe  ɐmɐɾ bond̪ʱu kʰulnɐ beɾɐnɪt̪o gecʰo͡ɪ̯n
আমার ঘুরতে অনেক ভালো  লাগে,Sylhet  আমার বেরাইতে অনেক ভালা লাগে,ʃɔlhe  ɐmɐɾ beɾɐ͡ɪ̯t̪e ɔnek bʱɐlɐ lɐge
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,Sylhet  মুই বিদেশে গিয়া অনেক বেরাইতে চাই,ʃɔlhe  mu͡ɪ̯ bɪd̪eʃe gɪʲɐ ɔnek beɾɐ͡ɪ̯t̪e cɐ͡ɪ̯
তুমি আমাকে বিরক্ত করো না,Sylhet  তুমি মোরে বিরক্ত করবা না,ʃɔlhe  t̪umɪ moɾe bɪɾokt̪o koɾbɐ nɐ
তিনি আমাকে অনেক অপমান করেছে,Sylhet  তাইন মোরে অনেক অপমান করছইন,ʃɔlhe  t̪ɐ͡ɪ̯n moɾe ɔnek ɔpomɐn koɾcʰɪn
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,Sylhet  মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,ʃɔlhe  moɾ ʃɔkɐle utʰɪʲɐ bo͡ɪ̯ poɾt̪e ɔnek bʱɐlɐ lɐge
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,Sylhet  মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,ʃɔlhe  moɾ cʰoto bʱɐ͡ɪ̯ ɛkd̪ɔmɪ pɔɽɐlekʰɐ koɾt̪e cɐ͡ɪ̯n nɐ
আমার ছোট ভাই  বিদ্যালয়ে  যেতে চায় না,Sylhet  মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,ʃɔlhe  moɾ cʰoto bʱɐ͡ɪ̯ bɪd̪d̪ɐlɔe̯ ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,Sylhet  মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,ʃɔlhe  moɾ cʰoto bʱɐ͡ɪ̯ʲoɾ bɪd̪d̪ɐlɔʲe gɪʲɐ pɔɽɐlekʰɐ koɾt̪e bʱɐlɐ lɐge nɐnɪ
আমি একদিন  বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,Sylhet  মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম ,ʃɔlhe  mu͡ɪ̯ ɛkd̪ɪn bɪd̪d̪ɐlɔʲeɾ mɐtʰo mɐt̪ʰɐ gʱoɾɐ͡ɪ̯ʲɐ pʰoɾɪ gecʰɪlɐm 
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,Sylhet  আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,ʃɔlhe  ɐcʰone kɪt̪ɐ ɐmɐɾe konod̪ɪno bʱɐlɐ pʰɐ͡ɪ̯t̪ɐ nɐ
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,Sylhet  আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,ʃɔlhe  ɐmɐɾ bond̪ʱu ɐ͡ɪ̯ɟke ʃɔkɐle pʰutbɔl kʰelcʰe
তুমি আমার মনের কথা একদমই বুঝো না ,Sylhet  তুমি আমার ভিতরর মাত একদমই বুঝো না,ʃɔlhe  t̪umɪ ɐmɐɾ bʱɪt̪ɔɾɔɾ mɐt̪ ɛkd̪ɔmɪ buɟʱo nɐ
আমার আম্মু অনেক ভালো রান্না করে,Sylhet  আমার মাই অনেক ভালা রান্দা করইন, ʃɔlhe  ɐmɐɾ mɐ͡ɪ̯ ɔnek bʱɐlɐ ɾɐnd̪ɐ koɾɪn
আমার বন্ধু এখন ঘুমাতে যাবে,Sylhet  আমার বন্ধু এখন হুতনো যাইবো,ʃɔlhe  ɐmɐɾ bond̪ʱu ɛkʰon hut̪no ɟɐ͡ɪ̯bo
আমার ছোট বোন নাচতে পারে,Sylhet  আমার ছোট বোইন নাচতে ফারে,ʃɔlhe  ɐmɐɾ cʰoto boʲɔn nɐct̪e pʰɐɾe
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,Sylhet  আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো, ʃɔlhe  ɐmɐɾ bond̪ʱu ebɐɾ cʰutɪt̪e ɾɐɟʃɐhɪ pʰɐkɐnɪt̪o ɟɐ͡ɪ̯bo
আমার বন্ধু  যাকে ভালবাসে  সে রাজশাহী থাকে,Sylhet  আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,ʃɔlhe  ɐmɐɾ bond̪ʱu ɟɐɾe bʱɐlɐ pʰɐe̯ he ɾɐɟʃɐhɪ t̪ʰɐke
মেয়েটি  রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,Sylhet  ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,ʃɔlhe  pʰuɽɪtɐ ɾɐɟʃɐhɪ t̪ʰɐkɪ ɐmɐɾ bɔɽo bʱɐ͡ɪ̯ʲoɾ lɔge d̪ɛkʰɐ kɔɾɐt̪ ɐ͡ɪ̯cʰɔlɐ
মেয়েটি এখন সিলেট যাবে,Sylhet  ফুড়িটা এখইন সিলট যাইবা,ʃɔlho  pʰuɽɪtɐ exɪn sɪlɔt zɐ͡ɪ̯bɐ
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,Sylhet  আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,ʃɔlhe  ɐmɐɾ bɔɽo bʱɐ͡ɪ̯ ekʰɪn heɾ bond̪ʱud̪eɾ lɔge ʃɪgɐɾet kʰɐe̯ nɐ
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,Sylhet  আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,sɔlhe  ɐcʰone kɪt̪ɐ ɐmɐɾe ɐge konod̪ɪn d̪ekʰcʰɪlɐnɪ
আপনি কি আমাকে চিনতে পেরেছেন?,Sylhet  আফনে কিতা আমারে চিনইন নি,sɪhet  ɐcʰone kɪt̪ɐ ɐmɐɾe cɪnɪn nɪ
ছেলেটি আমাকে চিনতে পারল না,Sylhet  ফুয়াটায় আমারে চিনতে ফারলো না,ʃɔlhe  pʰuʲɐtɐe̯ ɐmɐɾe cɪnt̪e pʰɐɾlo nɐ
মেয়েটি তোমাকে  চিনতে পারল না,Sylhet  ফুড়িটায় তোমারে চিনতে ফারলো না,ʃɔlhe  pʰuɽɪtɐe̯ t̪omɐɾe cɪnt̪e pʰɐɾlo nɐ
আমার এখন পড়ালেখা করা উচিত,Sylhet  আমার এখইন ফড়ালেখা করা উচিৎ,ʃɔlhe  ɐmɐɾ exɪn fɔɽɐlexɐ kɔɾɐ ucɪt̪
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,Sylhet  অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,ʃɔlhe  ɔnek ɾɐ͡ɪ̯t̪o e͡ɪ̯cʰe ekʰɪn ɐmɐɾ cʰoto boʲɔn gʱumɐ͡ɪ̯t̪e ɟɐ͡ɪ̯bo
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,Sylhet  আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,ʃɔlhe  ɐmɐke poɾɪkkʰɐɾ ɐge hokol kɪcʰu nɪʲɐ pʰɔɽɐlekʰɐ koɾt̪o ɔ͡ɪ̯bo
আমার ছোট ভাই বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Sylhet  আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,ʃɔlhe  ɐmɐɾ cʰoto bʱɐ͡ɪ̯ bɪd̪d̪ɐlɔe̯ gɪʲɐ bond̪ʱud̪eɾ lɔge gɔlpo koɾɪn
আমার বন্ধু বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Sylhet  আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট  খেলইন,ʃɔlhe  ɐmɐɾ bond̪ʱu bɪd̪d̪ɐlɔʲeɾ mɐtʰo pʰot̪ɪd̪ɪn kɾɪket  kʰelɪn
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,Sylhet  একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,ʃɔlhe  ɛktɐ cʰoto bɐ͡ɪ̯ccɐ pʰutpɐt̪e lɐpʰɐ͡ɪ̯ɾɐ
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,Sylhet  আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,ʃɔlhe  ɐmɐɾ bɐnd̪ʱobɪ t̪ɐɾ ʃɐmɪɾe kʰub bʱɐlɐ pʰɐe̯
আমার স্ত্রী আমাকে  ভালোবাসে না,Sylhet  আমার স্ত্রী আমারে ভালা ফায় না,ʃɔlho  ɐmɐɾ st̪ɾɪ ɐmɐɾe bʱɐlɐ pʰɐe̯ nɐ
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের  প্রেম ছিলো,Sylhet  স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,ʃɔlho  skul ɟɪbɔn t̪ʰɐkɪ ɐmɐɾ bʱɐ͡ɪ̯ʲoɾ lɔge t̪omɐɾ boʲɔnoɾ pɾem ɐcʰɪlo
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,Sylhet  আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,ʃɔlhe  ɐmɐɾ gɔt̪okɐ͡ɪ̯l pɾocɔnd mɐt̪ʰɐ bed̪onɐ koɾcʰɪlo
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,Sylhet  মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,ʃɔlhe  mu͡ɪ̯ t̪omɐɾ kon mɐt̪ kɪccʰu͡ɪ̯ buɟʱt̪e pʰɐɾlɐm nɐ
তোমার  হাশির কাছে আমার সব কিছু হার মেনে যায়,Sylhet  তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,ʃɔlhe  t̪omɐɾ hɐʃɪɾ kɐcʰe ɐmɐɾ hokol kɪcʰu hɐɾ mɐnɪʲɐ ɟɐe̯
তোমার  চোখ দুটো অনেক সুন্দর,Sylhet  তোমার চোউক দুইটা অনেক সুন্দর ,ʃɔlhe  t̪omɐɾ co͡u̯k d̪u͡ɪ̯tɐ ɔnek ʃund̪ɔɾ 
তোমার সাথে অনেক দিন পর  দেখা,Sylhet  তোমার লগে অনেক দিন পর দেখা,ʃɔlhe  t̪omɐɾ lɔge ɔnek d̪ɪn pɔɾ d̪ɛkʰɐ
ছেলেটি  বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,Sylhet  ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ʃɔlhe  pʰuʲɐtɐ bɪd̪oʃo gɪʲɐ pʰɔɽɐlekʰɐ kɔɾɐɾ ʃɔpno d̪ekʰe
তোমার  সাথে কথা বলে আমার অনেক ভালো লাগলো,Sylhet  তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে, ʃɔlhe  t̪omɐɾ lɔge mɐt̪ɪʲɐ ɐmɐɾ ɔnek bʱɐlɐ lɐgcʰe
তোমার বন্ধুর সাথে পরিচিত হয়ে  ভালো লাগলো,Sylhet  তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,ʃɔlhe  t̪omɐɾ bond̪ʱuɾ lɔge poɾɪcɔt̪o ho͡ɪ̯ʲɐ bʱɐlɐ lɐglo
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Sylhet  আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,ʃɔlhe  ɐmɐɾ ɐbbu ɐɾ cɐcɐɾ mod̪d̪ʱe ɟɐʲgɐ ɟomɪ nɪʲɐ mɐ͡ɪ̯ɾ ɔe̯
লোকটি কিছু দিন আগে  বিয়ে করেন,Sylhet  লোকটা কিছুদিন আগে বিয়া করছইন,ʃɔlhe  loktɐ kɪcʰud̪ɪn ɐge bɪʲɐ koɾcʰo͡ɪ̯n
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,Sylhet  প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,ʃɔlhe  pɾot̪ʰome t̪omɐke ɛktɐ bo͡ɪ̯ʲeɾ d̪okʰɐno ɟɐ͡ɪ̯t̪e ho͡ɪ̯bo
বেশি কিছু বলার আগেই  আবেগে চোখে পানি চলে আসছে,Sylhet  বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,ʃɔlhe  beʃɪ kɪcʰu bɔlɐɾ ɐge͡ɪ̯ ɐbege co͡u̯k eɾ pʰɐnɪ cɔle ɐ͡ɪ̯t̪ecʰe
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,Sylhet  আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,ʃɔlhe  ɐpʰnɐɾ bond̪ʱud̪eɾ gɐlɪ d̪e͡o̯ʷɐɾ ʃuɟe͡ɐ̯g ko͡ɪ̯ɾɐ d̪ɪn
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,Sylhet  অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,ʃɔlhe  ɔnek mɐnuʃ exono pecʰono lɐ͡ɪ̯no d̪ɐ̃ɽɪʲɐ ɐcʰo͡ɪ̯n
একজন মহিলা  মারা গেছেন,Sylhet  একজন বেডি মারা গেছইন,ʃɔlhe  ɛkɟon bedɪ mɐɾɐ gecʰo͡ɪ̯n
আপনি  এত গরীব আগে কেন বলেননি,Sylhet  আফনি এত গরীব আগে কেনে কইলা না,ʃɔlhe  ɐcʰonɪ ɛt̪o goɾɪb ɐge kene ko͡ɪ̯lɐ nɐ
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,Sylhet  তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,ʃɔlhe  t̪umɪ cʰɐɽɐ e͡ɪ̯ pɾɪt̪ʰɪbɪt̪e ɐmɐɾ ɐɾ ke͡u̯ nɐ͡ɪ̯
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,Sylhet  মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,ʃɔlhe  mu͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɔlɐm t̪omɐɾe nɪʲɐ bɪd̪eʃ pʰɐkɐ͡ɪ̯t̪e cɐ͡ɪ̯
আমার আম্মু আমাকে সবার  সামনে মারতে মারতে বাসায় নিয়ে আসে,Sylhet  আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে, sɔlɔt  ɐmɐɾ ɐmmɐ ɐmɐke hɔkoleɾ ʃɐmne mɐɾt̪e mɐɾt̪e bɐʃɐt̪ nɪʲɐ ɐ͡ɪ̯cʰe
আপনি কি জানেন  এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,Sylhet  আফনি কিতা জানেন এখানে অনেক ফুয়াইন কমেন্ট ফরাত আইবা,ʃɔlho  ɐcʰonɪ kɪt̪ɐ ɟɐnen ekʰɐne ɔnek pʰuʲɐ͡ɪ̯n kɔment pʰɔɾɐt̪ ɐ͡ɪ̯bɐ
আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,Sylhet  আবেগর ভালোবাসা কাউকে দেওয়া উচিৎ না,ʃɔlhe  ɐbegoɾ bʱɐlobɐʃɐ kɐ͡u̯ke d̪e͡o̯ʷɐ ucɪt̪ nɐ
একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,Sylhet  একদিন বিবেকের কাছে আবেগর ভালোবাসা হারিয়া যাইবো,ʃɔlhe  ɛkd̪ɪn bɪbekeɾ kɐcʰe ɐbegoɾ bʱɐlobɐʃɐ hɐɾɪʲɐ ɟɐ͡ɪ̯bo
আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,Sylhet  আমার মনের ভালোবাসা চিরদিন তোমার লাগি থাইকা যাইবো ,ʃɔlhe  ɐmɐɾ moneɾ bʱɐlobɐʃɐ cɪɾod̪ɪn t̪omɐɾ lɐgɪ t̪ʰɐ͡ɪ̯kɐ ɟɐ͡ɪ̯bo 
জীবনে একা একা পথ চলা অনেক কঠিন,Sylhet  জীবনে একলা একলা ফথ চলা অনেক কঠিন,ʃɔlhe  ɟɪbone ɛklɐ ɛklɐ pʰɔt̪ʰ cɔlɐ ɔnek kotʰɪn
আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,Sylhet  আমার জীবন মুই তোমারে নিয়া বাঁচার লাগি দিমু,ʃɔlhe  ɐmɐɾ ɟɪbɔn mu͡ɪ̯ t̪omɐɾe nɪʲɐ bɐ̃cɐɾ lɐgɪ d̪ɪmu
আমার ভালবাসা  দিয়ে  সারাজীবন তোমার পাশে থাকতে চাই,Sylhet  আমার ভালুবাসা দিয়া হারাজীবন তোমার লগে থাকতে চাই,ʃɔlhe  ɐmɐɾ bʱɐlubɐʃɐ d̪ɪʲɐ hɐɾɐɟɪbɔn t̪omɐɾ lɔge t̪ʰɐkt̪e cɐ͡ɪ̯
তোমাকে কি করে বুঝাবো তোমাকে কতটা ভালবাসি?,Sylhet  তোমাকে কি করে বুঝাইমু তোমারে কতটা ভালো ফাই?,ʃɔlhe  t̪omɐke kɪ koɾe buɟʱɐ͡ɪ̯mu t̪omɐɾe kɔt̪otɐ bʱɐlo pʰɐ͡ɪ̯?
আপনাকে দেখে আমি দেখে থমকে দারিয়ে ছিলাম,Sylhet  আফনারে দেইখ্খা মুই দেইখ্খা থমকে উবানিত আছলাম,ʃɔlhe  ɐpʰnɐɾe d̪e͡ɪ̯kʰkʰɐ mu͡ɪ̯ d̪e͡ɪ̯kʰkʰɐ ɛmke ubɐnɪt̪o ɐcʰlɐm
আপনি  খুব কষ্টে নিজেকে সামলে নিয়েছেন,Sylhet  আফনি খুব কষ্টে নিজরে সামলে নিয়াছইন,ʃɔlhe  ɐcʰonɪ kʰub koʃte nɪɟɔɾe ʃɐmle nɪʲɐcʰɪn
আমার বান্ধুবি কিছু ভাবতে পারেনা আপনাকে  ছাড়া,Sylhet  আমার বান্ধবী কিচ্ছু ভাবতে ফারে না আফনাকে ছাড়া,ʃɔlhe  ɐmɐɾ bɐnd̪ʱobɪ kɪccʰu bʱɐbt̪e pʰɐɾe nɐ ɐpʰnɐke cʰɐɽɐ
আমার বন্ধু কিছু লিখতে পারেনা  আপনার নাম ছাড়া,Sylhet  আমার বন্ধু কিচ্ছু লিখতে ফারে না আফনার নাম ছাড়া,ʃɔlhe  ɐmɐɾ bond̪ʱu kɪccʰu lɪkʰt̪e pʰɐɾe nɐ ɐpʰnɐɾ nɐm cʰɐɽɐ
আপনাকে ভালোবাসি  এই কথাটি বলা বাকি,Sylhet  আফনারে ভালাফাই এই কথাটি বলার বাকি,ʃɔlhe  ɐpʰnɐɾe bʱɐlɐpʰɐ͡ɪ̯ e͡ɪ̯ kɔt̪ʰɐtɪ bɔlɐɾ bɐkɪ
আমার আব্বুর খুব গরম লাগছে,Sylhet  আমার বাফর খুব গরম লাগছে,ʃɔlhe  ɐmɐɾ bɐpʰɔɾ kʰub gɔɾom lɐgcʰe
আমার ছোট বোনের গরম লাগছে,Sylhet  আমার ছোট বোইনর গরম লাগছে,ʃɔlhe  ɐmɐɾ cʰoto bo͡ɪ̯nɔɾ gɔɾom lɐgcʰe
এই শিশুটির অনেক ঠাণ্ডা লাগছে,Sylhet  এই শিশুটার অনেক ঠান্ডা লাগসে,ʃɔlhe  e͡ɪ̯ ʃɪʃutɐɾ ɔnek tʰɐndɐ lɐgʃe
আমার বন্ধুর খুব মন খারাপ,Sylhet  আমার বন্ধুর খুব বিতর খারাফ,ʃɔlhe  ɐmɐɾ bond̪ʱuɾ kʰub bɪt̪oɾ kʰɐɾɐpʰ
আম্মু আমার জন্য নীল শাড়ি কিনে এনেছে,Sylhet  মাই আমার লাগি নীল শাড়ি কেনিয়া আনছইন,ʃɔlhe  mɐ͡ɪ̯ ɐmɐɾ lɐgɪ nɪl ʃɐɽɪ kenɪʲɐ ɐncʰɪn
আমি আমার বন্ধুকে  একটি লাল গোলাপ কিনে উপহার দিয়েছি,Sylhet  মুই আমার বন্ধুকে একটা লাল গোলাফ কিনিয়া উপহার দিয়াছি,ʃɔlhe  mu͡ɪ̯ ɐmɐɾ bond̪ʱuke ɛktɐ lɐl golɐpʰ kɪnɪʲɐ upohɐɾ d̪ɪʲɐcʰɪ
আমি আমার স্বামীর সাথে বিকালে পার্কে ঘুরতে যাব,Sylhet  মুই আমার স্বামীর লগে বিয়ানে পার্কে ফাকানিত যাইমু,ʃɔlhe  mu͡ɪ̯ ɐmɐɾ ʃɐmɪɾ lɔge bɪʲɐne pɐɾke pʰɐkɐnɪt̪o ɟɐ͡ɪ̯mu
কাউকে ভালোবাসা দেওয়াতেই বেশি আনন্দ লাগে আমার,Sylhet  কাউকে ভালোবাসা দেওয়াতেই বেশি কুশি লাগে আমার,ʃɔlhe  kɐ͡u̯ke bʱɐlobɐʃɐ d̪e͡o̯ʲɐt̪e͡ɪ̯ beʃɪ kuʃɪ lɐge ɐmɐɾ
"যদি তুমি আমার কাছে ফিরে আস ,তবে তাকে ছেড়ে দাও","Sylhet  যদি তুমি আমার কাছে ফিরে আসো, তবে তাকে ছেড়ে দাও","ʃɔlhe  ɟod̪ɪ t̪umɪ ɐmɐɾ kɐcʰe pʰɪɾe ɐʃo, t̪ɔbe t̪ɐke cʰeɽe d̪ɐ͡o̯"
সে তোমার জন্য সব কিছু করতে পারে,Sylhet  সে তোমার লাগি সব কিছু করতে ফারে,ʃɔlhe  ʃe t̪omɐɾ lɐgɪ ʃɔb kɪcʰu koɾt̪e pʰɐɾe
আপনি যে মানুষটিকে ভালবাসবেন  তাকে যদি না বুঝতে পারেন  তাহলে আপনার এই প্রেমের কোনো অর্থ নেই,Sylhet  আফনি যে মানুষটাকে ভালাফাইবেন তাকে যদি না বুঝবার ফারইন তাহলে আফনার এই প্রেমের কোনো অর্থ নাই,ʃɔlhe  ɐcʰonɪ ɟe mɐnuʃtɐke bʱɐlɐpʰɐ͡ɪ̯ben t̪ɐke ɟod̪ɪ nɐ buɟʱbɐɾ pʰɐɾɪn t̪ɐhole ɐpʰnɐɾ e͡
আপনি নিজে অসুখী হয়ে কিভাবে অন্যকে ভালোবেসে সুখী করবেন,Sylhet  আফনি নিজে অসুখী হয়ে কিলা অন্যকে ভালোবাসিয়া সুখী করবা,ʃɔlhe  ɐcʰonɪ nɪɟe ɔʃukʰɪ hoʲe kɪlɐ ɔnnoke bʱɐlobɐʃɪʲɐ ʃukʰɪ koɾbɐ
