bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
অফিসে,oɸis̪e,অপিসে,ɔpɪʃe,অফিসো,ɔpʰɪso,অফিসে,ɔpʰɪse,হালাই,hɐlɐ͡ɪ̯,চারা,cɐɾɐ,Office,,
অফিসের,oɸis̪erɔ,অপিসের,ɔpɪseɾ,অফিসর,ɔfɪʃɔɾ,অফিসের,ɔpʰɪseɾ,অফিসের,ɔpʰɪseɾ,আফিসর,ɐfɪʃɔɾ,Office,,
অফুরন্ত,oɸurɔn̪t̪ɔ,একছের,ɛkcʰeɾ,অফুরন্ত,ɔpʰuɾont̪o,অফুরন্ত,ɔpʰuɾont̪o,অফুরন্ত,ɔpʰuɾont̪o,আফুরন্ত,ɐfuɾɔnt̪o,Endless,,
অবদানই,obd̪an̪i,অবদানই,ɔbod̪ɐnɪ,অবদান,ɔbod̪ɐn,অবদানই,ɔbod̪ɐnɪ,মার,mɐɾ,আবদানই,ɐbd̪ɐnɪ,Contribution,,
অবলা,obl̪a,অবলা,ɔblɐ,বেচারা,becɐɾɐ,অবলা,ɔblɐ,অবলা,ɔblɐ,সহজ,ʃɔhoz,Inhalation,,
অবশ্যই,obɔɕd͡zi,ঠিকই,tʰɪkɪ,ঠিকউ,tʰɪku,অবশ্যই,ɔboʃʃo͡ɪ̯,অবশ্যই,ɔboʃʃo͡ɪ̯,এক,ɛk,In course,,
অবস্থা,obɔs̪t̪ʰa,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্তা,ɔbost̪ɐ,Condition,,
অবাক,obak,অবাক,ɔbɐk,তাইজ্জব,t̪ɐ͡ɪ̯ɟɟɔb,অবাক,ɔbɐk,অবাক,ɔbɐk,অইলাম,ɔ͡ɪ̯lɐm,Surprise,,
অবাক,obakɔ,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,Surprise,,
অবিবাহিত,obibahit̪,আবিয়াইত্যা,ɐbɪʲɐ͡ɪ̯t̪t̪ɐ,আবিয়াতি,ɐbɪʲɐt̪ɪ,অবিবাহিত,ɔbɪbɐhɪt̪o,অবিবাহিত,ɔbɪbɐhɪt̪o,আ-বিয়াইত্তে,ɐ-bɪʲɐ͡ɪ̯t̪t̪e,Single,,
অভিনয়,ob̤in̪e̯ɔ,নাটক,koɾt̪e,অভিনয়,obʱɪnɔe̯,অভিনয়,obʱɪnɔe̯,অবিনয়,ɔbɪnɔe̯,অবিনয়,ɔbɪnɔe̯,Acting,,
অভিভাবকের,ob̤ib̤abkerɔ,অভিভাবক,obʱɪbʱɐbok,বাড়ির,bɐɽɪɾ,অভিভাবকের,obʱɪbʱɐbokeɾ,যায়ধো,ɟɐʲd̪ʱo,হোনো,hono,Guardian,,
অভিযোগ,ob̤id͡zoɡɔ,বিচার,bɪcɐɾ,অভিযোগ,ovɪzog,অভিযোগ,obʱɪɟog,অভিযোগ,obʱɪɟog,অবিযোগ,ɔbɪzog,Complaint,,
অভ্যাস,ob̤d͡zas̪,অব্বাস,ɔbbɐʃ,চালানির,cɐlɐnɪɾ,অভ্যাস,ɔbbʱɐʃ,চালানির,cɐlɐnɪɾ,চালানোর,cɐlɐnoɾ,Habit,,
অভ্যাস,ob̤d͡zas̪ɔ,অভ্যাস,ɐcʰe?,অভ্যাস,ɔbbʱɐʃ,অভ্যাস,ɔbbʱɐʃ,ঐববাস,o͡ɪ̯bbɐʃ,অব্বাস,ɔbbɐʃ,Habit,,
অমনোযোগী,omn̪od͡zoɡi,অমনযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonozogɪ,Innocent,,
অযোগ্য,od͡zoɡɔd͡zɔ,অযোগ্য,ɔɟoggo,আকাইম্মা,ɐkɐ͡ɪ̯mmɐ,অযোগ্য,ɔɟoggo,অযোইগ্যা,ɔɟo͡ɪ̯gkɐ,অযোগ্য,ɔzoggo,Ineligible,,
অর্জন,ord͡ʑɔn̪ɔ,অর্জন,ɔɾɟon,লইছি,lo͡ɪ̯cʰɪ,অর্জন,ɔɾɟon,কইচ্ছী,ko͡ɪ̯ccʰɪ,ডিগ্রি,dɪgɾɪ,Achievement,,
অর্থনৈতিক,ort̪ʰɔn̪ojt̪ikɔ,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,Economic,,
অর্ধেকই,ord̪̤eki,আধখানই,ɐd̪ʱkʰɐnɪ,মাইনষর,mɐ͡ɪ̯nʃɔɾ,অর্ধেকই,ɔɾd̪ʱekɪ,জনসংখ্যার,bedɪ,অদ্দকই,ɔd̪d̪okɪ,Half,,
অলস,ol̪ɔs̪ɔ,আইলসা,ɐ͡ɪ̯lʃɐ,অলস,ɔloʃ,অলস,ɔlɔʃo,অলস,ɔlɔʃo,ফ্রচন্ড,fɾocɔnd,Lazy,,
অশান্তি,oɕan̪t̪i,অশান্তি,ɔʃɐnt̪ɪ,অশান্তি,ɔʃɐnt̪ɪ,অশান্তি,ɔʃɐnt̪ɪ,ওকগা,okgɐ,অশান্তি,ɔʃɐnt̪ɪ,Turmoil,,
অশিক্ষিত,oɕikʂit̪,অশিক্ষিত,oʃɪkkʰɪt̪o,গন্ডোমূর্খ,gɔndomuɾkʰo,অশিক্ষিত,oʃɪkkʰɪt̪o,হে,he,সে,ʃe,Illiterate,,
অশিক্ষিত,oɕikʂit̪ɔ,অশিক্ষিত,oʃɪkkʰɪt̪o,বখলম,bokʰlom,অশিক্ষিত,oʃɪkkʰɪt̪o,অশিক্ষিত,oʃɪkkʰɪt̪o,অশিক্ষিত,oʃɪkxɪt̪o,Illiterate,,
অসম্ভব,os̪ɔmb̤ɔbɔ,একছের,ɛkcʰeɾ,অসম্ভব,ɔʃɔmbʱɔb,অসম্ভব,ɔʃɔmvɔb,অসম্ভব,ɔʃɔmbʱɔb,অসম্ভব,ɔʃɔmvɔb,Impossible,,
অসহায়,os̪ɔhae̯ɔ,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,Helpless,,
অসাধারণ,os̪ad̪̤arɔnɔ,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাদারন,ɔʃɐd̪ɐɾon,Extraordinary,,
অসুখ,os̪ukʰɔ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুস্থ,ɔʃust̪ʰo,Illness,,
অসুখী,os̪ukʰi,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃuxɪ,Unhappy,,
অসুখে,os̪ukʰe,অসুখে,ɔʃukʰe,অসুখে,ɔʃuxe,অসুখে,ɔʃukʰe,অসুখে,ɔʃukʰe,হয়েক,hoʲek,Ill,,
অসুবিধা,os̪ubid̪̤a,অসুবিধা,ɔʃubɪd̪ʱɐ,অসুবিধা,ɔʃubɪd̪ʱɐ,অসুবিধা,ɔʃubɪd̪ʱɐ,আসুবিধা,ɐʃubɪd̪ʱɐ,অসুবিদা,ɔʃubɪd̪ɐ,Disadvantage,,
অসুস্থ,os̪us̪t̪ʰɔ,অসুস্থ,ɔʃust̪ʰo,অসুখ,ɔʃukʰ,অসুস্থ,ɔʃust̪ʰo,ইয়া,ɪʲɐ,ইবা,ɪbɐ,Ill,,
অসুস্থতার,os̪us̪t̪ʰɔt̪arɔ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,বেমারর,bemɐɾoɾ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,অসুস্ততার,ɔʃust̪ot̪ɐɾ,Illness,,
আঁকতে,aঁkɔt̪e,আঁকতে,ɐ̃kt̪e,আঁকাইতে,ɐ̃kɐ͡ɪ̯t̪e,আঁকতে,ɐ̃kt̪e,ছবি,cʰobɪ,আঁকতাম,ɐ̃kɔt̪ɐm,Drawing,,
আঁকে,aঁke,আঁকে,ɐ̃ke,আকইন,ɐkɪn,আঁকে,ɐ̃ke,আঁকে,ɐ̃ke,ছবি,cʰobɪ,Draw,,
আঁচল,aঁt͡ɕɔl̪ɔ,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আচল,ɐcol,Lodge,,
আইডিটা,aidita,আইডি,ɐ͡ɪ̯dɪ,আইডি,ɐ͡ɪ̯dɪ,আইডিটা,ɐ͡ɪ̯dɪtɐ,আইডিকান,ɐ͡ɪ̯dɪkɐn,আইডি,ɐ͡ɪ̯dɪ,Ideta,,
আকাশ,akaɕɔ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,নিল,nɪl,Sky,,
আকাশে,akaɕe,আকাশে,ɐkɐʃe,আখাশর,ɐkʰɐʃoɾ,আকাশে,ɐkɐʃe,আকাশে,ɐkɐʃe,আস্সানর,ɐssɐnoɾ,In the sky,,
আকাশের,akaɕerɔ,আকাশের,ɐkɐʃeɾ,আকাশর,ɐkɐʃoɾ,আকাশের,ɐkɐʃeɾ,আকাশের,ɐkɐʃeɾ,আকাশর,ɐkɐʃoɾ,Sky,,
আগামিকাল,aɡamikal̪ɔ,কাইলগো,kɐ͡ɪ̯lgo,আগামীকাল,ɐgɐmɪkɐl,কালকে,kɐloke,আগোমি,ɐge͡ɐ̯mɪ,আগামি,ɐgɐmɪ,Tomorrow,,
আগে,aɡe,আগে,ɐge,আগে,ɐge,একবার,ɛkbɐɾ,আগে,ɐge,আগে,ɐge,Before,,
চলতেই,t͡ɕɔl̪ɔt̪ei,চলতেই,cɔlt̪e͡ɪ̯,চলতোউ,cɔlɔt̪o͡u̯,চলতেই,cɔlt̪e͡ɪ̯,চইলতেই,cɪlt̪e͡ɪ̯,নো,no,On,,
চলল,t͡ɕɔl̪ɔl̪ɔ,বইললা,bo͡ɪ̯llɐ,যার,zɐɾ,চলল,colol,চললো,cɔllo,যার,zɐɾ,Go,,
চলা,t͡ɕɔl̪a,চলা,cɔlɐ,চলা,cɔlɐ,চলন,cɔlon,চলা,cɔlɐ,তেমন,kotɪn,Run,,
চলার,t͡ɕɔl̪arɔ,যাওয়ার,ɟɐ͡o̯ʷɐɾ,আওগাইয়া,ɐ͡o̯gɐ͡ɪ̯ʲɐ,চলার,cɔlɐɾ,যানের,ɟɐneɾ,আগাই,ɐgɐ͡ɪ̯,Walking,,
চলে,t͡ɕɔl̪e,আইছে,ɐ͡ɪ̯cʰe,ফানি,pʰɐnɪ,চইলা,cɔ͡ɪ̯lɐ,হানি,hɐnɪ,চলি,colɪ,Leaving,,
চলোনা,t͡ɕɔl̪on̪a,লও,lɔ͡o̯,চলোনা,cɔlonɐ,চলোনা,cɔlonɐ,চলোনা,cɔlonɐ,আডো,ɐdo,Not moving,,
চা,t͡ɕa,খাবা?,kʰɐbɐ?,চা,cɐ,চা,cɐ,চা,cɐ,চা,cɐ,Tea,,
চাঁদ,t͡ɕɔ̃d̪ɔ,চাঁন,cɐ̃n,ছান,cʰɐn,চাঁদ,cɐ̃d̪,চাদ,cɐd̪,চাঁদ,cɐ̃d̪,Moon,,
চাঁদের,t͡ɕɔ̃d̪erɔ,চান্দের,cɐnd̪eɾ,চাঁদের,cɐ̃d̪eɾ,চাঁন্দের,mɪʃtɪ,চাঁদের,cɐ̃d̪eɾ,চাদর,cɐd̪oɾ,Moon,,
চাই,t͡ɕai,চাই,cɐ͡ɪ̯,চাই,cɐ͡ɪ̯,চাই,cɐ͡ɪ̯,ঘুইত্তাম,gʱu͡ɪ̯t̪t̪ɐm,চাই,cɐ͡ɪ̯,Desire,,
চাইছি,t͡ɕait͡ɕʰi,চাই,cɐ͡ɪ̯,চাইয়ার,cɐ͡ɪ̯ʲɐɾ,চাইতাসি,cɐ͡ɪ̯t̪ɐʃɪ,চাইছি,cɐ͡ɪ̯cʰɪ,চাই,cɐ͡ɪ̯,Sink,,
চাইতে,t͡ɕait̪e,চাইতে,cɐ͡ɪ̯t̪e,চাইতে,cɐ͡ɪ̯t̪e,দামি,d̪ɐmɪ,চাইতে,cɐ͡ɪ̯t̪e,বেজ্ঞুনরতুন,beggunɔɾt̪un,To,,
চাইবো?,t͡ɕaibo?,চামু?,cɐmu?,চাইতাম?,cɐ͡ɪ̯t̪ɐm?,চায়াম?,cɐʲɐm?,চাইয়ুম?,cɐ͡ɪ̯ʲum?,চাইয়ুম,cɐ͡ɪ̯ʲum,Want,,
চাইল,t͡ɕail̪,চাইছে,cɐ͡ɪ̯cʰe,চাইছিল,cɐ͡ɪ̯cʰɪlo,চাইল,cɐ͡ɪ̯l,চাইলো,cɐ͡ɪ̯lo,যাইতু,ɟɐ͡ɪ̯t̪u,Desire,,
চাইল,t͡ɕail̪ɔ,চাইছে,cɐ͡ɪ̯cʰe,চাইলো,cɐ͡ɪ̯lo,চাইল,cɐ͡ɪ̯l,চাইল,cɐ͡ɪ̯l,চাইয়ে,cɐ͡ɪ̯ʲe,Desire,,
চাইলাম,t͡ɕail̪amɔ,চাইছেলাম,cɐ͡ɪ̯cʰelɐm,হখানও,hɔkʰɐno,চাইলাম,cɐ͡ɪ̯lɐm,চাইলাম,cɐ͡ɪ̯lɐm,ইয়ানতও,ɪʲɐnt̪o,Want,,
চাইলে,t͡ɕail̪e,চাইলে,cɐ͡ɪ̯le,মন,mon,চাইলে,cɐ͡ɪ̯le,চাইলে,cɐ͡ɪ̯le,চাইলে,cɐ͡ɪ̯le,In wanting,,
চাইলেই,t͡ɕail̪ei,চাইলেই,cɐ͡ɪ̯le͡ɪ̯,চাইলেউ,cɐ͡ɪ̯le͡u̯,চাইলেই,cɐ͡ɪ̯le͡ɪ̯,চাইলেই,cɐ͡ɪ̯le͡ɪ̯,সাইলেও,sɐ͡ɪ̯le͡o̯,For,,
চাও,t͡ɕao,চাও,cɐ͡o̯,চাও,cɐ͡o̯,চাও,cɐ͡o̯,চো,co,নে,ne,Want,,
চাও?,t͡ɕao?,চাও?,cɐ͡o̯?,চাও,cɐ͡o̯,চাও?,cɐ͡o̯?,চাস?,cɐʃ?,নে?,ne?,Want,,
চাওয়া,t͡ɕaoe̯a,চাওয়া,cɐ͡o̯ʷɐ,চাওয়া,cɐ͡o̯ʷɐ,চাওয়া,cɐ͡o̯ʷɐ,চাওয়া,cɐ͡o̯ʷɐ,চন,cɔn,Seek,,
চাওয়ার,t͡ɕaoe̯arɔ,চাওয়ার,cɐ͡o̯ʷɐɾ,চাওয়ার,cɐ͡o̯ʷɐɾ,চাওয়ার,cɐ͡o̯ʷɐɾ,চাওয়ার,cɐ͡o̯ʷɐɾ,চন,cɔn,Seeking,,
চাকরি,t͡ɕakri,চাকরি,cɐkɾɪ,চাকরি,cɐkɾɪ,চাকরি,cɐkɾɪ,চাকরি,cɐkɾɪ,চঅরি,cɔ͡o̯ɾɪ,Employment,,
চাকরির,t͡ɕakrirɔ,চাকরির,cɐkoɾɪɾ,দিয়া,d̪ɪʲɐ,চাকরির,cɐkoɾɪɾ,চাকরির,cɐkoɾɪɾ,চরির,coɾɪɾ,Job,,
চাচা,t͡ɕat͡ɕa,চাচায়,cɐcɐe̯,চাচা,cɐcɐ,চাচা,cɐcɐ,আর,ɐɾ,চাচা,cɐcɐ,Uncle,,
চাচার,t͡ɕat͡ɕarɔ,চাচার,cɐcɐɾ,চাচার,cɐcɐɾ,চাচার,cɐcɐɾ,চাচার,cɐcɐɾ,চাচা,cɐcɐ,Clerk,,
চাচারাও,t͡ɕat͡ɕarao,চাচারাও,cɐcɐɾɐ͡o̯,চাচায়,cɐcɐe̯,চাচারাও,cɐcɐɾɐ͡o̯,চাচারাও,cɐcɐɾɐ͡o̯,চাচা,cɐcɐ,Uncle,,
চাচ্ছি,t͡ɕat͡ɕt͡ɕʰi,চাইতেয়াছি,cɐ͡ɪ̯t̪eʲɐcʰɪ,উপায়,upɐe̯,চাইতাসি,cɐ͡ɪ̯t̪ɐʃɪ,চাইয়ের,cɐ͡ɪ̯ʲeɾ,যাইর,zɐ͡ɪ̯ɾ,Want,,
