bangla_speech,regional,regional_ipa,bangla_speech_ipa
আম দিয়ে বানিয়ে ফেলতে পারেন শরবত, চিটাগাং আম দি বানাইত্লেতারিবানা মু দিয়েরে ফারিবানা শরবন,cɪtɐgon ɐm d̪ɪ bɐnɐ͡ɪ̯t̪let̪ɐɾɪbɐnɐ mu d̪ɪʲeɾe pʰɐɾɪbɐnɐ ʃɔɾbon,amɔ d̪ie̯e ban̪ie̯e ɸel̪t̪e paren̪ɔ ɕɔrɔbɔt̪ɔ
আজকে স্কুলে তোমাদের কি কি পড়িয়েছে? , চিটাগাং আজিয়া স্কুলত তোয়ারারে কি ফরাইয়ে?,cɪtɐgon ɐzɪʲɐ skulɔt̪o t̪oʷɐɾɐɾe kɪ fɔɾɐ͡ɪ̯ʲe?,ad͡ʑke s̪kul̪e t̪omad̪erɔ ki ki pɔɽie̯et͡ɕʰe? 
আমার আগের কোনো কথা কিছুই মনে নেই , চিটাগাং আর আগর হোনো হতা কিছুই মনত নাই ,cɪtɐgon ɐɾ ɐgoɾ hono hɔt̪ɐ kɪcʰu͡ɪ̯ monot̪o nɐ͡ɪ̯ ,amarɔ aɡerɔ kon̪o kɔt̪ʰa kit͡ɕʰui mɔn̪e n̪ei 
তুমি এত অমনোযোগী হলে পরিক্ষায় ভালো ফলাফল করবে না , চিটাগাং তুই এইল্লে অমনোযোগী অইলে ফরিক্ষাত ভালো ফলাফল ন গরিবা ,cɪtɐgon t̪u͡ɪ̯ e͡ɪ̯lle ɔmonozogɪ ɛ͡ɪ̯le foɾɪkxɐt̪o vɐlo fɔlɐfɔl nɔ goɾɪbɐ ,t̪umi et̪ɔ omn̪od͡zoɡi hɔl̪e pɔrikʂae̯ɔ b̤al̪o ɸɔl̪aɸɔl̪ɔ kɔrɔbe n̪a 
এই বিষয়ে কি করতে পারি আমি? , চিটাগাং এই বিষয়ত কি গইত্তাম আই?,cɪtɐgon e͡ɪ̯ bɪʃɔʲt̪ kɪ gɪt̪t̪ɐm ɐ͡ɪ̯?,ei biʂe̯e ki kɔrɔt̪e pari ami? 
হায়রে মানুষ একজন আরেকজনের প্রতি হিংসা করে, চিটাগাং হায়রে মানুষ একজন আরেজনর ফ্রতি ইংসা গরে,cɪtɐgon hɐʲɾe mɐnuʃ ɛkzon ɐɾezɔnoɾ fɾot̪ɪ ɪŋʃɐ goɾe,hae̯re man̪uʂɔ ekɔd͡ʑɔn̪ɔ arekɔd͡ʑɔn̪erɔ prɔt̪i hiŋs̪a kɔre
আমি আমার বাসার সামনের খেলার মাঠে খেলি , চিটাগাং আই আর বাসার সামনদ্দি খেয়া খেলিবার মাঠ খেলা হাই,cɪtɐgon ɐ͡ɪ̯ ɐɾ bɐʃɐɾ ʃɐmonɔd̪d̪ɪ xeʲɐ xelɪbɐɾ mɐtʰ xelɐ hɐ͡ɪ̯,ami amarɔ bas̪arɔ s̪amn̪erɔ kʰel̪arɔ matʰe kʰel̪i 
আম দিয়ে শরবত বানিয়ে খাও , চিটাগাং আম দিয়েরে শরবত বানাইয়েরে হ,cɪtɐgon ɐm d̪ɪʲeɾe ʃɔɾbot̪ bɐnɐ͡ɪ̯ʲeɾe ho,amɔ d̪ie̯e ɕɔrɔbɔt̪ɔ ban̪ie̯e kʰao 
ঠাণ্ডা শরবত খেলে ভালো লাগবে তোমার , চিটাগাং ঠান্ডা শরবত হাইলে গম লাইব দে তোয়ার,cɪtɐgon tʰɐndɐ ʃɔɾbot̪ hɐ͡ɪ̯le gɔm lɐ͡ɪ̯b d̪e t̪oʷɐɾ,tʰanda ɕɔrɔbɔt̪ɔ kʰel̪e b̤al̪o l̪aɡbe t̪omarɔ 
এতো চিন্তা করা লাগবে না নিজেরে নিয়ে ভাবো , চিটাগাং এতোো চিন্তা ন লাগের নিজেরে লই চিন্তা গর,cɪnt̪ɐ nɔ lɐgeɾ nɪzeɾe lɔ͡ɪ̯ cɪnt̪ɐ gɔɾ,et̪o t͡ɕin̪t̪a kɔra l̪aɡbe n̪a n̪id͡ʑere n̪ie̯e b̤abo 
আমকে আমাদের দেশে ‘ফলের রাজা’ বলা হয়, চিটাগাং আমরে আরার দেশর ফলের রাজা হয় দে,cɪtɐgon ɐmɾe ɐɾɐɾ d̪eʃɔɾ pʰɔleɾ ɾɐɟɐ hɔe̯ d̪e,amke amad̪erɔ d̪eɕe ‘ɸɔl̪erɔ rad͡ʑa’ bɔl̪a he̯ɔ
তুমি দেখতে সুন্দর না হলেও আমি তোমাকেই চাই, চিটাগাং তুই দেখতে সুন্দর ন অইলেও আই তোওারেই চাই,cɪtɐgon t̪u͡ɪ̯ d̪ext̪e ʃund̪ɔɾ nɔ ɛ͡ɪ̯le͡o̯ ɐ͡ɪ̯ t̪o͡o̯ɐɾe͡ɪ̯ cɐ͡ɪ̯,t̪umi d̪ekʰt̪e s̪un̪d̪ɔrɔ n̪a hɔl̪eo ami t̪omakei t͡ɕai
সেখানে অনেক পুলিশ দেখে বাসার দিকে ফিরছিলাম, চিটাগাং সেখানে বহুত পুলিশ দেহিয়েরে বাসার মিক্কা আইর,cɪtɐgon ʃexɐne bohut̪ pulɪʃ d̪ehɪʲeɾe bɐʃɐɾ mɪkkɐ ɐ͡ɪ̯ɾ,s̪ekʰan̪e on̪ekɔ pul̪iɕɔ d̪ekʰe bas̪arɔ d̪ike ɸirt͡ɕʰil̪am
আমি চলে যাচ্ছি তোমাকে আর কোন দিন ফোন দিয়ে বলবোনা একটু সময় দাও, চিটাগাং আই চলি যাইর তোয়ার আর হোন দিন ফোন দিয়েরে ন হইয়ুম এক্কেনা সময় দো,cɪtɐgon ɐ͡ɪ̯ colɪ zɐ͡ɪ̯ɾ t̪oʷɐɾ ɐɾ hon d̪ɪn fon d̪ɪʲeɾe nɔ ho͡ɪ̯ʲum ɛkkenɐ ʃɔmɔe̯ d̪o,ami t͡ɕɔl̪e d͡zat͡ɕt͡ɕʰi t̪omake arɔ kon̪ɔ d̪in̪ɔ ɸon̪ɔ d̪ie̯e bɔl̪ɔbon̪a ektu s̪ɔme̯ɔ d̪ao
বুঝে উঠতে পারছিলাম না কী করবো, চিটাগাং বুঝি উঠিন্ন ফারির কেন গইজ্জুম,cɪtɐgon buzʱɪ utʰɪnno fɐɾɪɾ keno gɔ͡ɪ̯zzum,bud͡ʑ̤e utʰt̪e part͡ɕʰil̪amɔ n̪a ki kɔrɔbo
আমি ভালো ছেলে, চিটাগাং আঁই বালা ফোঁয়া,cɪtɐgon ɐ̃ɪ bɐlɐ fõʷɐ,ami b̤al̪o t͡ɕʰel̪e
বিয়ের জন্য আব্বা আমার জন্য মেয়ে খুজতাসে, চিটাগাং বিয়ার লাই আর আব্বা আর লাই মাইয়্যা তুয়ার,cɪtɐgon bɪʲɐɾ lɐ͡ɪ̯ ɐɾ ɐbbɐ ɐɾ lɐ͡ɪ̯ mɐ͡ɪ̯ʲlɐ t̪uʲɐɾ,bie̯erɔ d͡ʑɔn̪d͡zɔ abba amarɔ d͡ʑɔn̪d͡zɔ mee̯e kʰud͡ʑt̪as̪e
আম্মা আমাকে গতকাল একটা ছেলের সাথে দেখা করতে বলেছিলও, চিটাগাং আম্মা আঁরে গতহালিয়া উওজ্ঞা ফোয়ার লই দেহা গইর ত হইয়্যে,cɪtɐgon ɐmmɐ ɐ̃ɾe gɔt̪ohɐlɪʲɐ u͡o̯ggɐ foʷɐɾ lɔ͡ɪ̯ d̪ehɐ gɪɾ t̪o ho͡ɪ̯ʲt̪e,amma amake ɡɔt̪ɔkal̪ɔ ekta t͡ɕʰel̪erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e bɔl̪et͡ɕʰil̪o
ছেলেটিকে আমার ভাল লেগেছে, চিটাগাং ফোয়াইবারে আত্তুন গম লাইগ্যে,cɪtɐgon foʷɐ͡ɪ̯bɐɾe ɐt̪t̪un gɔm lɐ͡ɪ̯gke,t͡ɕʰel̪etike amarɔ b̤al̪ɔ l̪eɡet͡ɕʰe
ছেলেটি হয়ত অন্য কোনও মেয়েকে ভালবাসে, চিটাগাং ফোয়াইবা অন্য হনো মাইফোয়ারে বালবাসে ফল্লাই,cɪtɐgon foʷɐ͡ɪ̯bɐ ɔnno hono mɐ͡ɪ̯foʷɐɾe bɐlbɐʃe fɔllɐ͡ɪ̯,t͡ɕʰel̪eti he̯ɔt̪ɔ on̪d͡zɔ kon̪o mee̯eke b̤al̪bas̪e
মেয়েটি ছেলেটার অপেক্ষায় থাকে, চিটাগাং মাইফোয়া ইবা ফোয়াইবার অফেক্কায় তাহে,cɪtɐgon mɐ͡ɪ̯foʷɐ ɪbɐ foʷɐ͡ɪ̯bɐɾ ɔfekkɐe̯ t̪ɐhe,mee̯eti t͡ɕʰel̪etarɔ opekʂae̯ɔ t̪ʰake
ছেলেটি কেন যে মেয়েটার মনের কথা বুঝে না, চিটাগাং ফোয়াইবা কিল্লাই যে মাইফোয়া ইবার মনোর হতা ন বুযে,cɪtɐgon foʷɐ͡ɪ̯bɐ kɪllɐ͡ɪ̯ ze mɐ͡ɪ̯foʷɐ ɪbɐɾ monoɾ hɔt̪ɐ nɔ buze,t͡ɕʰel̪eti ken̪ɔ d͡ze mee̯etarɔ mɔn̪erɔ kɔt̪ʰa bud͡ʑ̤e n̪a
মেয়েটি হয়ত ছেলেটাকে তাঁর মনের কথা ভাল ভাবে বুঝাতে পারেনাই, চিটাগাং মাইফোয়া ইবা ফোয়াইবারে তাই মনোর হতা গম গরি বউযাইত ন ফারে ফল্লাই,cɪtɐgon mɐ͡ɪ̯foʷɐ ɪbɐ foʷɐ͡ɪ̯bɐɾe t̪ɐ͡ɪ̯ monoɾ hɔt̪ɐ gɔm goɾɪ bɔ͡u̯zɐ͡ɪ̯t̪o nɔ fɐɾe fɔ,mee̯eti he̯ɔt̪ɔ t͡ɕʰel̪etake t̪ɔ̃rɔ mɔn̪erɔ kɔt̪ʰa b̤al̪ɔ b̤abe bud͡ʑ̤at̪e paren̪ai
হয়ত কোন একদিন ছেলেটি মেয়েটাকে ভালবাসবে, চিটাগাং হনো একদিন ফোয়াইবা মাইফোয়া ইবারে বালবাসিবো ফল্লাই,cɪtɐgon hono ɛkd̪ɪn foʷɐ͡ɪ̯bɐ mɐ͡ɪ̯foʷɐ ɪbɐɾe bɐlbɐʃɪbo fɔllɐ͡ɪ̯,he̯ɔt̪ɔ kon̪ɔ ekd̪in̪ɔ t͡ɕʰel̪eti mee̯etake b̤al̪bas̪ɔbe
তুমি আমাকে দয়া করে আর বিরক্ত করো না, চিটাগাং তুঁই আঁরে দয়া গরি বিরক্ত ন গইরগো,chɪtɐgon t̪ũɪ ɐ̃ɾe d̪ɔʲɐ goɾɪ bɪɾokt̪o nɔ go͡ɪ̯ɾgo,t̪umi amake d̪e̯a kɔre arɔ birɔkt̪ɔ kɔro n̪a
সে তাকে অনেক বিরক্ত করে, চিটাগাং ইতে তারে বউত বিরক্ত গরে,cɪt̪ɐɾe bɔ͡u̯t̪o bɪɾokt̪o goɾe,s̪e t̪ake on̪ekɔ birɔkt̪ɔ kɔre
এইবার ছুটিতে সিলেট ঘুরতে যাব, চিটাগাং এবার চুটিত সিলেট বেরাইতো যাইয়্যুম,cɪtɐgon ebɐɾ cutɪt̪o sɪlet beɾɐ͡ɪ̯t̪o zɐ͡ɪ̯ʲd̪ʱum,eibarɔ t͡ɕʰutit̪e s̪il̪etɔ ̤ɡ̤urt̪e d͡zab
আমি যাকে ভালবাসি সে সিলেটে থাকে, চিটাগাং আঁই যারে বালবাসি ইতে সিলেট তাকে,cɪtɐgon ɐ̃ɪ zɐɾe bɐlbɐʃɪ,ami d͡zake b̤al̪bas̪i s̪e s̪il̪ete t̪ʰake
আমার এখন বইটা লাগবে নাহ, চিটাগাং আঁর এহন বইওয়া ন লাগিবো,cɪtɐgon ɐ̃ɾ ehon bo͡ɪ̯oʷɐ nɔ lɐgɪbo,amarɔ ekʰɔn̪ɔ bita l̪aɡbe n̪ahɔ
তুমি কি এই বইটি পড়তে চাও ?, চিটাগাং তুঁই কি বইইবা ফইরতো চ নে,cɪtɐgon t̪ũɪ kɪ bo͡ɪ̯͡ɪ̯bɐ fɪɾot̪o c ne,t̪umi ki ei biti pɔɽɔt̪e t͡ɕao ?
আপনি কি এই বইটি পড়তে চান ?, চিটাগাং অনে কি বইইবা ফইরতো চন নে,cɪtɐgon ɔne kɪ bo͡ɪ̯͡ɪ̯bɐ fɪɾot̪o cɔn ne,apn̪i ki ei biti pɔɽɔt̪e t͡ɕan̪ɔ ?
আমার বই পরতে অনেক ভাল লাগে, চিটাগাং আত্তুন বই ফইরতে বউত বালা লাগে,cɪtɐgon ɐt̪t̪un bo͡ɪ̯ fɪɾt̪e bɔ͡u̯t̪o bɐlɐ lɐge,amarɔ bi pɔrɔt̪e on̪ekɔ b̤al̪ɔ l̪aɡe
তোমার আমাকে চিনতে হবে না  , চিটাগাং তোঁয়ার আঁরে চিনা ন ফরিবো,cɪtɐgon t̪õʲɐɾ ɐ̃ɾe cɪnɐ nɔ foɾɪbo,t̪omarɔ amake t͡ɕin̪t̪e hɔbe n̪a  
অনেক রাত হয়েছে এখন ঘুমিয়ে যাও , চিটাগাং বউত রাইত অইয়্যে এহন গুম য গই,cɪtɐgon bɔ͡u̯t̪o ɾɐ͡ɪ̯t̪o ɔ͡ɪ̯kt̪e ehon gum z go͡ɪ̯,on̪ekɔ rat̪ɔ he̯et͡ɕʰe ekʰɔn̪ɔ ̤ɡ̤umie̯e d͡zao 
তোমাকে পড়ালেখা করতে হবে, চিটাগাং তোঁয়াত্তুন ফরালেহা গরা ফরিবো,cɪtɐgon t̪õʲɐt̪t̪un fɔɾɐlehɐ gɔɾɐ foɾɪbo,t̪omake pɔɽal̪ekʰa kɔrɔt̪e hɔbe
তোমার পড়ালেখা করতে ভাল লাগে না?, চিটাগাং তোঁয়াত্তুন ফরালেহা গইরতো গম ন লাগে,cɪtɐgon t̪õʲɐt̪t̪un fɔɾɐlehɐ gɪɾot̪o gɔm nɔ lɐge,t̪omarɔ pɔɽal̪ekʰa kɔrɔt̪e b̤al̪ɔ l̪aɡe n̪a?
আমাকে পড়ালেখা করতে হবে, চিটাগাং আঁত্তুন ফরালেহা গরা ফরিবো,cɪtɐgon ɐ̃t̪t̪un fɔɾɐlehɐ gɔɾɐ foɾɪbo,amake pɔɽal̪ekʰa kɔrɔt̪e hɔbe
সে অনেক ভালো রান্না করে, চিটাগাং ইবা বউত বালা রান্না গরে,cɪtɐgon ɪbɐ bɔ͡u̯t̪o bɐlɐ ɾɐnnɐ goɾe,s̪e on̪ekɔ b̤al̪o ran̪n̪a kɔre
আমি একটি বিদ্যালয় পড়ালেখা করি , চিটাগাং আঁই এক্কান বিদ্যালয় অত ফরালেহা গরি,cɪtɐgon ɐ̃ɪ ɛkkɐn bɪd̪d̪ɐlɔe̯ ɔt̪o fɔɾɐlehɐ goɾɪ,ami ekti bid̪d͡zal̪e̯ɔ pɔɽal̪ekʰa kɔri 
আমার ছোট বোন একটি বিদ্যালয়ে পড়ে, চিটাগাং আঁর চোড বইন এক্কান বিদ্যালয় অত ফরালেহা গরে,cɪtɐgon ɐ̃ɾ cod bo͡ɪ̯n ɛkkɐn bɪd̪d̪ɐlɔe̯ ɔt̪o fɔɾɐlehɐ goɾe,amarɔ t͡ɕʰotɔ bon̪ɔ ekti bid̪d͡zal̪e̯e pɔɽe
আমার ছোট ভাই একটি বিদ্যালয়ে পড়ালেখা করে, চিটাগাং আঁর ছোড ভাই এক্কান বিদ্যালয় অত ফরালেহা গরে,cɪtɐgon ɐ̃ɾ cʰod vɐ͡ɪ̯ ɛkkɐn bɪd̪d̪ɐlɔe̯ ɔt̪o fɔɾɐlehɐ goɾe,amarɔ t͡ɕʰotɔ b̤ai ekti bid̪d͡zal̪e̯e pɔɽal̪ekʰa kɔre
আমার বিদ্যালয়ে যেতে ভাল লাগে না, চিটাগাং আত্তুন বিদ্যালয় অত যাইত গম ন লাগে,cɪtɐgon ɐt̪t̪un bɪd̪d̪ɐlɔe̯ ɔt̪o zɐ͡ɪ̯t̪o gɔm nɔ lɐge,amarɔ bid̪d͡zal̪e̯e d͡zet̪e b̤al̪ɔ l̪aɡe n̪a
আমার বিয়ের বয়স পার হয়ে যাচ্ছে, চিটাগাং আঁর বিয়ার বয়স ফার অই যার গই,cɪtɐgon ɐ̃ɾ bɪʲɐɾ bɔʲoʃ fɐɾ ɔ͡ɪ̯ zɐɾ go͡ɪ̯,amarɔ bie̯erɔ be̯ɔs̪ɔ parɔ he̯e d͡zat͡ɕt͡ɕʰe
আহারে তোমার মনে কতো দুঃখ, চিটাগাং আহারে তোঁয়ার মন অত হত দুক্ক,cɪtɐgon ɐhɐɾe t̪õʲɐɾ mon ɔt̪o hɔt̪o d̪ukko,ahare t̪omarɔ mɔn̪e kɔt̪o d̪uঃkʰɔ
আমি ঘুমাতে যাবো, চিটাগাং আঁই গুম যাইতো যাইর,cɪtɐgon ɐ̃ɪ gum zɐ͡ɪ̯t̪o zɐ͡ɪ̯ɾ,ami ̤ɡ̤umat̪e d͡zabo
আমি নাচতে পারি, চিটাগাং আঁই নাচিত ফারি,cɪtɐgon ɐ̃ɪ nɐcɪt̪o fɐɾɪ,ami n̪at͡ɕt̪e pari
আমি সাঁতার কাটতে পছন্দ করি , চিটাগাং আঁই আচুইরতে পচন্দ গরি,cɪtɐgon ɐ̃ɪ ɐcu͡ɪ̯ɾt̪e pɔcond̪o goɾɪ,ami s̪ɔ̃t̪arɔ katt̪e pɔt͡ɕʰɔn̪d̪ɔ kɔri 
আমি তোমার বাসায় ঘুরতে আসবো, চিটাগাং আঁই তোয়াঁর বাসাত বেরাইতো আইসসোম,cɪtɐgon ɐ̃ɪ t̪oʷɐ̃ɾ bɐʃɐt̪ beɾɐ͡ɪ̯t̪o ɐ͡ɪ̯sʃom,ami t̪omarɔ bas̪ae̯ɔ ̤ɡ̤urt̪e as̪bo
সে তার গ্রামের বাড়িতে ঘুরতে গিয়েছে, চিটাগাং ইতে তার গেরামর বারিত বেরাইতো গেয়্যে,cɪtɐgon ɪt̪e t̪ɐɾ geɾɐmɔɾ bɐɾɪt̪ɔ beɾɐ͡ɪ̯t̪o gekt̪e,s̪e t̪arɔ ɡɔramerɔ baɽit̪e ̤ɡ̤urt̪e ɡie̯et͡ɕʰe
আমার বন্ধু মানসিক ভাবে দুর্বল, চিটাগাং আঁর বন্দু মানসিক বাবে দুর্বল,cɪtɐgon ɐ̃ɾ bond̪u mɐnoʃɪk bɐbe d̪uɾbol,amarɔ bɔn̪d̪̤u man̪s̪ikɔ b̤abe d̪urbɔl̪ɔ
এমন অবস্থায় তার কি করা উচিত ?, চিটাগাং এন সময় তার কি গরা উচিত,cɪtɐgon en ʃɔmɔe̯ t̪ɐɾ kɪ gɔɾɐ ucɪt̪,emɔn̪ɔ obɔs̪t̪ʰae̯ɔ t̪arɔ ki kɔra ut͡ɕit̪ɔ ?
আমার দুইটি বাবু আছে, চিটাগাং আঁর দুওয়া বাবু আচে,cɪtɐgon ɐ̃ɾ d̪u͡o̯ʷɐ bɐbu ɐce,amarɔ d̪uiti babu at͡ɕʰe
আমার স্বামীকে আমি খুব ভালোবাসি, চিটাগাং আঁর জামাইরে আঁই কুব বালবাসি,cɪtɐgon ɐ̃ɾ zɐmɐ͡ɪ̯ɾe ɐ̃ɪ kubo bɐlbɐʃɪ,amarɔ s̪bamike ami kʰubɔ b̤al̪obas̪i
অনেক দিন পর আপনার সাথে দেখা, চিটাগাং বউতদিন ফর অনর লই দেহা,cɪtɐgon bɔ͡u̯t̪od̪ɪn fɔɾ ɔnoɾ lɔ͡ɪ̯ d̪ehɐ,on̪ekɔ d̪in̪ɔ pɔrɔ apn̪arɔ s̪at̪ʰe d̪ekʰa
আপনি কেমন আছেন ?, চিটাগাং অনে কেন আচন,cɪtɐgon ɔne keno ɐcon,apn̪i kemɔn̪ɔ at͡ɕʰen̪ɔ ?
আপনার কি আমার কথা মনে আছে এখনও ?, চিটাগাং অনর কি আঁর হতা মনোত আচে আইযো,cɪtɐgon ɔnɔɾ kɪ ɐ̃ɾ hɔt̪ɐ monot̪o ɐce ɐ͡ɪ̯zo,apn̪arɔ ki amarɔ kɔt̪ʰa mɔn̪e at͡ɕʰe ekʰn̪o ?
আমার পড়ালেখা করতে ভালো লাগে নাহ, চিটাগাং আঁর ফরালেহা গইরতো গম না লাগে,cɪtɐgon ɐ̃ɾ fɔɾɐlehɐ gɪɾot̪o gɔm nɐ lɐge,amarɔ pɔɽal̪ekʰa kɔrɔt̪e b̤al̪o l̪aɡe n̪ahɔ
আমার বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন, চিটাগাং আঁর বিদেশঅত যাই ফরালেহা গরিবর সফ্ন,cɪtɐgon ɐ̃ɾ bɪd̪eʃɔt̪o zɐ͡ɪ̯ fɔɾɐlehɐ goɾɪbɔɾ ʃɔfno,amarɔ bid̪eɕe ɡie̯e pɔɽal̪ekʰa kɔrarɔ s̪bɔpn̪ɔ
আপনার সাথে কথা বলে অনেক ভালো লাগলো, চিটাগাং অনর লাই হতা হই বউত গম লাইজ্ঞে,cɪtɐgon ɔnɔɾ lɐ͡ɪ̯ hɔt̪ɐ ho͡ɪ̯ bɔ͡u̯t̪o gɔm lɐ͡ɪ̯gge,apn̪arɔ s̪at̪ʰe kɔt̪ʰa bɔl̪e on̪ekɔ b̤al̪o l̪aɡl̪o
অনেকে বলে প্রেম করলে মানুষ বোকা হয়, চিটাগাং বউতকিয়ায় হদে ফ্রেম গইরলে মানুষ ডিলা অই,cɪtɐgon bɔ͡u̯t̪okɪʲɐe̯ hod̪e fɾem gɪɾle mɐnuʃ dɪlɐ ɔ͡ɪ̯,on̪eke bɔl̪e premɔ kɔrɔl̪e man̪uʂɔ boka he̯ɔ
অনেকে আরো বলে যে বিয়ে করলে মানুষ নাকি গাধা হয়, চিটাগাং বউতকিয়ায় আরো হদে যে বিয়া গইরলে মানুষ গাদা অই,cɪtɐgon bɔ͡u̯t̪okɪʲɐe̯ ɐɾo hod̪e ze bɪʲɐ gɪɾle mɐnuʃ gɐd̪ɐ ɔ͡ɪ̯,on̪eke aro bɔl̪e d͡ze bie̯e kɔrɔl̪e man̪uʂɔ n̪aki ɡad̪̤a he̯ɔ
একজন লোক মারা গেছেন, চিটাগাং ওজ্ঞা লোক মরি গেইয়্যুই,cɪtɐgon oggɐ lok moɾɪ ge͡ɪ̯ʲu͡ɪ̯,ekɔd͡ʑɔn̪ɔ l̪okɔ mara ɡet͡ɕʰen̪
তুমি এত গরীব আগে কেন বলোনি, চিটাগাং তুঁই ইল্লা গরিব আগে কা ন হ,cɪtɐgon t̪ũɪ ɪllɐ goɾɪb ɐge kɐ nɔ ho,t̪umi et̪ɔ ɡɔribɔ aɡe ken̪ɔ bɔl̪on̪i
আমি আগেই বলেছি তুমি ছাড়া এই পৃথিবীতে আমার আর কিছুই নাই, চিটাগাং আঁই আগেই হয়্যি তুঁই চারা এই দুনিয়াত আঁর আর কিচু নাই,cɪtɐgon ɐ̃ɪ ɐge͡ɪ̯ hokɪ t̪ũɪ cɐɾɐ e͡ɪ̯ d̪unɪʲɐt̪ ɐ̃ɾ ɐɾ kɪcu nɐ͡ɪ̯,ami aɡei bɔl̪et͡ɕʰi t̪umi t͡ɕʰaɽa ei pɽit̪ʰibit̪e amarɔ arɔ kit͡ɕʰui n̪ai
মনের ভালোবাসা চিরদিন থেকে যাবে, চিটাগাং মনোর বালবাসা চিরদিন তাকি যাইবই,cɪtɐgon monoɾ bɐlbɐʃɐ cɪɾd̪ɪn t̪ɐkɪ ɟɐ͡ɪ̯bo͡ɪ̯,mɔn̪erɔ b̤al̪obas̪a t͡ɕird̪in̪ɔ t̪ʰeke d͡zabe
