bangla_speech,regional,regional_ipa,bangla_speech_ipa
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,নোয়াখালী আর বন্ধু জিগারে ভালোবাসে হিগা রাজশাহী থায়,noɟɐlɪ ɐɾ bond̪ʱu ɟɪgɐɾe bʱɐlobɐʃe hɪgɐ ɾɐɟʃɐhɪ t̪ʰɐe̯,amarɔ bɔn̪d̪̤u d͡zake b̤al̪bas̪e s̪e rad͡ʑɕahi t̪ʰake
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,নোয়াখালী মাইয়াগা রাজশাহীর তুন আর ভাইয়ার লগে দেয়া কইরতো আইছিলো,nokʰɐlɪ mɐ͡ɪ̯ʲɐgɐ ɾɐɟʃɐhɪɾ t̪un ɐɾ bʱɐ͡ɪ̯ʲɐɾ lɔge d̪eʲɐ kɪɾot̪o ɐ͡ɪ̯cʰɪlo,mee̯eti rad͡ʑɕahi t̪ʰeke amarɔ bɔɽɔ b̤aie̯erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e es̪et͡ɕʰil̪
মেয়েটি এখন সিলেট যাবে,নোয়াখালী মাইয়াগা অন সিলেট যাইবো, nokʰɐlɪ mɐ͡ɪ̯ʲɐgɐ ɔn sɪlet ɟɐ͡ɪ̯bo,mee̯eti ekʰɔn̪ɔ s̪il̪etɔ d͡zabe
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,নোয়াখালী আর বড় ভাই অন হের বন্ধুগো লগে সিগারেট খায় না, noɐkɐlɪ ɐɾ bɔɽo bʱɐ͡ɪ̯ ɔn heɾ bond̪ʱugo lɔge ʃɪgɐɾet kʰɐe̯ nɐ,amarɔ bɔɽɔ b̤ai ekʰɔn̪ɔ t̪ɔ̃rɔ bɔn̪d̪̤ud̪erɔ s̪at̪ʰe s̪iɡaretɔ kʰae̯ɔ n̪a
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,নোয়াখালী আন্নে কি আরে আগে কোনদিন দেখছেন নি?,nokolɪ ɐnne kɪ ɐɾe ɐge kond̪ɪn d̪ekʰcʰen nɪ?,apn̪i ki amake aɡe kon̪d̪in̪ɔ d̪ekʰet͡ɕʰen̪ɔ ?
আপনি কি আমাকে চিনতে পেরেছেন?,নোয়াখালী আন্নে কি আরে চিনতেন হাইরছেন নি?,nokolɪ ɐnne kɪ ɐɾe cɪnt̪en hɐ͡ɪ̯ɾcʰen nɪ?,apn̪i ki amake t͡ɕin̪t̪e peret͡ɕʰen̪ɔ?
ছেলেটি আমাকে চিনতে পারল না,নোয়াখালী হোলাগা আরে চিনতো হারে নো,nokʰɐlɪ holɐgɐ ɐɾe cɪnt̪o hɐɾe no,t͡ɕʰel̪eti amake t͡ɕin̪t̪e parɔl̪ɔ n̪a
মেয়েটি তোমাকে চিনতে পারল না,নোয়াখালী মাইয়াগা আরে চিনতো হারে নো,nokohɐlɪ mɐ͡ɪ̯ʲɐgɐ ɐɾe cɪnt̪e͡ɐ̯ hɐɾe no,mee̯eti t̪omake t͡ɕin̪t̪e parɔl̪ɔ n̪a
আমার এখন পড়ালেখা করা উচিত,নোয়াখালী আর ওনগা হরালেয়া করা উচিত,nokohɐlɪ ɐɾ ongɐ hɔɾɐleʲɐ kɔɾɐ ucɪt̪,amarɔ ekʰɔn̪ɔ pɔɽal̪ekʰa kɔra ut͡ɕit̪
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,নোয়াখালী মেলা রাইত ওইছে অনগা আর ছোড বইন ঘুমাইতো যাইবো,nokohɐlɪ mɛlɐ ɾɐ͡ɪ̯t̪o o͡ɪ̯cʰe ɔnɔgɐ ɐɾ cʰod bo͡ɪ̯n gʱumɐ͡ɪ̯t̪o ɟɐ͡ɪ̯bo,on̪ekɔ rat̪ɔ he̯et͡ɕʰe ekʰɔn̪ɔ amarɔ t͡ɕʰotɔ bon̪ɔ ̤ɡ̤umat̪e d͡zabe
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,নোয়াখালী আর হরিক্ষার আগে দি আর বেগগিন লই হরালেয়া করন লাইগবো,noɟohɐlɪ ɐɾ hoɾɪkkʰɐɾ ɐge d̪ɪ ɐɾ begogɪn lɔ͡ɪ̯ hɔɾɐleʲɐ kɔɾon lɐ͡ɪ̯gbo,amake pɔrikʂarɔ aɡe s̪ɔbɔ kit͡ɕʰu n̪ie̯e pɔɽal̪ekʰa kɔrɔt̪e hɔbe
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,নোয়াখালী আর ভাই ইস্কুলে যাই বন্ধুগো লগে আড্ডা দেয়,nokohɐlɪ ɐɾ bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯ bond̪ʱugo lɔge ɐddɐ d̪ee̯,amarɔ t͡ɕʰotɔ b̤ai bid̪d͡zal̪e̯e ɡie̯e bɔn̪d̪̤ud̪erɔ s̪at̪ʰe ɡɔl̪pɔ kɔre
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,নোয়াখালী আর বন্ধু ইস্কুলের মাঠে আই হত্তিদিন ব্যাড বল খেলে,noɐkɔlɪ ɐɾ bond̪ʱu ɪskuleɾ mɐtʰe ɐ͡ɪ̯ hɔt̪t̪ɪd̪ɪn bɛd bɔl xele,amarɔ bɔn̪d̪̤u bid̪d͡zal̪e̯erɔ matʰe prɔt̪id̪in̪ɔ kriketɔ kʰel̪e
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,নোয়াখালী এইজ্ঞা ছোডাে হোলা ফুটপাতে লাফার,nokʰɐlɪ e͡ɪ̯ggɐ cʰodɐe holɐ pʰutpɐt̪e lɐpʰɐɾ,ekti t͡ɕʰotɔ ɕiɕu ɸutpat̪e l̪aɸat͡ɕt͡ɕʰe
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,নোয়াখালী আর বান্ধুবি হেতির জামাইরে মেলা ভালোবাসে,noɐkɔlɪ ɐɾ bɐnd̪ʱubɪ het̪ɪɾ ɟɐmɐ͡ɪ̯ɾe mɛlɐ bʱɐlobɐʃe,amarɔ ban̪d̪̤ubi t̪arɔ s̪bamike kʰubɔ b̤al̪bas̪e
আমার স্ত্রী আমাকে ভালোবাসে না,নোয়াখালী আর বউ আরে ভালোবাসে নাহ,nokohɐlɪ ɐɾ bɔ͡u̯ ɐɾe bʱɐlobɐʃe nɐh,amarɔ s̪t̪ri amake b̤al̪obas̪e n̪a
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,নোয়াখালী ইস্কুলে থাক্ততেই আর ভাইয়ের লগে তোর বইনের সম্পর্ক আছিলো,noɟɐlɪ ɪskule t̪ʰɐkt̪ot̪e͡ɪ̯ ɐɾ bʱɐ͡ɪ̯ʲeɾ lɔge t̪oɾ bo͡ɪ̯neɾ ʃɔmpoɾko ɐcʰɪlo,s̪kul̪ɔ d͡ʑibɔn̪ɔ t̪ʰeke amarɔ b̤aie̯erɔ s̪at̪ʰe t̪omarɔ bon̪erɔ premɔ t͡ɕʰil̪o
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,নোয়াখালী কাইল্গা আর মেলা মাতা বেতা কইচ্ছে,nokʰɐlɪ kɐ͡ɪ̯lgɐ ɐɾ mɛlɐ mɐt̪ɐ bet̪ɐ ko͡ɪ̯ccʰe,amarɔ ɡɔt̪ɔkal̪ɔ prɔt͡ɕɔndɔ mat̪ʰa bd͡zɔt̪ʰa kɔrɔt͡ɕʰil̪o
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,নোয়াখালী আই তোর কোনো কতাই বুইঝদাম হারি নো,nokɔlɪ ɐ͡ɪ̯ t̪oɾ kono kɔt̪ɐ͡ɪ̯ bu͡ɪ̯ɟʱd̪ɐm hɐɾɪ no,ami t̪omarɔ kon̪ɔ kɔt̪ʰa kit͡ɕʰui bud͡ʑ̤t̪e parl̪amɔ n̪a
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,নোয়াখালী তোয়ার হাসির কাছে আর বেক কিছু এ হার মানি যায়,nokʰɐlɪ t̪oʷɐɾ hɐʃɪɾ kɐcʰe ɐɾ bek kɪcʰu e hɐɾ mɐnɪ ɟɐe̯,t̪omarɔ haɕirɔ kat͡ɕʰe amarɔ s̪ɔbɔ kit͡ɕʰu harɔ men̪e d͡zae̯
তোমার চোখ দুটো অনেক সুন্দর,নোয়াখালী তোর চোখ দুগা মেলা সুন্দর ,nokʰɐlɪ t̪oɾ cokʰ d̪ugɐ mɛlɐ ʃund̪ɔɾ ,t̪omarɔ t͡ɕokʰɔ d̪uto on̪ekɔ s̪un̪d̪ɔrɔ
তোমার সাথে অনেক দিন পর দেখা,নোয়াখালী তোর লগে মেলাদিন হরে দেয়া ,nokohɐlɪ t̪oɾ lɔge mɛlɐd̪ɪn hoɾe d̪eʲɐ ,t̪omarɔ s̪at̪ʰe on̪ekɔ d̪in̪ɔ pɔrɔ d̪ekʰa
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,নোয়াখালী হোলাগা বিদেশ যাই হরালেয়া কইরবার স্বপ্ন দেয়ের ,nokʰɐlɪ holɐgɐ bɪd̪eʃ ɟɐ͡ɪ̯ hɔɾɐleʲɐ ko͡ɪ̯ɾbɐɾ ʃɔpno d̪eʲeɾ ,t͡ɕʰel̪eti bid̪eɕe ɡie̯e pɔɽal̪ekʰa kɔrarɔ s̪bɔpn̪ɔ d̪ekʰe
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,নোয়াখালী তোর লগে কতা কই আর মেলা ভাল্লাইগছে,nokohɐlɪ t̪oɾ lɔge kɔt̪ɐ ko͡ɪ̯ ɐɾ mɛlɐ bʱɐllɐ͡ɪ̯gcʰe,t̪omarɔ s̪at̪ʰe kɔt̪ʰa bɔl̪e amarɔ on̪ekɔ b̤al̪o l̪aɡl̪o
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,নোয়াখালী তোর বন্ধুর লগে হরিচিত ওই ভাল্লাইগছে,nokohɐlɪ t̪oɾ bond̪ʱuɾ lɔge hoɾɪcɪt̪o o͡ɪ̯ bʱɐllɐ͡ɪ̯gcʰe,t̪omarɔ bɔn̪d̪̤urɔ s̪at̪ʰe pɔrit͡ɕit̪ɔ he̯e b̤al̪o l̪aɡl̪o
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,নোয়াখালী আর আব্বা আর চাচার মইদ্ধ্যে জাগা জমি লই কাইজ্জা ওয়,noɟɐlɪ ɐɾ ɐbbɐ ɐɾ cɐcɐɾ mo͡ɪ̯d̪d̪ʱe ɟɐgɐ ɟomɪ lɔ͡ɪ̯ kɐ͡ɪ̯ɟɟɐ oe̯,amarɔ abbu arɔ t͡ɕat͡ɕarɔ mɔd̪̤d͡ze d͡ʑae̯ɡa d͡ʑɔmi n̪ie̯e d͡ʑ̤ɔɡɔɽa he̯ɔ
লোকটি কিছু দিন আগে বিয়ে করেন,নোয়াখালী বেডাগা কদিন আগে বিয়া কইচ্ছেন,nokolɪ bedɐgɐ kod̪ɪn ɐge bɪʲɐ ko͡ɪ̯ccʰen,l̪okti kit͡ɕʰu d̪in̪ɔ aɡe bie̯e kɔren̪
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,নোয়াখালী আগে দি তোর এক্কানা বই এর দোয়ানে যান লাইগবো,noɐxɐlɪ ɐge d̪ɪ t̪oɾ ɛkkɐnɐ bo͡ɪ̯ eɾ d̪oʷɐne zɐn lɐ͡ɪ̯gbo,prɔt̪ʰɔme t̪omake ekti bie̯erɔ d̪okan̪e d͡zet̪e hɔbe
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,নোয়াখালী বেক কতা কইবার আগেদি আবেগে চোকে দি হানি চলি আইছে,nokohɐlɪ bek kɔt̪ɐ ko͡ɪ̯bɐɾ ɐged̪ɪ ɐbege coke d̪ɪ hɐnɪ colɪ ɐ͡ɪ̯cʰe,beɕi kit͡ɕʰu bɔl̪arɔ aɡei abeɡe t͡ɕokʰe pan̪i t͡ɕɔl̪e as̪t͡ɕʰe
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,নোয়াখালী আর বন্ধুগোরে গালি দিবার সুযোগ করি দেন,noɐkolɪ ɐɾ bond̪ʱugoɾe gɐlɪ d̪ɪbɐɾ ʃuɟog koɾɪ d̪ɛn,apn̪arɔ bɔn̪d̪̤ud̪erɔ ɡal̪i d̪eoe̯arɔ s̪ud͡zoɡɔ kɔre d̪in̪
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,নোয়াখালী মেলা মানুষ অনো হিছের লাইনে খাড়াই রইছে,nokolɪ mɛlɐ mɐnuʃ ɔno hɪcʰeɾ lɐ͡ɪ̯ne kʰɐɽɐ͡ɪ̯ ɾo͡ɪ̯cʰe,on̪ekɔ man̪uʂɔ ekʰn̪o pet͡ɕʰn̪e l̪ain̪e d̪ɔ̃ɽie̯e at͡ɕʰe
একজন মহিলা মারা গেছেন,নোয়াখালী বেডি ওগগা মরি গেছে,nokohɐlɪ bedɪ oggɐ moɾɪ gecʰe,ekɔd͡ʑɔn̪ɔ mɔhil̪a mara ɡet͡ɕʰen̪
আপনি এত গরীব আগে কেন বলেননি,নোয়াখালী আন্নে এতো গরিব আগে কিল্লাই কন নো,noɐkɐlɪ ɐnne et̪o goɾɪb ɐge kɪllɐ͡ɪ̯ kon no,apn̪i et̪ɔ ɡɔribɔ aɡe ken̪ɔ bɔl̪en̪n̪i
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,নোয়াখালী তুই ছাড়া আর এই দুনিয়াত আর কেও নাই ,noɟolɪ t̪u͡ɪ̯ cʰɐɽɐ ɐɾ e͡ɪ̯ d̪unɪʲɐt̪ ɐɾ ke͡o̯ nɐ͡ɪ̯ ,t̪umi t͡ɕʰaɽa ei pɽit̪ʰibit̪e amarɔ arɔ keu n̪ei
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,নোয়াখালী আই আগেই কইছি তোর লগে আই বিদাশ ঘুইত্তাম চাই,nokohɐlɪ ɐ͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɪ t̪oɾ lɔge ɐ͡ɪ̯ bɪd̪ɐʃ gʱu͡ɪ̯t̪t̪ɐm cɐ͡ɪ̯,ami aɡei bɔl̪et͡ɕʰi t̪omake n̪ie̯e bid̪eɕɔ ̤ɡ̤urt̪e t͡ɕai
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,নোয়াখালী আর আম্মা আরে বেকের সামনে মাইরতে মাইরতে বাইত লই আইছে,noɐkɐlɪ ɐɾ ɐmmɐ ɐɾe bekeɾ ʃɐmne mɐ͡ɪ̯ɾt̪e mɐ͡ɪ̯ɾt̪e bɐ͡ɪ̯t̪o lɔ͡ɪ̯ ɐ͡ɪ̯cʰe,amarɔ ammu amake s̪ɔbarɔ s̪amn̪e mart̪e mart̪e bas̪ae̯ɔ n̪ie̯e as̪e
আপনি কি জানেন এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,নোয়াখালী আন্নে কি জানেন নি ইয়ানে মেলা হোলা আইবো কমেন্ট কইরতো, nokohɐlɪ ɐnne kɪ ɟɐnen nɪ ɪʲɐne mɛlɐ holɐ ɐ͡ɪ̯bo kɔment ko͡ɪ̯ɾot̪o,apn̪i ki d͡ʑan̪en̪ɔ ekʰan̪e on̪ekɔ t͡ɕʰel̪e kɔmen̪tɔ pɔɽɔt̪e as̪be
