bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa
অন্যদের,on̪d͡zɔd̪erɔ,অন্যগো,ɔnnogo,বুঝিয়া,buɟʱɪʲɐ,অন্যরারে,ɔnnoɾɐɾe,অন্যগো,ɔnnogo,আন্যদের,ɐnnod̪eɾ
অন্যভাবে,on̪d͡zɔb̤abe,অন্যভাবে,ɔnnobʱɐbe,অইন্যভাবে,ɔ͡ɪ̯nnobʱɐbe,অন্যভাবে,ɔnnobʱɐbe,অন্যভাবে,ɔnnobʱɐbe,ভাবে,vɐbe
অন্যায়,on̪d͡zae̯ɔ,অন্যায়,ɔnnɐe̯,ওতো,ot̪o,অন্যায়,ɔnnɐe̯,অন্যায়,ɔnnɐe̯,অন্যায়,ɔnnɐe̯
অন্যের,on̪d͡zerɔ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,আন্য,ɐnno
অপমান,opman̪ɔ,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অফমান,ɔfɔmɐn
অপর,opɔrɔ,আরেক,ɐɾek,আরেক,ɐɾek,অপর,ɔpɔɾ,অফর,ɔpʰɔɾ,আরেক,ɐɾek
অপরকে,opɔrɔke,আরেকজনের,ɐɾekɟɔneɾ,আরোখজনর,ɐɾoxzɔnɾ,আরেকজনের,ɐɾekɟɔneɾ,অপরকে,ɔpɔɾke,অফোরর,ɔfoɾoɾ
অপরের,oprerɔ,আর,ɐɾ,আরোখ,ɐɾokʰ,অপরের,ɔpoɾeɾ,হড়ে,hoɽe,অবশ্যই,ɔboʃʃo͡ɪ̯
অপেক্ষা,opekʂa,অপেক্ষা,ɔpekkʰɐ,বার,bɐɾ,অপেক্ষা,ɔpekkʰɐ,অফেক্ষা,ɔpʰekkʰɐ,আফেক্কা,ɐfekkɐ
অপেক্ষায়,opekʂae̯ɔ,লইগ্গা,lo͡ɪ̯ggɐ,অপেক্ষাত,ɔpekkʰɐt̪,অপেক্ষায়,ɔpekkʰɐe̯,পোলাডা,polɐdɐ,ফোয়াইবার,foʷɐ͡ɪ̯bɐɾ
অপ্রয়োজনীয়,opre̯od͡ʑn̪ie̯ɔ,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,আনা,ɐnɐ,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,অহয়জনিয়,ɔhɔʲɟonɪʲo,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo
অফিস,oɸis̪ɔ,অফিসে,ɔpʰɪse,অফিসে,ɔpʰɪse,অফিস,ɔpʰɪs,অফিসের,ɔfɪseɾ,আফিসেত্তুন,ɐfɪset̪t̪un
অফিস,oɸis̪,অপিস,ɔpɪs,অফিস,ɔpʰɪs,অফিস,ɔpʰɪs,অধিদপ্তর,od̪ʱɪd̪opt̪oɾ,অফিস,ɔpʰɪs
অফিসে,oɸis̪e,অপিসে,ɔpɪʃe,অফিসো,ɔpʰɪso,অফিসে,ɔpʰɪse,হালাই,hɐlɐ͡ɪ̯,চারা,cɐɾɐ
অফিসের,oɸis̪erɔ,অপিসের,ɔpɪseɾ,অফিসর,ɔfɪʃɔɾ,অফিসের,ɔpʰɪseɾ,অফিসের,ɔpʰɪseɾ,আফিসর,ɐfɪʃɔɾ
অফুরন্ত,oɸurɔn̪t̪ɔ,একছের,ɛkcʰeɾ,অফুরন্ত,ɔpʰuɾont̪o,অফুরন্ত,ɔpʰuɾont̪o,অফুরন্ত,ɔpʰuɾont̪o,আফুরন্ত,ɐfuɾɔnt̪o
অবদানই,obd̪an̪i,অবদানই,ɔbod̪ɐnɪ,অবদান,ɔbod̪ɐn,অবদানই,ɔbod̪ɐnɪ,মার,mɐɾ,আবদানই,ɐbd̪ɐnɪ
অবলা,obl̪a,অবলা,ɔblɐ,বেচারা,becɐɾɐ,অবলা,ɔblɐ,অবলা,ɔblɐ,সহজ,ʃɔhoz
অবশ্যই,obɔɕd͡zi,ঠিকই,tʰɪkɪ,ঠিকউ,tʰɪku,অবশ্যই,ɔboʃʃo͡ɪ̯,অবশ্যই,ɔboʃʃo͡ɪ̯,এক,ɛk
অবস্থা,obɔs̪t̪ʰa,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্তা,ɔbost̪ɐ
অবস্থায়,obɔs̪t̪ʰae̯ɔ,অবস্থায়,ɔbost̪ʰɐe̯,অবস্থাত,ɔbost̪ʰɐt̪,অবস্থায়,ɔbost̪ʰɐe̯,অবস্তাত,ɔbost̪ɐt̪,সময়,ʃɔmɔe̯
অবাক,obak,অবাক,ɔbɐk,তাইজ্জব,t̪ɐ͡ɪ̯ɟɟɔb,অবাক,ɔbɐk,অবাক,ɔbɐk,অইলাম,ɔ͡ɪ̯lɐm
অবাক,obakɔ,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk
অবিবাহিত,obibahit̪,আবিয়াইত্যা,ɐbɪʲɐ͡ɪ̯t̪t̪ɐ,আবিয়াতি,ɐbɪʲɐt̪ɪ,অবিবাহিত,ɔbɪbɐhɪt̪o,অবিবাহিত,ɔbɪbɐhɪt̪o,আ-বিয়াইত্তে,ɐ-bɪʲɐ͡ɪ̯t̪t̪e
অভিনয়,ob̤in̪e̯ɔ,নাটক,koɾt̪e,অভিনয়,obʱɪnɔe̯,অভিনয়,obʱɪnɔe̯,অবিনয়,ɔbɪnɔe̯,অবিনয়,ɔbɪnɔe̯
অভিভাবকের,ob̤ib̤abkerɔ,অভিভাবক,obʱɪbʱɐbok,বাড়ির,bɐɽɪɾ,অভিভাবকের,obʱɪbʱɐbokeɾ,যায়ধো,ɟɐʲd̪ʱo,হোনো,hono
অভিযোগ,ob̤id͡zoɡɔ,বিচার,bɪcɐɾ,অভিযোগ,ovɪzog,অভিযোগ,obʱɪɟog,অভিযোগ,obʱɪɟog,অবিযোগ,ɔbɪzog
অভ্যাস,ob̤d͡zas̪,অব্বাস,ɔbbɐʃ,চালানির,cɐlɐnɪɾ,অভ্যাস,ɔbbʱɐʃ,চালানির,cɐlɐnɪɾ,চালানোর,cɐlɐnoɾ
অভ্যাস,ob̤d͡zas̪ɔ,অভ্যাস,ɐcʰe?,অভ্যাস,ɔbbʱɐʃ,অভ্যাস,ɔbbʱɐʃ,ঐববাস,o͡ɪ̯bbɐʃ,অব্বাস,ɔbbɐʃ
অমনোযোগী,omn̪od͡zoɡi,অমনযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonozogɪ
অযোগ্য,od͡zoɡɔd͡zɔ,অযোগ্য,ɔɟoggo,আকাইম্মা,ɐkɐ͡ɪ̯mmɐ,অযোগ্য,ɔɟoggo,অযোইগ্যা,ɔɟo͡ɪ̯gkɐ,অযোগ্য,ɔzoggo
অর্জন,ord͡ʑɔn̪ɔ,অর্জন,ɔɾɟon,লইছি,lo͡ɪ̯cʰɪ,অর্জন,ɔɾɟon,কইচ্ছী,ko͡ɪ̯ccʰɪ,ডিগ্রি,dɪgɾɪ
অর্থ,ort̪ʰɔ,মানে,mɐne,অর্থ,ɔɾt̪ʰo,অর্থ,ɔɾt̪ʰo,প্রেম,pɾem,মানে,mɐne
অর্থনৈতিক,ort̪ʰɔn̪ojt̪ikɔ,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk
অর্ধেকই,ord̪̤eki,আধখানই,ɐd̪ʱkʰɐnɪ,মাইনষর,mɐ͡ɪ̯nʃɔɾ,অর্ধেকই,ɔɾd̪ʱekɪ,জনসংখ্যার,bedɪ,অদ্দকই,ɔd̪d̪okɪ
অলস,ol̪ɔs̪ɔ,আইলসা,ɐ͡ɪ̯lʃɐ,অলস,ɔloʃ,অলস,ɔlɔʃo,অলস,ɔlɔʃo,ফ্রচন্ড,fɾocɔnd
অল্প,ol̪pɔ,এট্টুহানে,ettuhɐne,বাক্কা,bɐkkɐ,অল্প,ɔlpo,অল্ফ,ɔlpʰ,অল্ফ,ɔlf
অল্পবয়সী,ol̪pɔbe̯ɔs̪i,‍কমবয়সী,‍komobɔʲoʃɪ,অল্প,ɔlpo,কম,kɔm,কম,kɔm,আল্ফবয়স্যা,ɐlfɔbɔʲoʃʃɐ
অশান্তি,oɕan̪t̪i,অশান্তি,ɔʃɐnt̪ɪ,অশান্তি,ɔʃɐnt̪ɪ,অশান্তি,ɔʃɐnt̪ɪ,ওকগা,okgɐ,অশান্তি,ɔʃɐnt̪ɪ
অশিক্ষিত,oɕikʂit̪,অশিক্ষিত,oʃɪkkʰɪt̪o,গন্ডোমূর্খ,gɔndomuɾkʰo,অশিক্ষিত,oʃɪkkʰɪt̪o,হে,he,সে,ʃe
অশিক্ষিত,oɕikʂit̪ɔ,অশিক্ষিত,oʃɪkkʰɪt̪o,বখলম,bokʰlom,অশিক্ষিত,oʃɪkkʰɪt̪o,অশিক্ষিত,oʃɪkkʰɪt̪o,অশিক্ষিত,oʃɪkxɪt̪o
অসম্ভব,os̪ɔmb̤ɔbɔ,একছের,ɛkcʰeɾ,অসম্ভব,ɔʃɔmbʱɔb,অসম্ভব,ɔʃɔmvɔb,অসম্ভব,ɔʃɔmbʱɔb,অসম্ভব,ɔʃɔmvɔb
অসহায়,os̪ɔhae̯ɔ,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯
অসাধারণ,os̪ad̪̤arɔnɔ,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাধারণ,ɔʃɐd̪ʱɐɾon,অসাদারন,ɔʃɐd̪ɐɾon
অসুখ,os̪ukʰɔ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুখ,ɔʃukʰ,অসুস্থ,ɔʃust̪ʰo
অসুখী,os̪ukʰi,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃuxɪ
অসুখে,os̪ukʰe,অসুখে,ɔʃukʰe,অসুখে,ɔʃuxe,অসুখে,ɔʃukʰe,অসুখে,ɔʃukʰe,হয়েক,hoʲek
অসুবিধা,os̪ubid̪̤a,অসুবিধা,ɔʃubɪd̪ʱɐ,অসুবিধা,ɔʃubɪd̪ʱɐ,অসুবিধা,ɔʃubɪd̪ʱɐ,আসুবিধা,ɐʃubɪd̪ʱɐ,অসুবিদা,ɔʃubɪd̪ɐ
অসুস্থ,os̪us̪t̪ʰɔ,অসুস্থ,ɔʃust̪ʰo,অসুখ,ɔʃukʰ,অসুস্থ,ɔʃust̪ʰo,ইয়া,ɪʲɐ,ইবা,ɪbɐ
অসুস্থতার,os̪us̪t̪ʰɔt̪arɔ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,বেমারর,bemɐɾoɾ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,অসুস্থতার,ɔʃust̪ʰot̪ɐɾ,অসুস্ততার,ɔʃust̪ot̪ɐɾ
আঁকতে,aঁkɔt̪e,আঁকতে,ɐ̃kt̪e,আঁকাইতে,ɐ̃kɐ͡ɪ̯t̪e,আঁকতে,ɐ̃kt̪e,ছবি,cʰobɪ,আঁকতাম,ɐ̃kɔt̪ɐm
আঁকে,aঁke,আঁকে,ɐ̃ke,আকইন,ɐkɪn,আঁকে,ɐ̃ke,আঁকে,ɐ̃ke,ছবি,cʰobɪ
আঁচল,aঁt͡ɕɔl̪ɔ,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আচল,ɐcol
আইডিটা,aidita,আইডি,ɐ͡ɪ̯dɪ,আইডি,ɐ͡ɪ̯dɪ,আইডিটা,ɐ͡ɪ̯dɪtɐ,আইডিকান,ɐ͡ɪ̯dɪkɐn,আইডি,ɐ͡ɪ̯dɪ
আকাশ,akaɕɔ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,নিল,nɪl
আকাশে,akaɕe,আকাশে,ɐkɐʃe,আখাশর,ɐkʰɐʃoɾ,আকাশে,ɐkɐʃe,আকাশে,ɐkɐʃe,আস্সানর,ɐssɐnoɾ
আকাশের,akaɕerɔ,আকাশের,ɐkɐʃeɾ,আকাশর,ɐkɐʃoɾ,আকাশের,ɐkɐʃeɾ,আকাশের,ɐkɐʃeɾ,আকাশর,ɐkɐʃoɾ
আগামিকাল,aɡamikal̪ɔ,কাইলগো,kɐ͡ɪ̯lgo,আগামীকাল,ɐgɐmɪkɐl,কালকে,kɐloke,আগোমি,ɐge͡ɐ̯mɪ,আগামি,ɐgɐmɪ
আগুন,aɡun̪ɔ,আগুন,ɐgun,আগুন,ɐgun,আগুন,ɐgun,আগুন,ɐgun,অন,ɔn
আগে,aɡe,আগে,ɐge,আগে,ɐge,একবার,ɛkbɐɾ,আগে,ɐge,আগে,ɐge
আগেই,aɡei,আগেই,ɐge͡ɪ̯,আগেই,ɐge͡ɪ̯,আগেই,ɐge͡ɪ̯,আগেদি,ɐged̪ɪ,আগেই,ɐge͡ɪ̯
আগের,aɡerɔ,আগের,ɐgeɾ,আগের,ɐgeɾ,আগের,ɐgeɾ,আগের,ɐgeɾ,আগর,ɐgoɾ
আচরন,at͡ɕɔrɔn̪ɔ,আচরণ,ɐcɾɔn,করের,kɔɾeɾ,আচরন,ɐcɾɔn,আচরন,ɐcɾɔn,আচরন,ɐcɾɔn
আচরনে,at͡ɕɔrɔn̪e,আচরনে,ɐcɾɔne,ফুড়ির,pʰuɽɪɾ,আচরনে,ɐcɾɔne,আচরনে,ɐcɾɔne,ফরিবরতন,foɾɪbɔɾɔt̪on
আচ্ছা,at͡ɕt͡ɕʰa,আচ্ছা,ɐccʰɐ,আইচ্চা,ɐ͡ɪ̯ccɐ,আচ্ছা,ɐccʰɐ,আইচ্ছা,ɐ͡ɪ̯ccʰɐ,আচ্ছা,ɐccʰɐ
আছ,at͡ɕʰɔ,আছো,ɐcʰo,আছো,ɐcʰo,আস,ɐʃ,আছি,ɐcʰɪ,আসোস,ɐʃos
আছি,at͡ɕʰi,আছি,ɐcʰɪ,রইছি,ɾo,আসি,ɐʃɪ,আছি?,ɐcʰɪ?,আচি,ɐcɪ
আছে,at͡ɕʰe,আছে,ɐcʰe,আছইন,ɐcʰo͡ɪ̯n,আসে?,ɐʃe?,রইছে,ɾo͡ɪ̯cʰe,আচে,ɐce
আছে?,at͡ɕʰe?,আছে?,ɐcʰe?,আছইন,ɐcʰo͡ɪ̯n,আসে?,ɐʃe?,আছে?,ɐcʰe?,আচে,ɐce
আছেই,at͡ɕʰei,আছেই,ɐcʰe͡ɪ̯,আছেউ,ɐcʰe͡u̯,আসেই,ɐʃe͡ɪ̯,আর,ɐɾ,আছে,ɐcʰe
আছেন,at͡ɕʰen̪,আছে,ɐcʰe,সুখে,ʃuxe,আসেন,ɐʃen,আসে,ɐʃe,আসে,ɐʃe
আছেন,at͡ɕʰen̪ɔ,আছেন?,ɐcʰen?,আছোইন,ɐcʰo͡ɪ̯n,আসেন,ɐʃen,আছেন,ɐcʰen,আচন,ɐcon
আছেন?,at͡ɕʰen̪ɔ?,লইজ্ঞা,ɐcʰen?,আছইন,ɐcʰo͡ɪ̯n,আসেন?,ɐʃen?,আছেন?,ɐcʰen?,আচন?,ɐcon?
আছো,at͡ɕʰo,কোরোহম?,koɾohɔm?,আছনি?,ɐcʰonɪ?,আছো?,ɐcʰo?,আছেন,ɐcʰen?,আচো?,ɐco?
আছো?,at͡ɕʰo?,আছো?,ɐcʰo?,আফনারা?,ɐpʰnɐɾɐ?,আসো?,ɐʃo?,আছো,ɐcʰo,আচো,ɐco
আজ,ad͡ʑ,আইজগো,ɐ͡ɪ̯ɟgo,অইবো,ɔ͡ɪ̯bo,আইজ,ɐ͡ɪ̯ɟ,আইজ,ɐ͡ɪ̯ɟ,আযিয়া,ɐzɪʲɐ
আজ,ad͡ʑɔ,আইজ,ɐ͡ɪ̯ɟ,আজ,ɐɟ,আইজ,ɐ͡ɪ̯ɟ,আইজ্জা,ɐ͡ɪ̯ɟɟɐ,আজিয়া,ɐzɪʲɐ
আজও,ad͡ʑo,আইজও,ɐ͡ɪ̯ɟo,এবোধরি,ebod̪ʱoɾɪ,আইজও,ɐ͡ɪ̯ɟo,আই,ɐ͡ɪ̯,আইযো,ɐ͡ɪ̯zo
আজক,ad͡ʑɔkɔ,আইজগো,ɐ͡ɪ̯ɟgo,আইজ,ɐ͡ɪ̯ɟ,আইজকে,ɐ͡ɪ̯ɟke,আইজ্জা,ɐ͡ɪ̯ɟɟɐ,আজিয়া,ɐzɪʲɐ
আজকাল,ad͡ʑkal̪ɔ,আইজকাল,ɐ͡ɪ̯ɟkɐl,আইজকাইল,ɐ͡ɪ̯ɟkɐ͡ɪ̯l,আজকাইল,ɐɟkɐ͡ɪ̯l,আজকাইল,ɐɟkɐ͡ɪ̯l,আইযহাল,ɐ͡ɪ̯zɐl
আজকে,ad͡ʑke,আইজগো,ɐ͡ɪ̯ɟgo,আইজ,ɐ͡ɪ̯ɟ,আইজ,ɐ͡ɪ̯ɟ,আইজ্জা,ɐ͡ɪ̯ɟɟɐ,আজিয়া,ɐzɪʲɐ
আজকের,ad͡ʑkerɔ,আইজগো,ɐ͡ɪ̯ɟgo,আইজকুর,ɐ͡ɪ̯ɟkuɾ,আইজকের,ɐ͡ɪ̯ɟokeɾ,আজকের,ɐɟokeɾ,আযিয়ার,ɐzɪʲɐɾ
আজীবন,ad͡ʑibɔn̪ɔ,হারাজীবন,hɐɾɐzɪbɔn,জীবন,ɟɪbɔn,আজীবন,ɐɟɪbɔn,আজীবন,ɐzɪbɔn,জীবন,ɟɪbɔn
আজেবাজে,ad͡ʑebad͡ʑe,আজেবাজে,ɐɟebɐɟe,আজেবাজে,ɐzebɐze,আজেবাজে,ɐɟebɐɟe,আজেবাজে,ɐɟebɐɟe,বাযে,bɐze
