bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
ভাইয়ের,b̤aie̯erɔ,ভাইয়র,bʱɐ͡ɪ̯ʲoɾ
বিদ্যালয়ে,bid̪d͡zal̪e̯e,বিদ্যালয়ে,bɪd̪d̪ɐlɔʲe
গিয়ে,ɡie̯e,গিয়া,gɪʲɐ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেখা,pɔɽɐlekʰɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
ভাল,b̤al̪ɔ,ভালা,bʱɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
না,n̪a,নানি,nɐnɪ
আমি,ami,মুই,mu͡ɪ̯
একদিন,ekd̪in̪ɔ,একদিন,ɛkd̪ɪn
বিদ্যালয়ের,bid̪d͡zal̪e̯erɔ,বিদ্যালয়ের,bɪd̪d̪ɐlɔʲeɾ
মাঠে,matʰe,মাঠো,mɐtʰo
মাথা,mat̪ʰa,মাথা,mɐt̪ʰɐ
ঘুরিয়ে,̤ɡ̤urie̯e,ঘোরাইয়া,gʱoɾɐ͡ɪ̯ʲɐ
পরে,pɔre,ফরি,pʰoɾɪ
গিয়েছিলাম,ɡie̯et͡ɕʰil̪am,গেছিলাম,gecʰɪlɐm
আপনি,apn̪i,আফনে,ɐcʰone
কি,ki,কিতা,kɪt̪ɐ
আমাকে,amake,আমারে,ɐmɐɾe
কোনদিনও,kon̪d̪in̪o,কোনোদিনও,konod̪ɪno
ভালবাসবেন,b̤al̪bas̪ɔben̪ɔ,ভালা,bʱɐlɐ
না,n̪a,ফাইতা,pʰɐ͡ɪ̯t̪ɐ
?,?,না,nɐ
আমার,amarɔ,আমার,ɐmɐɾ
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
আজকে,ad͡ʑke,আইজকে,ɐ͡ɪ̯ɟke
সকালে,s̪ɔkal̪e,সকালে,ʃɔkɐle
ফুটবল,ɸutɔbɔl̪ɔ,ফুটবল,pʰutbɔl
খেলেছে,kʰel̪et͡ɕʰe,খেলছে,kʰelcʰe
তুমি,t̪umi,তুমি,t̪umɪ
আমার,amarɔ,আমার,ɐmɐɾ
মনের,mɔn̪erɔ,ভিতরর,bʱɪt̪ɔɾɔɾ
কথা,kɔt̪ʰa,মাত,mɐt̪
একদমই,ekɔd̪ɔmi,একদমই,ɛkd̪ɔmɪ
বুঝো,bud͡ʑ̤o,বুঝো,buɟʱo
না,n̪a,না,nɐ
আমার,amarɔ,আমার,ɐmɐɾ
আম্মু,ammu,মাই,mɐ͡ɪ̯
অনেক,on̪ekɔ,অনেক,ɔnek
ভালো,b̤al̪o,ভালা,bʱɐlɐ
রান্না,ran̪n̪a,রান্দা,ɾɐnd̪ɐ
করে,kɔre,করইন,koɾɪn
আমার,amarɔ,আমার,ɐmɐɾ
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
এখন,ekʰɔn̪ɔ,এখন,ɛkʰon
ঘুমাতে,̤ɡ̤umat̪e,হুতনো,hut̪no
যাবে,d͡zabe,যাইবো,ɟɐ͡ɪ̯bo
আমার,amarɔ,আমার,ɐmɐɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
বোন,bon̪ɔ,বোইন,boʲɔn
নাচতে,n̪at͡ɕt̪e,নাচতে,nɐct̪e
পারে,pare,ফারে,pʰɐɾe
আমার,amarɔ,আমার,ɐmɐɾ
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
এইবার,eibarɔ,এবার,ebɐɾ
ছুটিতে,t͡ɕʰutit̪e,ছুটিতে,cʰutɪt̪e
রাজশাহী,rad͡ʑɕahi,রাজশাহী,ɾɐɟʃɐhɪ
ঘুরতে,̤ɡ̤urt̪e,ফাকানিত,pʰɐkɐnɪt̪o
যাবে,d͡zabe,যাইবো,ɟɐ͡ɪ̯bo
আমার,amarɔ,আমার,ɐmɐɾ
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
যাকে,d͡zake,যারে,ɟɐɾe
ভালবাসে,b̤al̪bas̪e,ভালা,bʱɐlɐ
সে,s̪e,ফায়,pʰɐe̯
রাজশাহী,rad͡ʑɕahi,হে,he
থাকে,t̪ʰake,রাজশাহী,ɾɐɟʃɐhɪ
মেয়েটি,mee̯eti,ফুড়িটা,pʰuɽɪtɐ
রাজশাহী,rad͡ʑɕahi,রাজশাহী,ɾɐɟʃɐhɪ
থেকে,t̪ʰeke,থাকি,t̪ʰɐkɪ
আমার,amarɔ,আমার,ɐmɐɾ
বড়,bɔɽɔ,বড়,bɔɽo
ভাইয়ের,b̤aie̯erɔ,ভাইয়র,bʱɐ͡ɪ̯ʲoɾ
সাথে,s̪at̪ʰe,লগে,lɔge
দেখা,d̪ekʰa,দেখা,d̪ɛkʰɐ
করতে,kɔrɔt̪e,করাত,kɔɾɐt̪
এসেছিল,es̪et͡ɕʰil̪,আইছলা,ɐ͡ɪ̯cʰɔlɐ
মেয়েটি,mee̯eti,ফুড়িটা,pʰuɽɪtɐ
এখন,ekʰɔn̪ɔ,এখইন,exɪn
সিলেট,s̪il̪etɔ,সিলট,sɪlɔt
যাবে,d͡zabe,যাইবা,zɐ͡ɪ̯bɐ
আমার,amarɔ,আমার,ɐmɐɾ
বড়,bɔɽɔ,বড়,bɔɽo
ভাই,b̤ai,ভাই,bʱɐ͡ɪ̯
এখন,ekʰɔn̪ɔ,এখইন,ekʰɪn
তাঁর,t̪ɔ̃rɔ,হের,heɾ
বন্ধুদের,bɔn̪d̪̤ud̪erɔ,বন্ধুদের,bond̪ʱud̪eɾ
সাথে,s̪at̪ʰe,লগে,lɔge
সিগারেট,s̪iɡaretɔ,সিগারেট,ʃɪgɐɾet
খায়,kʰae̯ɔ,খায়,kʰɐe̯
না,n̪a,না,nɐ
আপনি,apn̪i,আফনে,ɐcʰone
কি,ki,কিতা,kɪt̪ɐ
আমাকে,amake,আমারে,ɐmɐɾe
আগে,aɡe,আগে,ɐge
কোনদিন,kon̪d̪in̪ɔ,কোনোদিন,konod̪ɪn
দেখেছেন,d̪ekʰet͡ɕʰen̪ɔ,দেখছিলানি,d̪ekʰcʰɪlɐnɪ
আপনি,apn̪i,আফনে,ɐcʰone
কি,ki,কিতা,kɪt̪ɐ
আমাকে,amake,আমারে,ɐmɐɾe
চিনতে,t͡ɕin̪t̪e,চিনইন,cɪnɪn
পেরেছেন?,peret͡ɕʰen̪ɔ?,নি,nɪ
ছেলেটি,t͡ɕʰel̪eti,ফুয়াটায়,pʰuʲɐtɐe̯
আমাকে,amake,আমারে,ɐmɐɾe
চিনতে,t͡ɕin̪t̪e,চিনতে,cɪnt̪e
পারল,parɔl̪ɔ,ফারলো,pʰɐɾlo
না,n̪a,না,nɐ
মেয়েটি,mee̯eti,ফুড়িটায়,pʰuɽɪtɐe̯
তোমাকে,t̪omake,তোমারে,t̪omɐɾe
চিনতে,t͡ɕin̪t̪e,চিনতে,cɪnt̪e
পারল,parɔl̪ɔ,ফারলো,pʰɐɾlo
না,n̪a,না,nɐ
আমার,amarɔ,আমার,ɐmɐɾ
এখন,ekʰɔn̪ɔ,এখইন,exɪn
পড়ালেখা,pɔɽal̪ekʰa,ফড়ালেখা,fɔɽɐlexɐ
করা,kɔra,করা,kɔɾɐ
উচিত,ut͡ɕit̪,উচিৎ,ucɪt̪
অনেক,on̪ekɔ,অনেক,ɔnek
রাত,rat̪ɔ,রাইত,ɾɐ͡ɪ̯t̪o
হয়েছে,he̯et͡ɕʰe,অইছে,e͡ɪ̯cʰe
এখন,ekʰɔn̪ɔ,এখইন,ekʰɪn
আমার,amarɔ,আমার,ɐmɐɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
বোন,bon̪ɔ,বোইন,boʲɔn
ঘুমাতে,̤ɡ̤umat̪e,ঘুমাইতে,gʱumɐ͡ɪ̯t̪e
যাবে,d͡zabe,যাইবো,ɟɐ͡ɪ̯bo
আমাকে,amake,আমাকে,ɐmɐke
পরিক্ষার,pɔrikʂarɔ,পরিক্ষার,poɾɪkkʰɐɾ
আগে,aɡe,আগে,ɐge
সব,s̪ɔbɔ,হকল,hokol
কিছু,kit͡ɕʰu,কিছু,kɪcʰu
নিয়ে,n̪ie̯e,নিয়া,nɪʲɐ
পড়ালেখা,pɔɽal̪ekʰa,ফড়ালেখা,pʰɔɽɐlekʰɐ
করতে,kɔrɔt̪e,করত,koɾt̪o
হবে,hɔbe,অইবো,ɔ͡ɪ̯bo
আমার,amarɔ,আমার,ɐmɐɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
ভাই,b̤ai,ভাই,bʱɐ͡ɪ̯
বিদ্যালয়ে,bid̪d͡zal̪e̯e,বিদ্যালয়,bɪd̪d̪ɐlɔe̯
গিয়ে,ɡie̯e,গিয়া,gɪʲɐ
বন্ধুদের,bɔn̪d̪̤ud̪erɔ,বন্ধুদের,bond̪ʱud̪eɾ
সাথে,s̪at̪ʰe,লগে,lɔge
গল্প,ɡɔl̪pɔ,গল্প,gɔlpo
করে,kɔre,করইন,koɾɪn
আমার,amarɔ,আমার,ɐmɐɾ
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
বিদ্যালয়ের,bid̪d͡zal̪e̯erɔ,বিদ্যালয়ের,bɪd̪d̪ɐlɔʲeɾ
মাঠে,matʰe,মাঠো,mɐtʰo
প্রতিদিন,prɔt̪id̪in̪ɔ,ফতিদিন,pʰot̪ɪd̪ɪn
ক্রিকেট,kriketɔ,ক্রিকেট,kɾɪket
খেলে,kʰel̪e,খেলইন,kʰelɪn
একটি,ekti,একটা,ɛktɐ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
শিশু,ɕiɕu,বাইচ্চা,bɐ͡ɪ̯ccɐ
ফুটপাতে,ɸutpat̪e,ফুটপাতে,pʰutpɐt̪e
লাফাচ্ছে,l̪aɸat͡ɕt͡ɕʰe,লাফাইরা,lɐpʰɐ͡ɪ̯ɾɐ
আমার,amarɔ,আমার,ɐmɐɾ
বান্ধুবি,ban̪d̪̤ubi,বান্ধবী,bɐnd̪ʱobɪ
তার,t̪arɔ,তার,t̪ɐɾ
স্বামীকে,s̪bamike,স্বামীরে,ʃɐmɪɾe
খুব,kʰubɔ,খুব,kʰub
ভালবাসে,b̤al̪bas̪e,ভালা,bʱɐlɐ
আমার,amarɔ,আমার,ɐmɐɾ
স্ত্রী,s̪t̪ri,স্ত্রী,st̪ɾɪ
আমাকে,amake,আমারে,ɐmɐɾe
ভালোবাসে,b̤al̪obas̪e,ভালা,bʱɐlɐ
না,n̪a,ফায়,pʰɐe̯
স্কুল,s̪kul̪ɔ,স্কুল,skul
জীবন,d͡ʑibɔn̪ɔ,জীবন,ɟɪbɔn
থেকে,t̪ʰeke,থাকি,t̪ʰɐkɪ
আমার,amarɔ,আমার,ɐmɐɾ
ভাইয়ের,b̤aie̯erɔ,ভাইয়র,bʱɐ͡ɪ̯ʲoɾ
সাথে,s̪at̪ʰe,লগে,lɔge
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
বোনের,bon̪erɔ,বোইনর,boʲɔnoɾ
প্রেম,premɔ,প্রেম,pɾem
ছিলো,t͡ɕʰil̪o,আছিল,ɐcʰɪlo
আমার,amarɔ,আমার,ɐmɐɾ
গতকাল,ɡɔt̪ɔkal̪ɔ,গতকাইল,gɔt̪okɐ͡ɪ̯l
প্রচণ্ড,prɔt͡ɕɔndɔ,প্রচন্ড,pɾocɔnd
মাথা,mat̪ʰa,মাথা,mɐt̪ʰɐ
ব্যথা,bd͡zɔt̪ʰa,বেদনা,bed̪onɐ
করছিলো,kɔrɔt͡ɕʰil̪o,করছিলো,koɾcʰɪlo
আমি,ami,মুই,mu͡ɪ̯
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
কোন,kon̪ɔ,কোন,kon
কথা,kɔt̪ʰa,মাত,mɐt̪
কিছুই,kit͡ɕʰui,কিচ্ছুই,kɪccʰu͡ɪ̯
বুঝতে,bud͡ʑ̤t̪e,বুঝতে,buɟʱt̪e
পারলাম,parl̪amɔ,ফারলাম,pʰɐɾlɐm
না,n̪a,না,nɐ
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
হাশির,haɕirɔ,হাশির,hɐʃɪɾ
কাছে,kat͡ɕʰe,কাছে,kɐcʰe
আমার,amarɔ,আমার,ɐmɐɾ
সব,s̪ɔbɔ,হকল,hokol
কিছু,kit͡ɕʰu,কিছু,kɪcʰu
হার,harɔ,হার,hɐɾ
মেনে,men̪e,মানিয়া,mɐnɪʲɐ
যায়,d͡zae̯,যায়,ɟɐe̯
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
চোখ,t͡ɕokʰɔ,চোউক,co͡u̯k
দুটো,d̪uto,দুইটা,d̪u͡ɪ̯tɐ
অনেক,on̪ekɔ,অনেক,ɔnek
সুন্দর,s̪un̪d̪ɔrɔ,সুন্দর,ʃund̪ɔɾ
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
সাথে,s̪at̪ʰe,লগে,lɔge
অনেক,on̪ekɔ,অনেক,ɔnek
দিন,d̪in̪ɔ,দিন,d̪ɪn
পর,pɔrɔ,পর,pɔɾ
দেখা,d̪ekʰa,দেখা,d̪ɛkʰɐ
ছেলেটি,t͡ɕʰel̪eti,ফুয়াটা,pʰuʲɐtɐ
বিদেশে,bid̪eɕe,বিদোশো,bɪd̪oʃo
গিয়ে,ɡie̯e,গিয়া,gɪʲɐ
পড়ালেখা,pɔɽal̪ekʰa,ফড়ালেখা,pʰɔɽɐlekʰɐ
করার,kɔrarɔ,করার,kɔɾɐɾ
স্বপ্ন,s̪bɔpn̪ɔ,স্বপ্ন,ʃɔpno
দেখে,d̪ekʰe,দেখে,d̪ekʰe
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
সাথে,s̪at̪ʰe,লগে,lɔge
কথা,kɔt̪ʰa,মাতিয়া,mɐt̪ɪʲɐ
বলে,bɔl̪e,আমার,ɐmɐɾ
আমার,amarɔ,অনেক,ɔnek
অনেক,on̪ekɔ,ভালা,bʱɐlɐ
ভালো,b̤al̪o,লাগছে,lɐgcʰe
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
বন্ধুর,bɔn̪d̪̤urɔ,বন্ধুর,bond̪ʱuɾ
সাথে,s̪at̪ʰe,লগে,lɔge
পরিচিত,pɔrit͡ɕit̪ɔ,পরিচত,poɾɪcɔt̪o
হয়ে,he̯e,হইয়া,ho͡ɪ̯ʲɐ
ভালো,b̤al̪o,ভালা,bʱɐlɐ
লাগলো,l̪aɡl̪o,লাগলো,lɐglo
আমার,amarɔ,আমার,ɐmɐɾ
আব্বু,abbu,আব্বু,ɐbbu
আর,arɔ,আর,ɐɾ
চাচার,t͡ɕat͡ɕarɔ,চাচার,cɐcɐɾ
মধ্যে,mɔd̪̤d͡ze,মধ্যে,mod̪d̪ʱe
জায়গা,d͡ʑae̯ɡa,জায়গা,ɟɐʲgɐ
জমি,d͡ʑɔmi,জমি,ɟomɪ
নিয়ে,n̪ie̯e,নিয়া,nɪʲɐ
ঝগড়া,d͡ʑ̤ɔɡɔɽa,মাইর,mɐ͡ɪ̯ɾ
হয়,he̯ɔ,অয়,ɔe̯
লোকটি,l̪okti,লোকটা,loktɐ
কিছু,kit͡ɕʰu,কিছুদিন,kɪcʰud̪ɪn
দিন,d̪in̪ɔ,আগে,ɐge
আগে,aɡe,বিয়া,bɪʲɐ
বিয়ে,bie̯e,করছইন,koɾcʰo͡ɪ̯n
প্রথমে,prɔt̪ʰɔme,প্রথমে,pɾot̪ʰome
তোমাকে,t̪omake,তোমাকে,t̪omɐke
একটি,ekti,একটা,ɛktɐ
বইয়ের,bie̯erɔ,বইয়ের,bo͡ɪ̯ʲeɾ
দোকানে,d̪okan̪e,দোখানো,d̪okʰɐno
যেতে,d͡zet̪e,যাইতে,ɟɐ͡ɪ̯t̪e
হবে,hɔbe,হইবো,ho͡ɪ̯bo
বেশি,beɕi,বেশি,beʃɪ
কিছু,kit͡ɕʰu,কিছু,kɪcʰu
বলার,bɔl̪arɔ,বলার,bɔlɐɾ
আগেই,aɡei,আগেই,ɐge͡ɪ̯
আবেগে,abeɡe,আবেগে,ɐbege
চোখে,t͡ɕokʰe,চোউক,co͡u̯k
পানি,pan̪i,এর,eɾ
চলে,t͡ɕɔl̪e,ফানি,pʰɐnɪ
আসছে,as̪t͡ɕʰe,চলে,cɔle
আপনার,apn̪arɔ,আফনার,ɐpʰnɐɾ
বন্ধুদের,bɔn̪d̪̤ud̪erɔ,বন্ধুদের,bond̪ʱud̪eɾ
গালি,ɡal̪i,গালি,gɐlɪ
দেওয়ার,d̪eoe̯arɔ,দেওয়ার,d̪e͡o̯ʷɐɾ
সুযোগ,s̪ud͡zoɡɔ,সুযোগ,ʃuɟe͡ɐ̯g
করে,kɔre,কইরা,ko͡ɪ̯ɾɐ
দিন,d̪in̪,দিন,d̪ɪn
অনেক,on̪ekɔ,অনেক,ɔnek
মানুষ,man̪uʂɔ,মানুষ,mɐnuʃ
এখনো,ekʰn̪o,এখোনো,exono
পেছনে,pet͡ɕʰn̪e,পেছনো,pecʰono
লাইনে,l̪ain̪e,লাইনো,lɐ͡ɪ̯no
দাঁড়িয়ে,d̪ɔ̃ɽie̯e,দাঁড়িয়া,d̪ɐ̃ɽɪʲɐ
আছে,at͡ɕʰe,আছইন,ɐcʰo͡ɪ̯n
একজন,ekɔd͡ʑɔn̪ɔ,একজন,ɛkɟon
মহিলা,mɔhil̪a,বেডি,bedɪ
মারা,mara,মারা,mɐɾɐ
গেছেন,ɡet͡ɕʰen̪,গেছইন,gecʰo͡ɪ̯n
আপনি,apn̪i,আফনি,ɐcʰonɪ
এত,et̪ɔ,এত,ɛt̪o
গরীব,ɡɔribɔ,গরীব,goɾɪb
আগে,aɡe,আগে,ɐge
কেন,ken̪ɔ,কেনে,kene
বলেননি,bɔl̪en̪n̪i,কইলা,ko͡ɪ̯lɐ
তুমি,t̪umi,তুমি,t̪umɪ
ছাড়া,t͡ɕʰaɽa,ছাড়া,cʰɐɽɐ
এই,ei,এই,e͡ɪ̯
পৃথিবীতে,pɽit̪ʰibit̪e,পৃথিবীতে,pɾɪt̪ʰɪbɪt̪e
আমার,amarɔ,আমার,ɐmɐɾ
আর,arɔ,আর,ɐɾ
কেউ,keu,কেউ,ke͡u̯
নেই,n̪ei,নাই,nɐ͡ɪ̯
আমি,ami,মুই,mu͡ɪ̯
আগেই,aɡei,আগেই,ɐge͡ɪ̯
বলেছি,bɔl̪et͡ɕʰi,কইছলাম,ko͡ɪ̯cʰɔlɐm
তোমাকে,t̪omake,তোমারে,t̪omɐɾe
নিয়ে,n̪ie̯e,নিয়া,nɪʲɐ
বিদেশ,bid̪eɕɔ,বিদেশ,bɪd̪eʃ
ঘুরতে,̤ɡ̤urt̪e,ফাকাইতে,pʰɐkɐ͡ɪ̯t̪e
চাই,t͡ɕai,চাই,cɐ͡ɪ̯
আমার,amarɔ,আমার,ɐmɐɾ
