bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
এই,ei,এই,e͡ɪ̯
বিষয়ে,biʂe̯e,বিষয়ত,bɪʃɔʲt̪
কি,ki,কি,kɪ
করতে,kɔrɔt̪e,গইত্তাম,gɪt̪t̪ɐm
পারি,pari,আই?,ɐ͡ɪ̯?
হায়রে,hae̯re,হায়রে,hɐʲɾe
মানুষ,man̪uʂɔ,মানুষ,mɐnuʃ
একজন,ekɔd͡ʑɔn̪ɔ,একজন,ɛkzon
আরেকজনের,arekɔd͡ʑɔn̪erɔ,আরেজনর,ɐɾezɔnoɾ
প্রতি,prɔt̪i,ফ্রতি,fɾot̪ɪ
হিংসা,hiŋs̪a,ইংসা,ɪŋʃɐ
করে,kɔre,গরে,goɾe
আমি,ami,আই,ɐ͡ɪ̯
আমার,amarɔ,আর,ɐɾ
বাসার,bas̪arɔ,বাসার,bɐʃɐɾ
সামনের,s̪amn̪erɔ,সামনদ্দি,ʃɐmonɔd̪d̪ɪ
খেলার,kʰel̪arɔ,খেয়া,xeʲɐ
মাঠে,matʰe,খেলিবার,xelɪbɐɾ
খেলি,kʰel̪i,মাঠ,mɐtʰ
আম,amɔ,আম,ɐm
দিয়ে,d̪ie̯e,দিয়েরে,d̪ɪʲeɾe
শরবত,ɕɔrɔbɔt̪ɔ,শরবত,ʃɔɾbot̪
বানিয়ে,ban̪ie̯e,বানাইয়েরে,bɐnɐ͡ɪ̯ʲeɾe
খাও,kʰao,হ,ho
ঠাণ্ডা,tʰanda,ঠান্ডা,tʰɐndɐ
শরবত,ɕɔrɔbɔt̪ɔ,শরবত,ʃɔɾbot̪
খেলে,kʰel̪e,হাইলে,hɐ͡ɪ̯le
ভালো,b̤al̪o,গম,gɔm
লাগবে,l̪aɡbe,লাইব,lɐ͡ɪ̯b
তোমার,t̪omarɔ,দে,d̪e
এতো,et̪o,এতোো,nɔ
চিন্তা,t͡ɕin̪t̪a,চিন্তা,lɐgeɾ
করা,kɔra,ন,nɪzeɾe
লাগবে,l̪aɡbe,লাগের,lɔ͡ɪ̯
না,n̪a,নিজেরে,cɪnt̪ɐ
নিজেরে,n̪id͡ʑere,লই,gɔɾ
আমকে,amke,আমরে,ɐmɾe
আমাদের,amad̪erɔ,আরার,ɐɾɐɾ
দেশে,d̪eɕe,দেশর,d̪eʃɔɾ
‘ফলের,‘ɸɔl̪erɔ,ফলের,pʰɔleɾ
রাজা’,rad͡ʑa’,রাজা,ɾɐɟɐ
বলা,bɔl̪a,হয়,hɔe̯
হয়,he̯ɔ,দে,d̪e
তুমি,t̪umi,তুই,t̪u͡ɪ̯
দেখতে,d̪ekʰt̪e,দেখতে,d̪ext̪e
সুন্দর,s̪un̪d̪ɔrɔ,সুন্দর,ʃund̪ɔɾ
না,n̪a,ন,nɔ
হলেও,hɔl̪eo,অইলেও,ɛ͡ɪ̯le͡o̯
আমি,ami,আই,ɐ͡ɪ̯
তোমাকেই,t̪omakei,তোওারেই,t̪o͡o̯ɐɾe͡ɪ̯
চাই,t͡ɕai,চাই,cɐ͡ɪ̯
সেখানে,s̪ekʰan̪e,সেখানে,ʃexɐne
অনেক,on̪ekɔ,বহুত,bohut̪
পুলিশ,pul̪iɕɔ,পুলিশ,pulɪʃ
দেখে,d̪ekʰe,দেহিয়েরে,d̪ehɪʲeɾe
বাসার,bas̪arɔ,বাসার,bɐʃɐɾ
দিকে,d̪ike,মিক্কা,mɪkkɐ
ফিরছিলাম,ɸirt͡ɕʰil̪am,আইর,ɐ͡ɪ̯ɾ
আমি,ami,আই,ɐ͡ɪ̯
চলে,t͡ɕɔl̪e,চলি,colɪ
যাচ্ছি,d͡zat͡ɕt͡ɕʰi,যাইর,zɐ͡ɪ̯ɾ
তোমাকে,t̪omake,তোয়ার,t̪oʷɐɾ
আর,arɔ,আর,ɐɾ
কোন,kon̪ɔ,হোন,hon
দিন,d̪in̪ɔ,দিন,d̪ɪn
ফোন,ɸon̪ɔ,ফোন,fon
দিয়ে,d̪ie̯e,দিয়েরে,d̪ɪʲeɾe
বলবোনা,bɔl̪ɔbon̪a,ন,nɔ
একটু,ektu,হইয়ুম,ho͡ɪ̯ʲum
সময়,s̪ɔme̯ɔ,এক্কেনা,ɛkkenɐ
দাও,d̪ao,সময়,ʃɔmɔe̯
বুঝে,bud͡ʑ̤e,বুঝি,buzʱɪ
উঠতে,utʰt̪e,উঠিন্ন,utʰɪnno
পারছিলাম,part͡ɕʰil̪amɔ,ফারির,fɐɾɪɾ
না,n̪a,কেন,keno
কী,ki,গইজ্জুম,gɔ͡ɪ̯zzum
আমি,ami,আঁই,ɐ̃ɪ
ভালো,b̤al̪o,বালা,bɐlɐ
ছেলে,t͡ɕʰel̪e,ফোঁয়া,fõʷɐ
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ
জন্য,d͡ʑɔn̪d͡zɔ,লাই,lɐ͡ɪ̯
আব্বা,abba,আর,ɐɾ
আমার,amarɔ,আব্বা,ɐbbɐ
জন্য,d͡ʑɔn̪d͡zɔ,আর,ɐɾ
মেয়ে,mee̯e,লাই,lɐ͡ɪ̯
খুজতাসে,kʰud͡ʑt̪as̪e,মাইয়্যা,mɐ͡ɪ̯ʲlɐ
আম্মা,amma,আম্মা,ɐmmɐ
আমাকে,amake,আঁরে,ɐ̃ɾe
গতকাল,ɡɔt̪ɔkal̪ɔ,গতহালিয়া,gɔt̪ohɐlɪʲɐ
একটা,ekta,উওজ্ঞা,u͡o̯ggɐ
ছেলের,t͡ɕʰel̪erɔ,ফোয়ার,foʷɐɾ
সাথে,s̪at̪ʰe,লই,lɔ͡ɪ̯
দেখা,d̪ekʰa,দেহা,d̪ehɐ
করতে,kɔrɔt̪e,গইর,gɪɾ
বলেছিলও,bɔl̪et͡ɕʰil̪o,ত,t̪o
ছেলেটিকে,t͡ɕʰel̪etike,ফোয়াইবারে,foʷɐ͡ɪ̯bɐɾe
আমার,amarɔ,আত্তুন,ɐt̪t̪un
ভাল,b̤al̪ɔ,গম,gɔm
লেগেছে,l̪eɡet͡ɕʰe,লাইগ্যে,lɐ͡ɪ̯gke
ছেলেটি,t͡ɕʰel̪eti,ফোয়াইবা,foʷɐ͡ɪ̯bɐ
হয়ত,he̯ɔt̪ɔ,অন্য,ɔnno
অন্য,on̪d͡zɔ,হনো,hono
কোনও,kon̪o,মাইফোয়ারে,mɐ͡ɪ̯foʷɐɾe
মেয়েকে,mee̯eke,বালবাসে,bɐlbɐʃe
ভালবাসে,b̤al̪bas̪e,ফল্লাই,fɔllɐ͡ɪ̯
মেয়েটি,mee̯eti,মাইফোয়া,mɐ͡ɪ̯foʷɐ
ছেলেটার,t͡ɕʰel̪etarɔ,ইবা,ɪbɐ
অপেক্ষায়,opekʂae̯ɔ,ফোয়াইবার,foʷɐ͡ɪ̯bɐɾ
থাকে,t̪ʰake,অফেক্কায়,ɔfekkɐe̯
ছেলেটি,t͡ɕʰel̪eti,ফোয়াইবা,foʷɐ͡ɪ̯bɐ
কেন,ken̪ɔ,কিল্লাই,kɪllɐ͡ɪ̯
যে,d͡ze,যে,ze
মেয়েটার,mee̯etarɔ,মাইফোয়া,mɐ͡ɪ̯foʷɐ
মনের,mɔn̪erɔ,ইবার,ɪbɐɾ
কথা,kɔt̪ʰa,মনোর,monoɾ
বুঝে,bud͡ʑ̤e,হতা,hɔt̪ɐ
না,n̪a,ন,nɔ
মেয়েটি,mee̯eti,মাইফোয়া,mɐ͡ɪ̯foʷɐ
হয়ত,he̯ɔt̪ɔ,ইবা,ɪbɐ
ছেলেটাকে,t͡ɕʰel̪etake,ফোয়াইবারে,foʷɐ͡ɪ̯bɐɾe
তাঁর,t̪ɔ̃rɔ,তাই,t̪ɐ͡ɪ̯
মনের,mɔn̪erɔ,মনোর,monoɾ
কথা,kɔt̪ʰa,হতা,hɔt̪ɐ
ভাল,b̤al̪ɔ,গম,gɔm
ভাবে,b̤abe,গরি,goɾɪ
বুঝাতে,bud͡ʑ̤at̪e,বউযাইত,bɔ͡u̯zɐ͡ɪ̯t̪o
পারেনাই,paren̪ai,ন,nɔ
হয়ত,he̯ɔt̪ɔ,হনো,hono
কোন,kon̪ɔ,একদিন,ɛkd̪ɪn
একদিন,ekd̪in̪ɔ,ফোয়াইবা,foʷɐ͡ɪ̯bɐ
ছেলেটি,t͡ɕʰel̪eti,মাইফোয়া,mɐ͡ɪ̯foʷɐ
মেয়েটাকে,mee̯etake,ইবারে,ɪbɐɾe
ভালবাসবে,b̤al̪bas̪ɔbe,বালবাসিবো,bɐlbɐʃɪbo
তুমি,t̪umi,তুঁই,t̪ũɪ
আমাকে,amake,আঁরে,ɐ̃ɾe
দয়া,d̪e̯a,দয়া,d̪ɔʲɐ
করে,kɔre,গরি,goɾɪ
আর,arɔ,বিরক্ত,bɪɾokt̪o
বিরক্ত,birɔkt̪ɔ,ন,nɔ
করো,kɔro,গইরগো,go͡ɪ̯ɾgo
সে,s̪e,ইতে,bɔ͡u̯t̪o
তাকে,t̪ake,তারে,bɪɾokt̪o
অনেক,on̪ekɔ,বউত,goɾe
এইবার,eibarɔ,এবার,ebɐɾ
ছুটিতে,t͡ɕʰutit̪e,চুটিত,cutɪt̪o
সিলেট,s̪il̪etɔ,সিলেট,sɪlet
ঘুরতে,̤ɡ̤urt̪e,বেরাইতো,beɾɐ͡ɪ̯t̪o
যাব,d͡zab,যাইয়্যুম,zɐ͡ɪ̯ʲd̪ʱum
আমি,ami,আঁই,ɐ̃ɪ
যাকে,d͡zake,যারে,zɐɾe
ভালবাসি,b̤al̪bas̪i,বালবাসি,bɐlbɐʃɪ
আমার,amarɔ,আঁর,ɐ̃ɾ
এখন,ekʰɔn̪ɔ,এহন,ehon
বইটা,bita,বইওয়া,bo͡ɪ̯oʷɐ
লাগবে,l̪aɡbe,ন,nɔ
নাহ,n̪ahɔ,লাগিবো,lɐgɪbo
তুমি,t̪umi,তুঁই,t̪ũɪ
কি,ki,কি,kɪ
এই,ei,বইইবা,bo͡ɪ̯͡ɪ̯bɐ
বইটি,biti,ফইরতো,fɪɾot̪o
পড়তে,pɔɽɔt̪e,চ,c
চাও,t͡ɕao,নে,ne
আপনি,apn̪i,অনে,ɔne
কি,ki,কি,kɪ
এই,ei,বইইবা,bo͡ɪ̯͡ɪ̯bɐ
বইটি,biti,ফইরতো,fɪɾot̪o
পড়তে,pɔɽɔt̪e,চন,cɔn
চান,t͡ɕan̪ɔ,নে,ne
আমার,amarɔ,আত্তুন,ɐt̪t̪un
বই,bi,বই,bo͡ɪ̯
পরতে,pɔrɔt̪e,ফইরতে,fɪɾt̪e
অনেক,on̪ekɔ,বউত,bɔ͡u̯t̪o
ভাল,b̤al̪ɔ,বালা,bɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
তোমার,t̪omarɔ,তোঁয়ার,t̪õʲɐɾ
আমাকে,amake,আঁরে,ɐ̃ɾe
চিনতে,t͡ɕin̪t̪e,চিনা,cɪnɐ
হবে,hɔbe,ন,nɔ
না,n̪a,ফরিবো,foɾɪbo
অনেক,on̪ekɔ,বউত,bɔ͡u̯t̪o
রাত,rat̪ɔ,রাইত,ɾɐ͡ɪ̯t̪o
হয়েছে,he̯et͡ɕʰe,অইয়্যে,ɔ͡ɪ̯kt̪e
এখন,ekʰɔn̪ɔ,এহন,ehon
ঘুমিয়ে,̤ɡ̤umie̯e,গুম,gum
যাও,d͡zao,য,z
তোমাকে,t̪omake,তোঁয়াত্তুন,t̪õʲɐt̪t̪un
পড়ালেখা,pɔɽal̪ekʰa,ফরালেহা,fɔɾɐlehɐ
করতে,kɔrɔt̪e,গরা,gɔɾɐ
হবে,hɔbe,ফরিবো,foɾɪbo
তোমার,t̪omarɔ,তোঁয়াত্তুন,t̪õʲɐt̪t̪un
পড়ালেখা,pɔɽal̪ekʰa,ফরালেহা,fɔɾɐlehɐ
করতে,kɔrɔt̪e,গইরতো,gɪɾot̪o
ভাল,b̤al̪ɔ,গম,gɔm
লাগে,l̪aɡe,ন,nɔ
না?,n̪a?,লাগে,lɐge
আমাকে,amake,আঁত্তুন,ɐ̃t̪t̪un
পড়ালেখা,pɔɽal̪ekʰa,ফরালেহা,fɔɾɐlehɐ
করতে,kɔrɔt̪e,গরা,gɔɾɐ
হবে,hɔbe,ফরিবো,foɾɪbo
সে,s̪e,ইবা,ɪbɐ
অনেক,on̪ekɔ,বউত,bɔ͡u̯t̪o
ভালো,b̤al̪o,বালা,bɐlɐ
রান্না,ran̪n̪a,রান্না,ɾɐnnɐ
করে,kɔre,গরে,goɾe
আমি,ami,আঁই,ɐ̃ɪ
একটি,ekti,এক্কান,ɛkkɐn
বিদ্যালয়,bid̪d͡zal̪e̯ɔ,বিদ্যালয়,bɪd̪d̪ɐlɔe̯
পড়ালেখা,pɔɽal̪ekʰa,অত,ɔt̪o
করি,kɔri,ফরালেহা,fɔɾɐlehɐ
আমার,amarɔ,আঁর,ɐ̃ɾ
ছোট,t͡ɕʰotɔ,চোড,cod
বোন,bon̪ɔ,বইন,bo͡ɪ̯n
একটি,ekti,এক্কান,ɛkkɐn
বিদ্যালয়ে,bid̪d͡zal̪e̯e,বিদ্যালয়,bɪd̪d̪ɐlɔe̯
পড়ে,pɔɽe,অত,ɔt̪o
আমার,amarɔ,আঁর,ɐ̃ɾ
ছোট,t͡ɕʰotɔ,ছোড,cʰod
ভাই,b̤ai,ভাই,vɐ͡ɪ̯
একটি,ekti,এক্কান,ɛkkɐn
বিদ্যালয়ে,bid̪d͡zal̪e̯e,বিদ্যালয়,bɪd̪d̪ɐlɔe̯
পড়ালেখা,pɔɽal̪ekʰa,অত,ɔt̪o
করে,kɔre,ফরালেহা,fɔɾɐlehɐ
আমার,amarɔ,আত্তুন,ɐt̪t̪un
বিদ্যালয়ে,bid̪d͡zal̪e̯e,বিদ্যালয়,bɪd̪d̪ɐlɔe̯
যেতে,d͡zet̪e,অত,ɔt̪o
ভাল,b̤al̪ɔ,যাইত,zɐ͡ɪ̯t̪o
লাগে,l̪aɡe,গম,gɔm
না,n̪a,ন,nɔ
আমার,amarɔ,আঁর,ɐ̃ɾ
বিয়ের,bie̯erɔ,বিয়ার,bɪʲɐɾ
বয়স,be̯ɔs̪ɔ,বয়স,bɔʲoʃ
পার,parɔ,ফার,fɐɾ
হয়ে,he̯e,অই,ɔ͡ɪ̯
যাচ্ছে,d͡zat͡ɕt͡ɕʰe,যার,zɐɾ
আহারে,ahare,আহারে,ɐhɐɾe
তোমার,t̪omarɔ,তোঁয়ার,t̪õʲɐɾ
মনে,mɔn̪e,মন,mon
কতো,kɔt̪o,অত,ɔt̪o
দুঃখ,d̪uঃkʰɔ,হত,hɔt̪o
আমি,ami,আঁই,ɐ̃ɪ
ঘুমাতে,̤ɡ̤umat̪e,গুম,gum
যাবো,d͡zabo,যাইতো,zɐ͡ɪ̯t̪o
আমি,ami,আঁই,ɐ̃ɪ
নাচতে,n̪at͡ɕt̪e,নাচিত,nɐcɪt̪o
পারি,pari,ফারি,fɐɾɪ
আমি,ami,আঁই,ɐ̃ɪ
সাঁতার,s̪ɔ̃t̪arɔ,আচুইরতে,ɐcu͡ɪ̯ɾt̪e
কাটতে,katt̪e,পচন্দ,pɔcond̪o
পছন্দ,pɔt͡ɕʰɔn̪d̪ɔ,গরি,goɾɪ
আমি,ami,আঁই,ɐ̃ɪ
তোমার,t̪omarɔ,তোয়াঁর,t̪oʷɐ̃ɾ
বাসায়,bas̪ae̯ɔ,বাসাত,bɐʃɐt̪
ঘুরতে,̤ɡ̤urt̪e,বেরাইতো,beɾɐ͡ɪ̯t̪o
আসবো,as̪bo,আইসসোম,ɐ͡ɪ̯sʃom
সে,s̪e,ইতে,ɪt̪e
তার,t̪arɔ,তার,t̪ɐɾ
গ্রামের,ɡɔramerɔ,গেরামর,geɾɐmɔɾ
বাড়িতে,baɽit̪e,বারিত,bɐɾɪt̪ɔ
ঘুরতে,̤ɡ̤urt̪e,বেরাইতো,beɾɐ͡ɪ̯t̪o
গিয়েছে,ɡie̯et͡ɕʰe,গেয়্যে,gekt̪e
আমার,amarɔ,আঁর,ɐ̃ɾ
বন্ধু,bɔn̪d̪̤u,বন্দু,bond̪u
মানসিক,man̪s̪ikɔ,মানসিক,mɐnoʃɪk
ভাবে,b̤abe,বাবে,bɐbe
দুর্বল,d̪urbɔl̪ɔ,দুর্বল,d̪uɾbol
এমন,emɔn̪ɔ,এন,en
অবস্থায়,obɔs̪t̪ʰae̯ɔ,সময়,ʃɔmɔe̯
তার,t̪arɔ,তার,t̪ɐɾ
কি,ki,কি,kɪ
করা,kɔra,গরা,gɔɾɐ
উচিত,ut͡ɕit̪ɔ,উচিত,ucɪt̪
আমার,amarɔ,আঁর,ɐ̃ɾ
দুইটি,d̪uiti,দুওয়া,d̪u͡o̯ʷɐ
বাবু,babu,বাবু,bɐbu
আছে,at͡ɕʰe,আচে,ɐce
আমার,amarɔ,আঁর,ɐ̃ɾ
স্বামীকে,s̪bamike,জামাইরে,zɐmɐ͡ɪ̯ɾe
আমি,ami,আঁই,ɐ̃ɪ
খুব,kʰubɔ,কুব,kubo
ভালোবাসি,b̤al̪obas̪i,বালবাসি,bɐlbɐʃɪ
অনেক,on̪ekɔ,বউতদিন,bɔ͡u̯t̪od̪ɪn
দিন,d̪in̪ɔ,ফর,fɔɾ
পর,pɔrɔ,অনর,ɔnoɾ
আপনার,apn̪arɔ,লই,lɔ͡ɪ̯
সাথে,s̪at̪ʰe,দেহা,d̪ehɐ
আপনি,apn̪i,অনে,ɔne
কেমন,kemɔn̪ɔ,কেন,keno
আছেন,at͡ɕʰen̪ɔ,আচন,ɐcon
আপনার,apn̪arɔ,অনর,ɔnɔɾ
কি,ki,কি,kɪ
আমার,amarɔ,আঁর,ɐ̃ɾ
কথা,kɔt̪ʰa,হতা,hɔt̪ɐ
মনে,mɔn̪e,মনোত,monot̪o
আছে,at͡ɕʰe,আচে,ɐce
এখনও,ekʰn̪o,আইযো,ɐ͡ɪ̯zo
আমার,amarɔ,আঁর,ɐ̃ɾ
পড়ালেখা,pɔɽal̪ekʰa,ফরালেহা,fɔɾɐlehɐ
করতে,kɔrɔt̪e,গইরতো,gɪɾot̪o
ভালো,b̤al̪o,গম,gɔm
লাগে,l̪aɡe,না,nɐ
নাহ,n̪ahɔ,লাগে,lɐge
আমার,amarɔ,আঁর,ɐ̃ɾ
বিদেশে,bid̪eɕe,বিদেশঅত,bɪd̪eʃɔt̪o
গিয়ে,ɡie̯e,যাই,zɐ͡ɪ̯
পড়ালেখা,pɔɽal̪ekʰa,ফরালেহা,fɔɾɐlehɐ
করার,kɔrarɔ,গরিবর,goɾɪbɔɾ
স্বপ্ন,s̪bɔpn̪ɔ,সফ্ন,ʃɔfno
আপনার,apn̪arɔ,অনর,ɔnɔɾ
সাথে,s̪at̪ʰe,লাই,lɐ͡ɪ̯
কথা,kɔt̪ʰa,হতা,hɔt̪ɐ
বলে,bɔl̪e,হই,ho͡ɪ̯
অনেক,on̪ekɔ,বউত,bɔ͡u̯t̪o
ভালো,b̤al̪o,গম,gɔm
লাগলো,l̪aɡl̪o,লাইজ্ঞে,lɐ͡ɪ̯gge
অনেকে,on̪eke,বউতকিয়ায়,bɔ͡u̯t̪okɪʲɐe̯
বলে,bɔl̪e,হদে,hod̪e
প্রেম,premɔ,ফ্রেম,fɾem
করলে,kɔrɔl̪e,গইরলে,gɪɾle
মানুষ,man̪uʂɔ,মানুষ,mɐnuʃ
বোকা,boka,ডিলা,dɪlɐ
হয়,he̯ɔ,অই,ɔ͡ɪ̯
অনেকে,on̪eke,বউতকিয়ায়,bɔ͡u̯t̪okɪʲɐe̯
আরো,aro,আরো,ɐɾo
বলে,bɔl̪e,হদে,hod̪e
যে,d͡ze,যে,ze
বিয়ে,bie̯e,বিয়া,bɪʲɐ
করলে,kɔrɔl̪e,গইরলে,gɪɾle
মানুষ,man̪uʂɔ,মানুষ,mɐnuʃ
নাকি,n̪aki,গাদা,gɐd̪ɐ
গাধা,ɡad̪̤a,অই,ɔ͡ɪ̯
একজন,ekɔd͡ʑɔn̪ɔ,ওজ্ঞা,oggɐ
লোক,l̪okɔ,লোক,lok
মারা,mara,মরি,moɾɪ
গেছেন,ɡet͡ɕʰen̪,গেইয়্যুই,ge͡ɪ̯ʲu͡ɪ̯
তুমি,t̪umi,তুঁই,t̪ũɪ
এত,et̪ɔ,ইল্লা,ɪllɐ
গরীব,ɡɔribɔ,গরিব,goɾɪb
আগে,aɡe,আগে,ɐge
কেন,ken̪ɔ,কা,kɐ
বলোনি,bɔl̪on̪i,ন,nɔ
আমি,ami,আঁই,ɐ̃ɪ
আগেই,aɡei,আগেই,ɐge͡ɪ̯
বলেছি,bɔl̪et͡ɕʰi,হয়্যি,hokɪ
তুমি,t̪umi,তুঁই,t̪ũɪ
ছাড়া,t͡ɕʰaɽa,চারা,cɐɾɐ
এই,ei,এই,e͡ɪ̯
পৃথিবীতে,pɽit̪ʰibit̪e,দুনিয়াত,d̪unɪʲɐt̪
আমার,amarɔ,আঁর,ɐ̃ɾ
আর,arɔ,আর,ɐɾ
কিছুই,kit͡ɕʰui,কিচু,kɪcu
নাই,n̪ai,নাই,nɐ͡ɪ̯
মনের,mɔn̪erɔ,মনোর,monoɾ
ভালোবাসা,b̤al̪obas̪a,বালবাসা,bɐlbɐʃɐ
চিরদিন,t͡ɕird̪in̪ɔ,চিরদিন,cɪɾd̪ɪn
থেকে,t̪ʰeke,তাকি,t̪ɐkɪ
যাবে,d͡zabe,যাইবই,ɟɐ͡ɪ̯bo͡ɪ̯
জীবনের,d͡ʑibn̪erɔ,জিবনর,ɛkkɐnɐ
কিছুটা,kit͡ɕʰuta,এক্কানা,fot̪o
পথ,pɔt̪ʰɔ,ফত,gɐ͡ɐ̯gɐ͡ɪ̯
একা,eka,গাআগাই,cɔlɐ
একা,eka,চলা,t̪ɛmon
চলা,t͡ɕɔl̪a,তেমন,kotɪn
তেমন,t̪emɔn̪ɔ,কটিন,n
জীবন,d͡ʑibɔn̪ɔ,যিবন,lɐ͡ɪ̯
মন,mɔn̪ɔ,মন,mon
হলো,hɔl̪o,অইলদি,ɔ͡ɪ̯ld̪ɪ
দেবার,d̪ebarɔ,দিবর,d̪ɪbɔɾ
জন্য,d͡ʑɔn̪d͡zɔ,লাই,lɐ͡ɪ̯
ভালবাসা,b̤al̪bas̪a,বালবাসা,bɐlbɐʃɐ
