Pokorny_entry	English_gloss
noku̯-(t-)	night
nōmn̥	name
nōt-, nət-	rump, nates, backside
nū̆-	now
n̥dhos, n̥dheri	under
n̥si-	black, dirty
n̥si-s	sword
1 o	to, with
2 ō	O (vocative particle)
obhel-	to sweep; multiply
obhi-	to, from, around, etc.
1 od-	to smell
2 od-	hatred, disgust, odium, aversion
ō̆d(e)go-, or ō̆d(e)gu̯o-	stem, stalk
ōg-, əg-	to grow; fruit, berry
oi-	(pronoun stem)
oid-	to swell; strong
oi-no-, oi-u̯o-	(demonstrative particle: one, this, etc.)
oiu̯ā	(vocative particle)
ok-	to consider
ok̑tō(u)	eight, octad
ōk̑ú-s	quick(ly)
oku̯-	to see, ogle; eye
ol-(e-)	to destroy
om-	raw, coarse, bitter
om(e)so-s	shoulder
omə-	to suffer; firm up, proceed energetically
ond-, n̥d-	rock, stone
oner-	dream
ong-, better ang-	coal
ongu̯-	to anoint
ono-, and onə-, also (o)no-d-	to scold, abuse, revile
onogh- : ongh-, nogh-, Celtic n̥gh-, ongh-li-	claw, (finger/toe) nail
1 op-	to work, perform, operate, bring about
2 op-	to opt, choose, opine, suggest
opi	at, by
ōr-, ər-	to call, speak, talk, orate
orbho-	weak, abandoned; slave, orphan
oreu̯-, ereu-	entrails
org̑hi-, r̥g̑hi-	testicle
org-	to hit, kill
ort-	vine
*ōs, ōs-i-s, ō̆s-en-, os-k-	ash (tree)
ost(h)-, ost(h)i, ost(h)r̥(g), oblique ost(h)-(e)n-	os, bone
oug-, ou-?	cold
ō(u̯)i̯-om	egg, ovum
óu̯i-s	ewe, sheep
1 ōus- : əus-	os, mouth
2 ōus- : əus- : us-	ear
ozdo-s	branch
ozgho-	bud, sprout, twig
pā- : pə-, and pā-t- : pə-t-	to feed, graze, pasture
pā̆k̑-, and pā̆g̑-	to repair, strengthen
pā̆n-	pane, panel, woven fabric
pando-s	crooked
pank-, pang-	to swell
pap(p)a	papa (nursery word); food, meal
pā̆r-	to show, be visible
parīkā	concubine
pāsó-s	a relative
pasto-	firm, fast, solid
paus-	to free, let loose
pāuson-, pūson-	(name of a deity)
1 pē̆d-, pō̆d-	to hold; vat, vessel, container
2 pē̆d-, pō̆d-	foot
peg- : pog- : pōg-, pō̆k-s-	hip, side, shoulder
pē(i)-, pī-	to hurt, scold, shame
pei̯(ə)-, pī̆-	fat; milk
1 peig-, and peik-	colored, speckled
2 peig̑-, and peik̑-	to be hostile
pei-m(i)-	swift, quick, rapid, nimble
1 peis-? : pis-	to grind, trample
2 peis-, speis-	to blow, fizz
peisk-, pisk-	fish
1 pek̑-, pēk̑-, pōk̑-	to be joyful, make pretty
2 pek̑-	to fleece; fee, cattle
peku̯-	to cook
1 pel-, pelə-, plē-	to pour, fill; full, plenary; town?
2a pel-, pelə- : plā-	to drive, propel, set in motion
2b pel-, pel-en-, pel-t-, pel-u̯-	dust, powder; meal, flour
3a pel-	to fold
3b pel-, pelə-, plē-	to wrap, cover; cloth; fell, pelt
4 pel-	dish, vessel
5 pel-	to earn, sell
6 pel-	gray, dull color; pallor
7 pel-, pol-, plē-, plō̆-	to burn, be warm
pelə-, plā-	plane, flat, wide, broad
peli-s-, pel-s-	fell, rock
pelk̑- : polk̑-	to turn, bend
pelpo-, or polpo-	woodwork
1 pen-	to feed
2 pen-, pen-ko-	mud, fen, swamp, water; wet
penku̯e	five, fifth
pent-	to go, walk, pad, tread; way, path
1 per-, perə- : prē-, preu-	to spray, sprinkle, drizzle
2a per-	to pass over/beyond
2b per-, perə-	to fare, ferry, transport, go/carry over
2c per-, perə-	to sell, impart
2d per-	to bear (a child)
2e per-	to dare, risk, try; peril, danger
3 per-, per-g-	to hit, kill
perd-	to fart, break wind (loudly)
1 perg-	pole, stem, trunk
2 perg-	fear; to frighten
1 perk-, prek-	to fill up
2 perk- : pr̥k-	coals, glowing ash
1 perk̑-	breast, rib cage
2 perk̑-, prek̑-	spotted, speckled
3 perk̑-, pr̥k̑-	to open, dig out, rip up; furrow
4 perk̑-, prek̑-, pr̥k̑-	to request, ask/pray for
perku̯u-s	oak
pers-	to spray, sprinkle, drizzle; dust, ashes
persnā, persnī̆-, persno-	heel
perth-	pole, stick
1 pē̆s-	to blow
2 pēs-, nasalized pēns-	dust, sand
3 pes-, pesos	penis
1 pet-, pet-, petə-	to stretch out (esp. arms)
2 pet-, petə- : ptē-, ptō-, Hellenic ptā-	to fall, tumble down
1 peu-, peu̯ə- : pū̆-	to sift, clean, purge, purify
2 peu-	to repute, explore, understand
3 peu-	foam, froth
pēu- : pəu- : pū̆-	to hit; sharp
peuk̑-, and peug̑-	to pink, stab, stick
peu̯ə-	to rot, stink
peu̯ōr, pū̆r, genitive pu-n-és, locative puu̯éni	fire
pezd-	to break wind (softly)
pətḗ(r), genitive pətr-és	father
pid-	to bear, give birth?
pik(h)o-	knot, lump
pi-lo-	hair, pile, pilus
pi-n-	piece of wood
pī̆p(p)-	to peep, squeak
pīzdā-	vulva
plab-	to babble, prattle, etc.
1 plā-k- : plə-k-, ple-k- : plō̆-k-, plei-k-, and pelə-g- : plā-g- : plə-g-	flat, wide, broad; spread out
2 plāk-, plāg-, also plēk-, plēg-	to hit, beat, fling
plā̆t-, plā̆d-, plē̆t-, plō̆t-, plət-	flat, wide, broad; spread out
plē-, plə-	to cut, split off
plēi-, pləi-, plī-	bald, bare, naked
plek̑-	to ply, pleach, plait, weave
plēk̑-, plək̑-, and plēik̑-, plīk̑-	to flay, peel, rip, tear off
pleu-	to flee, fly, run; flow, swim
pleuk-	floc, hair, feather
pl(e)u-mon-, pleu-ti̯o-	lung
pleus-	to pluck, deplume, pull out; plucked hair/feathers
pləi-, pləu-	to broaden, show off
plouto-, pluto-	(wooden object)
pneu-	to pant, breathe
pn̥ksti-	fist
1 pō(i)- : pəi-? : pī-	to graze, pasture
2 pō(i)- : pī-, and (from pō-), po-	to bib, drink
polo- : pōlo-	big, fat, thick, swollen
pork̑o-s	porker, pig(let)
pos	about, around; by, beside; in front of
po-ti	against, opposite, toward
poti-s	host, husband, lord, master, owner
pōu- : pəu- : pū̆-	few, small, little; young (of animals)
pougo-, or pougho-	pure, clear
prā-	to bend
prāi-, prəi-, prī-, pri-	to like, feel friendly/well-disposed
preg-	greedy, covetous; willful, violent
prep-	to catch sight of
pret-, prō̆t-	to understand
preu-	to hop, jump
preus-	to burn, freeze
prīs-	to granulate, reduce to small pieces
prō̆-	to pass over/beyond
prōk̑to- : prək̑to-	rump, backside
pr̥so-	leek, onion, garlic
pster-, pstereu-	to sneeze
ptel(e)i̯ā	(type of tree, e.g. poplar/popple)
1 pū̆-, peu-, pou-, also phu-	to blow (up)
2 pū̆- : peu̯ə-	to rot, stink
3 pū̆-	to hit; sharp
1 pū̆k-, peuk-	thick-haired
2 puk̑-	to enclose, press together
pu-lo-	(stiff) hair
pū-ro-	grain, kernel
phel-	to cut, split, tear off; board
pher-	to rush, act rashly, push away, etc.
phō̆l-	to fall
phu-	to blow (up)
rabh-, or rebh- : rebh-	to rage, be furious
rāp-, rēp-	rape (plant), turnip
rā̆s-	to cry, (re)sound
1 rē-, rə-, extended rē-dh-	to count, compute
2 rē̆-, extended rē-dh-	separate
3 rē-	to row; oar
4 rē-	to rest, be still
5 rē-	dark
6 rē-	to cry
1 rebh-	to move, hurry about
2 rebh-	to roof, thatch
red-, rod-	to flow
1 rēd-	to excite, cheer up, be joyful
2 rēd- : rōd- : rəd-	to gnaw, scrape, scratch
1 reg-, and sreg-?	to dye
2 reg-	to see
1 reg̑-	to regulate, make just/right; king, reign
2 reg̑-, rek̑-, rek-?	damp; rain
regu̯os-	darkness
1 rei-	to cut, reap, rive, tear, scratch
2 rei-, roi-	spotted, speckled, brightly variegated
3 rei-, rē(i)-	to cry, scream, bellow, etc.
4 rei- : rēi-	thing, possession
5 rei-	to support
1 rēi- : rī-	to count, arrange
2 rēi-, rōi-	nut
reibh-	(onomatopoeic: to resound?)
reid-	to support, lean against
reidh-	to ride, go (in vehicle)
reig-, or reig̑-	to rig, tie, bind
reig̑-, rēig̑-	to reach, stretch out
rei̯ə-, rī-	to flow, move
reik-	to stretch oneself; pole
rei-r(ēi)-	(onomatopoeic: to quake, tremble)
rēito-, rēiti-	joint, shoulder (of animals)
1 rek-	to project, tower up; pole
2 rē̆k-	to reck, reckon, arrange, prepare
rek̑-, reg̑-	to bind
rek̑þh-	to harm, injure
rem-, remə-	to rest; to support
remb-, romb-, romb-	to hack, hoe
rendh-	to rend, rip, tear to pieces
rent-	thing?
rep-	to grab, rip out, ravish
1 rēp-, rep-?	to creep, crawl
2 rēp-, rəp-	pole, stake, beam, rafter
rēs-, rōs-	to flow
ret(h)-	to run, roll, rotate
rēt-, rōt-, rət-	pole, rood; stem, stick, trunk
1 reu-, rēu-, rū̆-	(onomatopoeic: to roar, rout, round, etc.)
2 reu-, reu̯ə- : rū̆-	to open, tear out, dig/rip up, etc.
3 reu-, reu-s-	to hasten
4 reu-	to search
reu-b-, and reu-g-	to belch, eruct, retch, vomit
reudh-	red
reugh-m(e)n-	ream, cream?
reus-	elm (tree)
reu-smen-	to chew, ruminate; throat, rumen
reuto-, routo-, rut-	stomach, intestines (of an animal)
reu̯ə- : rū-	to ream, open; wide, roomy
rezg-	to plait, weave, wind
roi-no-	hill, road
rughi̯o-	rye
ruk(k)-, rouk(k)-	yarn; fabric
r̥ksā	fetlock; tether
ŕ̥k̑þo-s	bear (animal)
sā-, sə-	enough, satiate, sufficient
sāg-	to seek, track, trail
sāi-	pain, illness; sore
saip-	fence, stall, enclosure
sak-	to sacrifice, sanctify, make a treaty
1 sal-	sal, salt; brackish water
2 sal-	gray, dirty, sallow
sā̆lo-	wavy
sāno-s	sane, healthy?
sap-, sab-	to taste, savvy, perceive
sasi̯o-	(type of grain)
sā-ti-	satiated
saus-, sus-	sere, dry
sā́u̯el-, sāu̯ol-, suu̯él-, su̯el-, sūl-	Sol, sun
se-	self, one's own
sed-	to sit, set, settle
1 seg-	to sow (seed)
2 seg-, nasalized seng-	to attach, tack on
seg̑h-, seg̑hi-, seg̑hu-	to possess, hold fast, persevere, overcome; victory
sei-, soi-	to drip, be damp
1 sē(i)-	to sift
2 sē(i)- : səi- : sī-, sē- : sə-, and sei- : si-	to sow, dispatch, disseminate, let fall
3 sē(i)-, səi- : sī-, and sei- : si-	to bind, strap, tie
sē[i]dh- : sī̆dh-, and sədh-	to aim at, strive for
sē̆ik-, sī̆k-	to grip, reach for
seiku̯-	to spill, pour out
seip-, seib-	to sift, pour out
1 sek-	to run off, dry out (re: water)
2 sē̆k-	to cut, section, dissect
3 sēk-	to abate; lazy, quiet
1 seku̯-	to segue, follow
2 seku̯-	to see, notice; show, say, speak
1 sel-	salon, dwelling place
2 sel-, su̯el-	sill, beam, board
3 sel-	to grab, seize, take
4 sel-	to jump, leap, spring, exult
5 sel-	to creep, crawl
6 sel-, selə- : slā-	lucky, favorable; luck
selg̑-	to pour out, set free, send/throw away
selk-	to pull, drag; sulcus, furrow
selos-	sea, lake, swamp
selp-	salve, fat, butter
1 sem-	to draw, pour, scoop
2 sem-	one, some, together
3 sem-	summer
sēmi-	half, semi-
sen-, sene-, sen(e)u-, senə-	to prepare, work on
sendhro-	clotted, coagulated; fluid, melted, etc.
sengu̯-	to sink, sag, fall
sengu̯h-	to sing
seni-, senu-, seni-, sn̥-ter-	for oneself; sundry, separate
senk-	to singe, burn, dry
sen(o)-	old, senile, senior
sent-	to send, go, choose direction; to sense
sep-	to honor, care for, concern oneself with
septm̥	seven
1 ser-	to flow, stream
2 ser-	to serve, guard, protect, shelter
3 ser-, sor-	red
4 ser-	to insert, line up, put/bind together
5 ser-, extended serp-	sickle
serk-	to fence; hedge, plaited work
serp-	to creep, crawl
1 seu-, seu̯ə- : sū-	sop, soup, juice, liquid
2 seu-, seu̯ə-, sū̆-	to bear (a child); son
3 seu- : su-, seu̯ə- : sū-	to bend, turn
4 seu-, seu-t-	to seethe, boil
seug-	sad, sick, grievous, afflicted
seu̯ə-, sū-	to leave behind?
seu̯i̯o-	(to the) left
si̯ē[u]-ro- : si̯ə-ur(i̯o)-	brother-in-law
si̯ū-, sīu̯-	to sew
skabh-, skambh-	to support
(s)kāi-	bright, shining
(s)k(h)ai-, (s)k(h)ai-d-, (s)k(h)ai-t-	to cuff, kick
sk̑āi-, sk̑əi- : sk̑ī-	to shine/shimmer dully; shadow
(s)kamb-, and (s)kemb-	to bend, curve, hump
(s)kand-, (s)kend-	to glow; bright
(s)k(h)ed-, (s)k(h)e-n-d-	to crush, shatter, split to pieces
sk̑ed-	to cover
skē̆i-	to cut, skive, exscind, separate
skē̆i-bh-, nasalized ski-m-bh-	to limp; slanting
(s)kek-, skeg-	to jump, spring, move quickly; shake
1 (s)kel-	to cut, halve
2 (s)kel-	to owe, be guilty
3 (s)kel-	to parch, dessicate, dry out
4 (s)kel-, extended klā-, klō-	to bend; crooked
5 (s)ku̯el-, (s)kel-	to call, resound
(s)k̑el-	to jump, spring
skhel-	to stumble
(s)k̑em-	deformed, disabled, mutilated; hornless
(s)ken-(d-)	to skin, flay, split off
skendh-	to dive, plunge
(s)keng-	to hobble; lame, slanted
1 (s)kep-	to hide, cover
2 (s)kē̆p-, (s)kō̆p-, and (s)kā̆p-, (s)kē̆b(h)-, skob(h)-, and skā̆b(h)-	to cut, shave, split with sharp tool
1 (s)ker-	to shrink, dry out, wrinkle up; dry, thin
2 (s)ker-, skerə- : skrē-	to jump
3 (s)ker-	to bend, curve, turn
4 (s)ker-, (s)kerə-, (s)krē-	to cut, shear, score, scribe
5 (s)ker-	(onomatopoeic: hoarse sound)
(s)ku̯er-	to do, make
sk̑er-(d-)	to defecate; dung, excrement
(s)kerb(h)-, (s)kreb(h)-, nasalized (s)kremb-	to curve, turn
(s)ker-dh-, (s)kor-dh-	small, pitiful, miserable
(s)kert-s-	across, straight along
skēt- : skət-	to jump, spring
skēth-, skəth-	to scold, scathe, injure, damage
1 (s)keu-	to perform, carry out
2 (s)keu-, (s)keu̯ə : (s)kū-	to hide, wrap, cover
3 skē̆u-, ksē̆u-	to sneeze
4 (s)keu-	to notice, observe, pay attention to
5 skē̆u-	to push, shoot, throw
6 skēu(-t)-	to cut, scratch, separate
sk̑ē̆u-	to push, shoot, throw
skeub-, skeubh-, skeug-	to shove, move, shoot, throw
1 skeud-	to grumble, protest; unwilling
2 (s)keud-	to shoot, throw
(s)keup-, skeub(h)-	sheaf, bunch, flock, etc.
(s)keut-, (s)keudh-	to shrink, shrivel up
sk̑lēk-, sk̑lək-	to spray, sprinkle; wet
skordho-	pan, vessel; potsherd
skot-	shade, shadow, darkness
(s)kū̆t-	to shake, shudder
(s)ku̯alo-s	(type of large fish, e.g. whale)
sku̯erb(h)-	to pierce, stick (of thorns)
sk(h)u̯oi̯-, sk(h)u̯i(i̯)-	thorn, needle
(s)lā̆gu̯-	to grab, latch, seize
slak-	to hit, hammer
(s)leb-, (s)lob-, (s)lep-, (s)lop-	lip; to hang down slackly
(s)lēg- : (s)ləg-, and (s)leg-	weak, feeble, languid
slēgu̯-	to oppress, maltreat, mishandle
(s)leib-	to slip; slimy
(s)leidh-	to slide; slippery
(s)leig-	to hack, hit
slenk-, sleng-	to turn, wind; creep, slink
sler-	chasm
(s)leu-	slack, feeble, loosely hanging
sleub(h)-	to slide, slip
(s)leug-, (s)leuk-	to swallow
(s)leug̑-, (s)leuk̑-	to slide, slip
(s)leup-, (s)leub(h)-	to hang slackly
(s)lī- : sləi-, or slōi-, slī-u̯o-	livid, bluish
slougo-, slougā- (fem.)	help, service
(s)lr̥g-, and sler-	(onomatopoeic: to swallow)
sme, smā̆	really, truly (emphatic particle)
smē-, smeī-, sm-ei-	to rub, smear
smeg(h)-	to smack, taste
1 (s)mei-, smeu-	to smile
2 smēi- : sməi- : smī̆-	to carve, work with sharp tool
3 smēi-, smeid-, smēig-, smēik-	to rub, smear
smeit-, smit-	to throw
smek-	beard, chin
1 smel-	to smolder, burn slowly
2 smel-	gray
(s)mer-	to mourn, remember, think of, care for
smerd-, smord-	to stink
smeru-	fat, grease, smear
smeu-	to laugh, smile
(s)meukh-, (s)meug-, (s)meugh-	to smoke; smoke
smog-	heavy, burdensome
snā-, snə-(t-), snāu-, sn-eu-, sn-et-	to flow, swim; damp
(s)nadh-	to cut, slice
(s)nē-, and (s)nēi-	to spin, twist threads together
(s)nēbh-ri-, (s)nōbh-ri-	thin, narrow
sneig-	to crawl, snake
sneigu̯h-	to snow; snow
sneit-	to cut
snēp-, snōp-, snəp-	to gather in sheaves/bundles; twist into rope
1 (s)ner-, (s)nur-	to snarl, growl
2 (s)ner-	to turn, wind, etc.
(s)nerb-	to cut?
sneu-	to flow, swim; damp
snēu- : snū-, and snĕu-	to turn, bind, attach; band, sinew
sneubh-	to woo, marry
1 sneud(h)-	to drowse, slumber; drowsy, sleepy
2 sneudh-	fog, mist
snusós	daughter-in-law
so(s), sā	(nom. sg. demonstrative stem: he, she)
soi-to-	magic
solo-, sol(e)u̯o-	whole, well-kept, salubrious
sō[u]rā : sōrā	calf (of leg)
spako-	point; small drop
sp(h)ē-, sp(h)ə-(dh-)	long flat piece of wood
speg̑-, or spō̆g̑-	to watch sharply, be attentive
1 (s)p(h)ē̆i- : (s)p(h)ī̆-	sharp/pointed stick: spile, spit, etc.
2 sp(h)ei : sp(h)ī̆, and sp(h)ē : sp(h)ə-	to pull, drag
3 sp(h)ē(i)-, spī-, and sphē- : sphə-	to fatten, prosper, succeed, etc.
spek̑-	to watch, inspect, spy on
(s)pel-	to speak aloud, tell with emphasis
1 (s)p(h)el-	to cut, split, spall, tear off; board
2 (s)p(h)el-	to shine, glitter
(s)p(h)elg-	to split, splinter
sp(h)elg̑h(en), spleng̑h-, splē̆g̑h-	milt; spleen
1 (s)pen(-d)-	to pull, spin
2 *(s)pen-, (s)pon-, (s)pondho-	wooden pail
spend-	to offer a libation
sp(h)e(n)d-	to shake, quiver
sp(h)eng-	to shine, glitter
speno-, stē̆no-, p(ə)stē̆no-	teat, breast, nipple
1 (s)per-	pole, spar, rafter
2 sper(-g)-	(type of bird, esp. sparrow)
3 sper-	to turn, wind
4 (s)p(h)er-, (s)p(h)erəg-	to rip, tear; rag, snippet
1 sp(h)er-, sp(h)erə-	to rush, push away, act rashly, etc.
2 (s)p(h)er-, sprei-, spreu-	to sow, strew, spread, scatter, sprinkle
3 sp(h)er-	balls of goat/sheep excrement
sp(h)erd(h)-, (s)p(h)red(h)-, nasalized sp(h)rend(h)-	to rush, sprint, spring; running
*(s)p(h)ereg-, (s)p(h)erəg-, (s)p(h)rēg-, nasalized spreng-	to rush, hurry; strew, sprinkle, disperse
sperg̑h-, spreg̑h-, nasalized spreng̑h-	to rush, hurry, spring, jump
(s)p(h)eu-d-	to press, hurry
(s)pī̆ko-	woodpecker (or other large bird)
(s)pingo-	finch, sparrow
(s)p(h)i̯ēu- : (s)pi̯ū-, (s)pīu̯-	to spit, spew, sputter
(s)plei-	to cut, split
(s)pleig̑h-	to splay (legs)
(s)poimno-	foam, spume, spray
sprei-, spreu-	to sow, strew, scatter
sp(h)reig-	to teem, abound, overflow
sraku̯-to-	sharp-edged
srebh-, sr̥bh-, and serbh-	to sip, slurp, swallow
sr-edh-, sr-et-	to boil, spout, whirl
(s)reigh-	to creep, climb, clamber
srenk-	to snore
srēno-	body part (e.g. hip, loins)
sresk-	to drip, drizzle
sreu-	to stream, flow
sreup-	dirty, scabby
srīg-, srīgos-	cold, frost
srō̆mo-	lame
stā- : stə-	to stand
stag-	to drip, drizzle, trickle
(s)tāi-	to steal, do secretly
stāi-, stī̆-, sti̯-ā-	to condense, press together; stiff; stone
stāk-, stek-	to place, stand
steb(h)-, and stēb(h)- : stəbh-, nasalized stemb(h)-, step-, also stēp-?, nasalized stemp-, nominal stəbho-s, stemb(h)ro-s, stomb(h)o-s	stump, post, pillar; to support, etc.
1 (s)teg-	to deck, thatch, cover; house, roof
2 (s)teg-	stake, pole, beam
stegh-, nasalized stengh-	stick, stalk, stang, etc.
(s)tei-	sharp, pointed; spike, style, stylus
stē̆ib(h)-, stī̆b(h)-, stē̆ip-, stī̆p-	stick, pole, stake; stiff
(s)teig-	to stick, prick; sharp
steigh-	to climb, ascend; stride, march
(s)teigu̯-	arm, shoulder; thigh, hip
(s)teigu̯h-	to endure, wait patiently
1 (s)tel-	to urinate, let flow
2 stel-, stelə-	to dilate, broaden, stretch out; broad
3 stel-	to put, place
stem-	to push, thrust; stumble, stutter
1 (s)ten-	to drone, groan, thunder, etc.
2 sten-	to narrow, hem in
1 (s)ter-, (s)terə- : (s)trē-	stark, stiff, solid, rigid, etc.
2 stē̆r-	star
3 ster-	to rob, steal
4 ster-, also sterə- : strē-, strei-, streu-	line, streak, strip, stripe
5 ster-, sterə- : strē-, steru- : streu-	to strew, scatter, spread out
6 ster-	barren, sterile, unfruitful
7 (s)ter-n-	thorn, prickly stalk
8 (s)ter-	dung, stercory, dirty water; to rot, befoul
sterg-, sterk-	to care for, pay careful attention to
1 (s)teu-	to hit, push, thrust
2 steu-	to praise (aloud)
steu̯ə-	to coagulate, become dense/thick
stilp-, stilb-	to shine; to look, show
stomen-	mouth, stoma
storos, stornos, str̥nos?	starling, songbird
1 streig-	to halt, pause, falter, be(come) stuck
2 streig-	taut, stiff, strict; to twist; rope
3 (s)treig-, streid(h)-	to hiss
strenk-, streng-	tight, cramped; cord, string
(s)trep-, (s)treb-	to cry, make wild noises
stru-	gray-haired, old (man)
su-, sū-	good, well
sū̆-s, suu̯-ós	pig, sow, swine
sū-ro-, sou-ro-	sour, bitter, salty; cheese
1 sūs-	to whistle (of wind)
2 sūs-	parent, creator, producer
su̯ād-	sweet; to enjoy something
su̯ard-	to laugh
su̯ei-, su̯i-	to pipe, whistle, sibilate
su̯ē̆(i)-	to bend, turn, swing, swivel
1 su̯eid-	to shine, glisten
2 su̯eid-	to sweat, perspire; sweat
su̯ēid-	milk
su̯ek-	to smell (good)
su̯ekrū́-	husband's mother
su̯ek̑s, sek̑s, ksek̑s, ksu̯ek̑s, u̯ek̑s : uk̑s	six
s(u̯)eku̯o-s	sap, pitch, resin
1 su̯el(-k)-	to eat, drink, swill, swallow
2 su̯el-	to burn, smolder, swelter
3 su̯el-, su̯ol-, sul-	sole of foot; ground
4 su̯el-	beam, board
su̯e-lo-, su̯elii̯o(n)-	brother-in-law
su̯elplo-s	sulphur
su̯em-	to swim, move
su̯en-	to sound, resound
(s)u̯endh-	to dwindle, disappear
su̯eng-, su̯enk- : su̯eg-, su̯ek-	to bend, swing, swag
su̯enk-, sunk-	heavy; pregnant
su̯ento-, sunto-	sound, active, healthy, vigorous
1 su̯ep-, sup-	to sleep
2 su̯ep-, sup-, su̯eb-	to throw
1 su̯er-, also ser-?	to speak, swear, answer
2 su̯er-	to buzz, hiss
3 su̯er-	stake
4 su̯er-	to cut, prick, pierce
5 su̯er-	heavy
su̯erbh-, also su̯er-?	to turn, sweep, swerve
su̯ergh-	to be ill; to sorrow, care for
su̯esor-	sister
su̯ī-	to fade, dwindle, become silent
su̯omb(h)o-s	porous, spongy, swampy
su̯ordo-s	black, swarthy; dark/dirty color
tā-, tə-, tāi-, təi-, tī̆-; [tāu-], təu-, tū̆-	to thaw, melt, decay, dissipate
tād-	to act purposefully
tag-, or teg- : tog- : teg-	to grip, seize, touch
tāg-	to tidy up
tak-, takē(i)-	to be tacit, silent
tāl-	to grow, turn green; plant, young sprout
1 tap-	to dip
2 tap-	to press down/together
tata-, and similarly tē̆ta-	daddy (nursery word)
taus-	calm, still, silent, peaceful
teg-	to cover
tēg-, təg-	to burn
tegu-	thick, fat
tei-	sharp, pointed; spike
teig-	to prick, stick; sharp
teigu̯-	arm, shoulder; thigh, hip
1 tek-	to bear, produce
2 tek-	to reach, stretch out (hand) for
3 tek-	to plait, weave
tek̑þ-	to plait
teku̯-	to flow, run
1 tel-, telə-, tlē(i)-, tlā-	to bear, carry; weigh, lift up
2 tel-, telə-, telu-	flat (board, ground)
3 tel-	to be calm/still
4 tel-	to urinate, let flow
teleg̑h-	to hit
telek-	to hit, push
telp-	to have room; spacious
1 tem-, tend-	to cut
2 tem-	stunned, confused
tem(ə)-	dark
temp-	to span, stretch, extend
1 ten-, tend-	to span, stretch, extend
2 ten-	to drone, groan, thunder, etc.
tend-	to cut
tenəgos, tenəgos	ground (under water)
1 teng-	to dunk, soak, wet
2 teng-	to feel, think
tengh-	to span, extend; pull, stretch
1 tenk-	to span, extend; pull, stretch
2 tenk-	to clot, thicken, contract; tight, solid
tens-	to span, stretch, extend
tenu-s, tenu-s	thin
tep-	to be warm, tepid
1 ter-	to quiver, tremble
2 ter-, teru-	weak, feeble, tender, fragile
3 ter-, terə-, and teri-, trēi-, trī-, also teru- : treu-	to bore, drill, rub, thresh
4 ter-, terə- : tr̥̄-, trā-, teru-	to cross, get over, etc.
5 ter-	through, over, etc.
6 ter-	(boring/gnawing insect)
7 ter-, terə-, terbh-, terd-, terg-, terp-	stiff, rigid, solid, etc.
terd-, tred-	to bore, drill through
tergu̯-	to warn, threaten; fright, horror
terk-, trek-, tork-, trok-	to torque, turn
terp-, trep-	to enjoy, satisfy oneself
ters-	to toast, dry; thirst
tet(e)r-	(onomatopoeic: to quack)
1 teu-, teud-, teug-, teuk-, teup-	to hit, push, thrust
2 teu-	to notice, observe, listen to
tēu-, təu-, teu̯ə-, tu̯ō-, tū̆-	to swell, intumesce
teuk-	germ, seed, sprout, offspring
teup-	to crouch down, conceal oneself
teus-	to empty
teu̯ə-, tu̯ā-	to sift
ti-ti-, (ti)til-	(onomatopoeic: chirping of small bird)
ti̯egu̯-	to retreat, step back in fear; shy
1 to-, tā-, ti̯o-	that, him (neut. or non-nom. demonstrative stem)
2 to-	(prefix)
tolku̯-	to speak
1 tong-, *teng-	to think, feel
2 tong-	to touch, grip, seize
top-	to reach, stay; place
tor-, toro-s	loud, distinct, audible
trāgh-, trō̆gh-, and trē̆gh-	to drag, train, pull, move
trē̆b-, trōb-, treb-, or trəb-, tr̥b-	building, dwelling
treg-	to make an effort, use all one's strength; battle, force; solid
trei-	three, trio
treig-	to hiss
treisti-, or trīsti-	sulky, moody, stubborn
trek-	to pull, run
trem-, trems-	to shake, tremble; to stomp, trample
1 trenk-	to throng, push, press together
2 trenk-	to wash, bathe, cleanse
1 trep-	to trip, tread, trample
2 trep-	to bow the head, turn away in shame
3 trep-, treb-	to cry, make wild noises
tres-, ters-, *teres-	to quiver, tremble
trē̆u-	to prosper
tr-eu-d-	to thrust, push, press, squash
trii̯əto-, trīto-	sea; wet, watery
tris-	vine; stem, stalk
trozdos- : tr̥zdos-	thrush, blackbird
trū̆des-	scratchy; leprosy?
truk̑-	to cut
trus-	reed
tu, tutu	(onomatopoeic: chirping of bird)
tū̆	thou, you
tū-lo-	slow, lazy, sluggish; boring
1 tu̯ā̆k-, tuk-	to bind, close up, pull together
2 tu̯ak-	to bathe
tu̯akos	skin
1 tu̯ē̆i-	to hack, hew, cut down, hit sharply
2 tu̯ei-, extended tu̯ei-s-	to shake, excite, move back and forth, shimmer
tu̯en-	to hit, push, thrust
tu̯eng̑h-	to twinge, oppress, constrain, close in
1 tu̯er- : tur-, and tu̯r̥-	to twirl, turn
2 tu̯er- : tur-, tu̯erə-	to grab, hold
tu̯erk̑-	to cut
tu̯ī̆bh-	hollow
tu̯ō[u]- : tu̯əu- : tū-l-	pipe, tube
1 u-	(onomatopoeic: owl's hoot, etc.)
2 u-	ooh! (interjection of pain)
ub-	to drag, press down
ū̆d-	out, away, up(wards)
udero-, u̯ēdero-	belly, uterus
ul-	(onomatopoeic: to howl, ululate)
upér, upéri	over, above
upo, up, eup, (e)up-s-	under, (from) below, etc.
