bangla_speech,regional,regional_ipa,bangla_speech_ipa
আম্মু সব সময় আমার মনের কথা বুঝে, ময়মনসিংহঃ আম্মা সব সময় আমার মনের কথা বুঝে,mɔnoʃɔn ɐmmɐ ʃɔb ʃɔmɔe̯ ɐmɐɾ moneɾ kɔt̪ʰɐ buɟʱe,ammu s̪ɔbɔ s̪ɔme̯ɔ amarɔ mɔn̪erɔ kɔt̪ʰa bud͡ʑ̤e
আমার বাসার কাজের মেয়েটি এখন ভাল মত কাজ করে নাহ, ময়মনসিংহঃ আমার ঘরের কামের ছেড়িটা এখন ভাল মত কাম করে নাহ,mɪnʃɪgh ɐmɐɾ gʱɔɾeɾ kɐmeɾ cʰeɽɪtɐ ɛkʰon bʱɐlo mɔt̪ kɐm koɾe nɐh,amarɔ bas̪arɔ kad͡ʑerɔ mee̯eti ekʰɔn̪ɔ b̤al̪ɔ mɔt̪ɔ kad͡ʑɔ kɔre n̪ahɔ
আমার বাসার কাজের মেয়েটি দুইদিন ধরে পলাতক, ময়মনসিংহঃ আমার ঘরের কামের ছেড়িটা দুইদিন ধইরা পালাইছে,menosɪng ɐmɐɾ gʱɔɾeɾ kɐmeɾ cʰeɽɪtɐ d̪u͡ɪ̯d̪ɪn d̪ʱo͡ɪ̯ɾɐ pɐlɐ͡ɪ̯cʰe,amarɔ bas̪arɔ kad͡ʑerɔ mee̯eti d̪uid̪in̪ɔ d̪̤ɔre pɔl̪at̪ɔkɔ
আমার বাসার দারওয়ান এখন তাঁর গ্রামে ঘুরতে গিয়েছে, ময়মনসিংহঃ আমার বাড়ির দারওয়ান এহন অর গ্রামে ঘুরতে গেছে,menʃɪn ɐmɐɾ bɐɽɪɾ d̪ɐɾoʷɐn ehon ɔɾ gɾɐme gʱuɾt̪e gecʰe,amarɔ bas̪arɔ d̪aroe̯an̪ɔ ekʰɔn̪ɔ t̪ɔ̃rɔ ɡɔrame ̤ɡ̤urt̪e ɡie̯et͡ɕʰe
তোমাকে আমি কল দিবো না, ময়মনসিংহঃ তোমারে আমি কল দিতাম না,mɔʲensɪn t̪omɐɾe ɐmɪ kɔl d̪ɪt̪ɐm nɐ,t̪omake ami kɔl̪ɔ d̪ibo n̪a
এই জিনিষটা খুবই বিরক্তিকর ছিল, ময়মনসিংহঃ এই জিনিসটা অনেক বিরক্তিকর আছিল,menʃɪn e͡ɪ̯ ɟɪnɪʃtɐ ɔnek bɪɾokt̪ɪkɔɾ ɐcʰɪlo,ei d͡ʑin̪iʂta kʰubi birɔkt̪ikɔrɔ t͡ɕʰil̪
সে সিলেট থেকে আমার সাথে দেখা করতে এসেছিল, ময়মনসিংহঃ সে সিলেট থাইকা আমার সাথে দেখা করতে আইসিল,menʃɪn ʃe sɪlet t̪ʰɐ͡ɪ̯kɐ ɐmɐɾ ʃɐt̪ʰe d̪ɛkʰɐ koɾt̪e ɐ͡ɪ̯sɪl,s̪e s̪il̪etɔ t̪ʰeke amarɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e es̪et͡ɕʰil̪
সে এখন রাজশাহী চলে গেছে, ময়মনসিংহঃ সে এহন রাজশাহী চইলা গেসে,menʃɪng ʃe ehon ɾɐɟʃɐhɪ cɔ͡ɪ̯lɐ gese,s̪e ekʰɔn̪ɔ rad͡ʑɕahi t͡ɕɔl̪e ɡet͡ɕʰe
সে এখন তাঁর বন্ধুদের সাথে সিগারেট খায়, ময়মনসিংহঃ সে এহন তার বন্ধুরার সাথে সিগারেট খায়,mɔʲensɪn ʃe ehon t̪ɐɾ bond̪ʱuɾɐɾ ʃɐt̪ʰe ʃɪgɐɾet kʰɐe̯,s̪e ekʰɔn̪ɔ t̪ɔ̃rɔ bɔn̪d̪̤ud̪erɔ s̪at̪ʰe s̪iɡaretɔ kʰae̯
সে একদমই হাসে না, ময়মনসিংহঃ সে এক্কেরেই হাসেনা,menʃɪng ʃe ɛkkeɾe͡ɪ̯ hɐʃenɐ,s̪e ekɔd̪ɔmi has̪e n̪a
সে আমাকে অপমান করে, ময়মনসিংহঃ সে আমারে অপমান করে,menʃɪn ʃe ɐmɐɾe ɔpomɐn koɾe,s̪e amake opman̪ɔ kɔre
তাঁর বই পরতে একদমই ভাল লাগে না, ময়মনসিংহঃ তার বই পড়তে এক্কেরেই ভালালাগেনা,menoʃɪng t̪ɐɾ bo͡ɪ̯ poɽt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐgenɐ,t̪ɔ̃rɔ bi pɔrɔt̪e ekɔd̪ɔmi b̤al̪ɔ l̪aɡe n̪a
আপনার কি বই পড়ার অভ্যাস আছে ?, ময়মনসিংহঃ আফনের কি বই পড়ার অভ্যাস আসে?,mɔʲenʃɔn ɐpʰoneɾ kɪ bo͡ɪ̯ pɔɽɐɾ ɔbbʱɐʃ ɐʃe?,apn̪arɔ ki bi pɔɽarɔ ob̤d͡zas̪ɔ at͡ɕʰe ?
তুমি কি আমাকে চিনো ?, ময়মনসিংহঃ তুমি কি আমারে চিনো?,mɔnoʃɪn t̪umɪ kɪ ɐmɐɾe cɪno?,t̪umi ki amake t͡ɕin̪o ?
আমি তোমাকে চিনতে পারলাম না, ময়মনসিংহঃ আমি তোমারে চিনতে পারলাম না,mɔʲensɪg ɐmɪ t̪omɐɾe cɪnt̪e pɐɾlɐm nɐ,ami t̪omake t͡ɕin̪t̪e parl̪amɔ n̪a
আমি তোমাকে আগে কখনো দেখি নাই, ময়মনসিংহঃ আমি তোমারে আগে কখনো দেখি নাই,mɔʲenʃɔn ɐmɪ t̪omɐɾe ɐge kɔkʰono d̪ekʰɪ nɐ͡ɪ̯,ami t̪omake aɡe kɔkʰɔn̪o d̪ekʰi n̪ai
আমাকে পড়ালেখা করতে একদমই ভাল লাগে না, ময়মনসিংহঃ আমার পড়ালেহা করতে এক্কেরেই ভালালাগেনা,menoʃɔn ɐmɐɾ pɔɽɐlehɐ koɾt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐgenɐ,amake pɔɽal̪ekʰa kɔrɔt̪e ekɔd̪ɔmi b̤al̪ɔ l̪aɡe n̪a
আপনার পড়ালেখা করা উচিত, ময়মনসিংহঃ আপনের পড়ালেহা করা দরকার,mɪnʃɪn ɐponeɾ pɔɽɐlehɐ kɔɾɐ d̪ɔɾkɐɾ,apn̪arɔ pɔɽal̪ekʰa kɔra ut͡ɕit̪
আপনাকে পড়ালেখা করতে হবে, ময়মনসিংহঃ আপনের পড়ালেহা করতে হইব,menʃɪn ɐponeɾ pɔɽɐlehɐ koɾt̪e ho͡ɪ̯bo,apn̪ake pɔɽal̪ekʰa kɔrɔt̪e hɔbe
আপনার কি কি পড়ালেখা করতে একদমই ভাল লাগে নাহ?, ময়মনসিংহঃ আপনের কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,menʃɪn ɐponeɾ kɪ pɔɽɐlehɐ koɾt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐge nɐh?,apn̪arɔ ki ki pɔɽal̪ekʰa kɔrɔt̪e ekɔd̪ɔmi b̤al̪ɔ l̪aɡe n̪ahɔ?
তোর পড়ালেখা কোরতে হবে, ময়মনসিংহঃ তর পড়ালেহা করতে হইব,mɔʲensɪng t̪ɔɾ pɔɽɐlehɐ koɾt̪e ho͡ɪ̯bo,t̪orɔ pɔɽal̪ekʰa kort̪e hɔbe
তুই কি আর পড়ালেখা করবি নাহ ?, ময়মনসিংহঃ তুই কি আর পড়ালেহা করতি নাহ?,mɔʲenʃɪn t̪u͡ɪ̯ kɪ ɐɾ pɔɽɐlehɐ koɾt̪ɪ nɐh?,t̪ui ki arɔ pɔɽal̪ekʰa kɔrɔbi n̪ahɔ ?
তুই কি পড়ালেখা ছেড়ে দিতে চাস ?, ময়মনসিংহঃ তুই কি পড়ালেহা ছাইরা দিতে চাস?, mɔʲensɪn t̪u͡ɪ̯ kɪ pɔɽɐlehɐ cʰɐ͡ɪ̯ɾɐ d̪ɪt̪e cɐʃ?,t̪ui ki pɔɽal̪ekʰa t͡ɕʰeɽe d̪it̪e t͡ɕas̪ɔ ?
তোর কি পড়ালেখা করতে একদমই ভাল লাগে নাহ ?, ময়মনসিংহঃ তর কি পড়ালেহা করতে এক্কেরেই ভালালাগে নাহ?,menʃɪng t̪ɔɾ kɪ pɔɽɐlehɐ koɾt̪e ɛkkeɾe͡ɪ̯ bʱɐlɐlɐge nɐh?,t̪orɔ ki pɔɽal̪ekʰa kɔrɔt̪e ekɔd̪ɔmi b̤al̪ɔ l̪aɡe n̪ahɔ ?
তুমি কি এখন খেতে বসবা ?, ময়মনসিংহঃ তুমি কি এহন খাইতে বইবা,mɔʲenʃɔn t̪umɪ kɪ ehon kʰɐ͡ɪ̯t̪e bo͡ɪ̯bɐ,t̪umi ki ekʰɔn̪ɔ kʰet̪e bɔs̪ɔba ?
আজকে আমার খেতে ভালো লাগছে না, ময়মনসিংহঃ আইজকা আমার খাইতে ভালা লাগতাসেনা,mɪnʃɔn ɐ͡ɪ̯ɟkɐ ɐmɐɾ kʰɐ͡ɪ̯t̪e bʱɐlɐ lɐgt̪ɐʃenɐ,ad͡ʑke amarɔ kʰet̪e b̤al̪o l̪aɡt͡ɕʰe n̪a
আমার বিদ্যালয়ে অনেক বন্ধু আছে, ময়মনসিংহঃ আমার ইস্কুলে অনেক বন্ধু আসে,menʃɪn ɐmɐɾ ɪskule ɔnek bond̪ʱu ɐʃe,amarɔ bid̪d͡zal̪e̯e on̪ekɔ bɔn̪d̪̤u at͡ɕʰe
আমার ছোট বোন বিদ্যালয়ে যেতে চায় না, ময়মনসিংহঃ আমার ছোট বইন ইস্কুলে যাইতে চায় না,mɔʃensɪg ɐmɐɾ cʰoto bo͡ɪ̯n ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ,amarɔ t͡ɕʰotɔ bon̪ɔ bid̪d͡zal̪e̯e d͡zet̪e t͡ɕae̯ɔ n̪a
আমার বিদ্যালয়ে যেতে অনেক ভাল লাগে, ময়মনসিংহঃ আমার ইস্কুলে যাইতে অনেক ভালা লাগে,menʃɔn ɐmɐɾ ɪskule ɟɐ͡ɪ̯t̪e ɔnek bʱɐlɐ lɐge,amarɔ bid̪d͡zal̪e̯e d͡zet̪e on̪ekɔ b̤al̪ɔ l̪aɡe
সে তার গ্রামের একটি বিদ্যালয়ে পড়ালেখা করে, ময়মনসিংহঃ হেয় তার গেরামের একটা ইস্কুলে পড়ালেহা করে,mɪnosh hee̯ t̪ɐɾ geɾɐmeɾ ɛktɐ ɪskule pɔɽɐlehɐ koɾe,s̪e t̪arɔ ɡɔramerɔ ekti bid̪d͡zal̪e̯e pɔɽal̪ekʰa kɔre
সে বিদ্যালয়ে যেতে চায় না, ময়মনসিংহঃ হেয় ইস্কুলে যাইতে চায় না,mɔʲenʃɪn hee̯ ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ,s̪e bid̪d͡zal̪e̯e d͡zet̪e t͡ɕae̯ɔ n̪a
তার বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না, ময়মনসিংহঃ হের ইস্কুলে যায়া পড়ালেহা করতে ভালা লাগে না, menʃɪn heɾ ɪskule ɟɐʲɐ pɔɽɐlehɐ koɾt̪e bʱɐlɐ lɐge nɐ,t̪arɔ bid̪d͡zal̪e̯e ɡie̯e pɔɽal̪ekʰa kɔrɔt̪e b̤al̪ɔ l̪aɡe n̪a
সে বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে, ময়মনসিংহঃ হেয় ইস্কুলে যায়া বন্ধুরার সাথে গল্প করে,menʃɪnh hee̯ ɪskule ɟɐʲɐ bond̪ʱuɾɐɾ ʃɐt̪ʰe gɔlpo koɾe,s̪e bid̪d͡zal̪e̯e ɡie̯e bɔn̪d̪̤ud̪erɔ s̪at̪ʰe ɡɔl̪pɔ kɔre
সে বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে, ময়মনসিংহঃ হেয় ইস্কুলের মাঠে প্রত্যেকদিন ক্রিকেট খেলে,menʃɪng hee̯ ɪskuleɾ mɐtʰe pɾot̪t̪ekd̪ɪn kɾɪket xele,s̪e bid̪d͡zal̪e̯erɔ matʰe prɔt̪id̪in̪ɔ kriketɔ kʰel̪e
সে বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিল, ময়মনসিংহঃ হেয় ইস্কুলের মাঠে মাথা ঘুরায়া পইড়া গেসিল,mɔʲenʃɪng hee̯ ɪskuleɾ mɐtʰe mɐt̪ʰɐ gʱuɾɐʲɐ po͡ɪ̯ɽɐ gesɪlo,s̪e bid̪d͡zal̪e̯erɔ matʰe mat̪ʰa ̤ɡ̤urie̯e pɔre ɡie̯et͡ɕʰil̪
সে অনেক দিন আগে তার বিদ্যালয়ের একটি মেয়েকে ভালোবাসতো, ময়মনসিংহঃ হেয় অনেকদিন আগে হের ইস্কুলের একটা ছেড়িরে ভালবাসতো,mɔʃensɪng hee̯ ɔnekd̪ɪn ɐge heɾ ɪskuleɾ ɛktɐ cʰeɽɪɾe bʱɐlbɐʃt̪o,s̪e on̪ekɔ d̪in̪ɔ aɡe t̪arɔ bid̪d͡zal̪e̯erɔ ekti mee̯eke b̤al̪obas̪t̪o
ছেলেটি তাঁর গ্রামের ছোটো একটি বিদ্যালয় থেকে পড়ালেখা করে এসএসসি পাশ করেছে, ময়মনসিংহঃ ছেড়াটা হের গ্রামের ছোট একটা ইস্কুল থাইক্কা পড়ালেহা কইরা এসএসসি পাশ করসে, menʃɪng cʰeɽɐtɐ heɾ gɾɐmeɾ cʰoto ɛktɐ ɪskul t̪ʰɐ͡ɪ̯kkɐ pɔɽɐlehɐ ko͡ɪ̯ɾɐ eʃo͡e̯ssɪ pɐʃ koɾ,t͡ɕʰel̪eti t̪ɔ̃rɔ ɡɔramerɔ t͡ɕʰoto ekti bid̪d͡zal̪e̯ɔ t̪ʰeke pɔɽal̪ekʰa kɔre es̪es̪s̪i paɕɔ kɔret͡ɕʰe
তোমাদের বাসা কোথায়?, ময়মনসিংহঃ তোমরার বাসা কই?,mɔnoʃɪn t̪omɾɐɾ bɐʃɐ ko͡ɪ̯?,t̪omad̪erɔ bas̪a kot̪ʰae̯ɔ?
ঢাকা বাংলাদেশের রাজধানী, ময়মনসিংহঃ ঢাকা বাংলাদেশের রাজধানী।,menʃɪn dʱɐkɐ bɐŋlɐd̪eʃeɾ ɾɐɟd̪ʱɐnɪ।,d̤aka baŋl̪ad̪eɕerɔ rad͡ʑd̪̤an̪i
তুমি কি আমার সাথে প্রেম করবা?, ময়মনসিংহঃ তুমি কিতা আমার সাথে প্রেম করবা?,mɔʲenʃɔn t̪umɪ kɪt̪ɐ ɐmɐɾ ʃɐt̪ʰe pɾem koɾbɐ?,t̪umi ki amarɔ s̪at̪ʰe premɔ kɔrɔba?
আমি আজকে সকালে ফুটবল খেলেছি, ময়মনসিংহঃ আমি আজকে সকালে ফুটবল খেলছি,mɔʲensɪn ɐmɪ ɐzke ʃɔkɐle futbɔl xelcʰɪ,ami ad͡ʑke s̪ɔkal̪e ɸutɔbɔl̪ɔ kʰel̪et͡ɕʰi
আমি তোমার মনের কথা বুঝি না, ময়মনসিংহঃ আমি তোমার মনের কথা বুঝি না।,mɔʲensɪn ɐmɪ t̪omɐɾ moneɾ kɔt̪ʰɐ buɟʱɪ nɐ।,ami t̪omarɔ mɔn̪erɔ kɔt̪ʰa bud͡ʑ̤i n̪a
তোমার জন্য আমার খুব কষ্ট হয়, ময়মনসিংহঃ তোমার লাইজ্ঞা আমার মেলা কষ্ট হয়,mɔʲenogho t̪omɐɾ lɐ͡ɪ̯ggɐ ɐmɐɾ mɛlɐ koʃto hɔe̯,t̪omarɔ d͡ʑɔn̪d͡zɔ amarɔ kʰubɔ kɔʂtɔ he̯ɔ
আমাদের স্বপ্ন অনেক বড়, ময়মনসিংহঃ আমরার স্বপ্ন মেলা বড়,mɔpno mɛlɐ bɔɽo,amad̪erɔ s̪bɔpn̪ɔ on̪ekɔ bɔɽɔ
অল্পবয়সী একটি ছেলে বাইরে ফুটপাতে দৌড়াচ্ছে, ময়মনসিংহঃ কম বয়স্ক একটা ছেড়া বাইরে ফুটপাতে দৌড়াইতাসে,menʃɪn kɔm bɔʲoʃko ɛktɐ cʰeɽɐ bɐ͡ɪ̯ɾe pʰutpɐt̪e d̪o͡u̯ɽɐ͡ɪ̯t̪ɐʃe,ol̪pɔbe̯ɔs̪i ekti t͡ɕʰel̪e baire ɸutpat̪e d̪owɽat͡ɕt͡ɕʰe
একটি ছোট শিশু বিছানায় লাফিয়ে উঠছে, ময়মনসিংহঃ একটা ছুটো আবু বিছানাত লাফাইয়া উঠছে,menʃɪnho ɛktɐ cʰuto ɐbu bɪcʰɐnɐt̪ lɐpʰɐ͡ɪ̯ʲɐ utʰcʰe,ekti t͡ɕʰotɔ ɕiɕu bit͡ɕʰan̪ae̯ɔ l̪aɸie̯e utʰt͡ɕʰe
একটি ছেলে বিছানায় লাফাচ্ছে, ময়মনসিংহঃ একটা ছেড়া বিছানাত লাফাইতাসে,menʃɪn ɛktɐ cʰeɽɐ bɪcʰɐnɐt̪ lɐpʰɐ͡ɪ̯t̪ɐʃe,ekti t͡ɕʰel̪e bit͡ɕʰan̪ae̯ɔ l̪aɸat͡ɕt͡ɕʰe
একটি ছেলে এক বিছানা থেকে অন্য বিছানায় লাফ দিচ্ছে, ময়মনসিংহঃ একটা ছেড়া এক বিছানাততন আরেকটা বিছানাত লাফ দিতাসে,mɔʲensɪn ɛktɐ cʰeɽɐ ɛk bɪcʰɐnɐt̪ɔt̪on ɐɾektɐ bɪcʰɐnɐt̪o lɐpʰ d̪ɪt̪ɐʃe,ekti t͡ɕʰel̪e ekɔ bit͡ɕʰan̪a t̪ʰeke on̪d͡zɔ bit͡ɕʰan̪ae̯ɔ l̪aɸɔ d̪it͡ɕt͡ɕʰe
একটি ছোট শিশু ফুটপাতে হাঁটছে, ময়মনসিংহঃ একটা ছুটো আবু ফুটপাতে হাটতাসে,menosɪng ɛktɐ cʰuto ɐbu pʰutpɐt̪e hɐtt̪ɐʃe,ekti t͡ɕʰotɔ ɕiɕu ɸutpat̪e hɔ̃tɔt͡ɕʰe
আমি একজন ছেলে, ময়মনসিংহঃ আমি একটা ছেড়া,menʃɪn ɐmɪ ɛktɐ cʰeɽɐ,ami ekɔd͡ʑɔn̪ɔ t͡ɕʰel̪e
আমি একজন মেয়ে, ময়মনসিংহঃ আমি একটা ছেড়ি,menʃɪn ɐmɪ ɛktɐ cʰeɽɪ,ami ekɔd͡ʑɔn̪ɔ mee̯e
আমার স্বামী আমাকে খুব ভালোবাসে, ময়মনসিংহঃ আমার জামাই আমারে মেলা ভালবাসে,mɪnsɪng ɐmɐɾ ɟɐmɐ͡ɪ̯ ɐmɐɾe mɛlɐ bʱɐlbɐʃe,amarɔ s̪bami amake kʰubɔ b̤al̪obas̪e
স্কুল জীবন থেকে তাদের প্রেম ছিলো, ময়মনসিংহঃ ইস্কুল জীবনতে তারার প্রেম আসিল,menʃɪn ɪskul ɟɪbont̪e t̪ɐɾɐɾ pɾem ɐʃɪl,s̪kul̪ɔ d͡ʑibɔn̪ɔ t̪ʰeke t̪ad̪erɔ premɔ t͡ɕʰil̪o
আমি বিবাহ করেছি দশ বছর হয়, ময়মনসিংহঃ আমি বিয়া করসি দশ বছর হইসে,mɔʃenogho ɐmɪ bɪʲɐ koɾʃɪ d̪ɔʃ bɔcʰoɾ ho͡ɪ̯ʃe,ami bibahɔ kɔret͡ɕʰi d̪ɔɕɔ bɔt͡ɕʰɔrɔ he̯ɔ
অসম্ভব ভাল ছবি, ময়মনসিংহঃ অসম্ভব ভালা ছবি,menʃɔn ɔʃɔmvɔb vɐlɐ cʰobɪ,os̪ɔmb̤ɔbɔ b̤al̪ɔ t͡ɕʰɔbi
বহুদিন পরে একটা ভাল ছবি দেখলাম, ময়মনসিংহঃ মেলাদিন পরে একটা ভালা ছবি দেখলাম,mɛlɐd̪ɪn pɔɾe ɛktɐ bʱɐlɐ cʰobɪ d̪ekʰlɐm,bɔhud̪in̪ɔ pɔre ekta b̤al̪ɔ t͡ɕʰɔbi d̪ekʰl̪am
অসম্ভব ভালো লিখেছেন, ময়মনসিংহঃ অসম্ভব ভালা লিখসেন,menʃɔn ɔʃɔmvɔb vɐlɐ lɪxʃen,os̪ɔmb̤ɔbɔ b̤al̪o l̪ikʰet͡ɕʰen̪
বহুদিন পরে একটা ভালো লেখা পড়লাম, ময়মনসিংহঃ মেলাদিন বাদে একটা ভালা লেহা পড়লাম,mɛlɐd̪ɪn bɐd̪e ɛktɐ bʱɐlɐ lehɐ pɔɽlɐm,bɔhud̪in̪ɔ pɔre ekta b̤al̪o l̪ekʰa pɔɽɔl̪am
প্রচণ্ড মাথা ব্যথা করছিলো, ময়মনসিংহঃ বহুত মাথা ব্যথা করতাসিলো,mɔʲenʃɔn bohut̪ mɐt̪ʰɐ bɛt̪ʰɐ koɾt̪ɐʃɪlo,prɔt͡ɕɔndɔ mat̪ʰa bd͡zɔt̪ʰa kɔrɔt͡ɕʰil̪o
কিছুই বুঝতে পারলাম না, ময়মনসিংহঃ কিনুতাই বুঝতে পারলাম না,menʃɪn kɪnut̪ɐ͡ɪ̯ buɟʱt̪e pɐɾlɐm nɐ,kit͡ɕʰui bud͡ʑ̤t̪e parl̪amɔ n̪a
তিনি এটা দেখে জ্ঞান হারিয়ে ফেললেন, ময়মনসিংহঃ হেয় এইডা দেইক্ষা জ্ঞান হারায়া ফালাইসে, mɔʲenʃɔn hee̯ e͡ɪ̯dɐ d̪e͡ɪ̯kkʰɐ gɛn hɐɾɐʲɐ pʰɐlɐ͡ɪ̯ʃe,t̪in̪i eta d̪ekʰe d͡ʑnan̪ɔ harie̯e ɸel̪l̪en̪
এক কথায় অনেক সুন্দর লাগছে আপনাকে, ময়মনসিংহঃ এক কথায় মেলা সুন্দর লাগতাসে আফনেরে,mɔʲenʃɔg ɛk kɔt̪ʰɐe̯ mɛlɐ ʃund̪ɔɾ lɐgt̪ɐʃe ɐpʰoneɾe,ekɔ kɔt̪ʰae̯ɔ on̪ekɔ s̪un̪d̪ɔrɔ l̪aɡt͡ɕʰe apn̪ake
