bangla_speech_word,bangla_speech_ipa,barishal_word,barishal_ipa,sylhet_word,sylhet_ipa,mymensingh_word,mymensingh_ipa,noakhali_word,noakhali_ipa,chittagong_word,chittagong_ipa,english_translation,PIE_root,PIE_gloss
অন্যদের,on̪d͡zɔd̪erɔ,অন্যগো,ɔnnogo,বুঝিয়া,buɟʱɪʲɐ,অন্যরারে,ɔnnoɾɐɾe,অন্যগো,ɔnnogo,আন্যদের,ɐnnod̪eɾ,Others,2. an-,other
অন্যায়,on̪d͡zae̯ɔ,অন্যায়,ɔnnɐe̯,ওতো,ot̪o,অন্যায়,ɔnnɐe̯,অন্যায়,ɔnnɐe̯,অন্যায়,ɔnnɐe̯,Wrong,3e. u̯er-,wrong
অন্যের,on̪d͡zerɔ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,অন্যের,ɔnneɾ,আন্য,ɐnno,Another,2. an-,another
অপমান,opman̪ɔ,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অপমান,ɔpomɐn,অফমান,ɔfɔmɐn,Insult,4. sel-,insult
অপর,opɔrɔ,আরেক,ɐɾek,আরেক,ɐɾek,অপর,ɔpɔɾ,অফর,ɔpʰɔɾ,আরেক,ɐɾek,Other,2. an-,other
অপরকে,opɔrɔke,আরেকজনের,ɐɾekɟɔneɾ,আরোখজনর,ɐɾoxzɔnɾ,আরেকজনের,ɐɾekɟɔneɾ,অপরকে,ɔpɔɾke,অফোরর,ɔfoɾoɾ,Another,2. an-,another
অপরের,oprerɔ,আর,ɐɾ,আরোখ,ɐɾokʰ,অপরের,ɔpoɾeɾ,হড়ে,hoɽe,অবশ্যই,ɔboʃʃo͡ɪ̯,Another,2. an-,another
অপেক্ষা,opekʂa,অপেক্ষা,ɔpekkʰɐ,বার,bɐɾ,অপেক্ষা,ɔpekkʰɐ,অফেক্ষা,ɔpʰekkʰɐ,আফেক্কা,ɐfekkɐ,Waiting,3. k̑uei-,whiting
অপেক্ষায়,opekʂae̯ɔ,লইগ্গা,lo͡ɪ̯ggɐ,অপেক্ষাত,ɔpekkʰɐt̪,অপেক্ষায়,ɔpekkʰɐe̯,পোলাডা,polɐdɐ,ফোয়াইবার,foʷɐ͡ɪ̯bɐɾ,Waiting,3. k̑uei-,whiting
অপ্রয়োজনীয়,opre̯od͡ʑn̪ie̯ɔ,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,আনা,ɐnɐ,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,অহয়জনিয়,ɔhɔʲɟonɪʲo,অপ্রয়োজনীয়,ɔpɾoʲoɟonɪʲo,Unnecessary,sed-,necessary
অফিস,oɸis̪ɔ,অফিসে,ɔpʰɪse,অফিসে,ɔpʰɪse,অফিস,ɔpʰɪs,অফিসের,ɔfɪseɾ,আফিসেত্তুন,ɐfɪset̪t̪un,Office,2. dhē-,office
অফিস,oɸis̪,অপিস,ɔpɪs,অফিস,ɔpʰɪs,অফিস,ɔpʰɪs,অধিদপ্তর,od̪ʱɪd̪opt̪oɾ,অফিস,ɔpʰɪs,Office,2. dhē-,office
অফিসে,oɸis̪e,অপিসে,ɔpɪʃe,অফিসো,ɔpʰɪso,অফিসে,ɔpʰɪse,হালাই,hɐlɐ͡ɪ̯,চারা,cɐɾɐ,Office,2. dhē-,office
অফিসের,oɸis̪erɔ,অপিসের,ɔpɪseɾ,অফিসর,ɔfɪʃɔɾ,অফিসের,ɔpʰɪseɾ,অফিসের,ɔpʰɪseɾ,আফিসর,ɐfɪʃɔɾ,Office,2. dhē-,office
অবদানই,obd̪an̪i,অবদানই,ɔbod̪ɐnɪ,অবদান,ɔbod̪ɐn,অবদানই,ɔbod̪ɐnɪ,মার,mɐɾ,আবদানই,ɐbd̪ɐnɪ,Contribution,2. streig-,constriction
অবশ্যই,obɔɕd͡zi,ঠিকই,tʰɪkɪ,ঠিকউ,tʰɪku,অবশ্যই,ɔboʃʃo͡ɪ̯,অবশ্যই,ɔboʃʃo͡ɪ̯,এক,ɛk,In course,2. k̑ers-,course
অবস্থা,obɔs̪t̪ʰa,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্থা,ɔbost̪ʰɐ,অবস্তা,ɔbost̪ɐ,Condition,deik̑-,condition
অবস্থায়,obɔs̪t̪ʰae̯ɔ,অবস্থায়,ɔbost̪ʰɐe̯,অবস্থাত,ɔbost̪ʰɐt̪,অবস্থায়,ɔbost̪ʰɐe̯,অবস্তাত,ɔbost̪ɐt̪,সময়,ʃɔmɔe̯,Under,n̥dhos,under
অবাক,obak,অবাক,ɔbɐk,তাইজ্জব,t̪ɐ͡ɪ̯ɟɟɔb,অবাক,ɔbɐk,অবাক,ɔbɐk,অইলাম,ɔ͡ɪ̯lɐm,Surprise,ghend-,surprise
অবাক,obakɔ,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,অবাক,ɔbɐk,Surprise,ghend-,surprise
অবিবাহিত,obibahit̪,আবিয়াইত্যা,ɐbɪʲɐ͡ɪ̯t̪t̪ɐ,আবিয়াতি,ɐbɪʲɐt̪ɪ,অবিবাহিত,ɔbɪbɐhɪt̪o,অবিবাহিত,ɔbɪbɐhɪt̪o,আ-বিয়াইত্তে,ɐ-bɪʲɐ͡ɪ̯t̪t̪e,Single,2. sem-,single
অভিনয়,ob̤in̪e̯ɔ,নাটক,koɾt̪e,অভিনয়,obʱɪnɔe̯,অভিনয়,obʱɪnɔe̯,অবিনয়,ɔbɪnɔe̯,অবিনয়,ɔbɪnɔe̯,Acting,ag̑-,action
অভিযোগ,ob̤id͡zoɡɔ,বিচার,bɪcɐɾ,অভিযোগ,ovɪzog,অভিযোগ,obʱɪɟog,অভিযোগ,obʱɪɟog,অবিযোগ,ɔbɪzog,Complaint,2. plāk-,complaint
অভ্যাস,ob̤d͡zas̪,অব্বাস,ɔbbɐʃ,চালানির,cɐlɐnɪɾ,অভ্যাস,ɔbbʱɐʃ,চালানির,cɐlɐnɪɾ,চালানোর,cɐlɐnoɾ,Habit,ghabh-,habit
অভ্যাস,ob̤d͡zas̪ɔ,অভ্যাস,ɐcʰe?,অভ্যাস,ɔbbʱɐʃ,অভ্যাস,ɔbbʱɐʃ,ঐববাস,o͡ɪ̯bbɐʃ,অব্বাস,ɔbbɐʃ,Habit,ghabh-,habit
অমনোযোগী,omn̪od͡zoɡi,অমনযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonoɟogɪ,অমনোযোগী,ɔmonozogɪ,Innocent,nek̑-,innocent
অর্থ,ort̪ʰɔ,মানে,mɐne,অর্থ,ɔɾt̪ʰo,অর্থ,ɔɾt̪ʰo,প্রেম,pɾem,মানে,mɐne,Money,kenəkó-,honey
অর্থনৈতিক,ort̪ʰɔn̪ojt̪ikɔ,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,অর্থনৈতিক,ɔɾt̪ʰono͡ɪ̯t̪ɪk,Economic,1. nem-,economic
অর্ধেকই,ord̪̤eki,আধখানই,ɐd̪ʱkʰɐnɪ,মাইনষর,mɐ͡ɪ̯nʃɔɾ,অর্ধেকই,ɔɾd̪ʱekɪ,জনসংখ্যার,bedɪ,অদ্দকই,ɔd̪d̪okɪ,Half,1. (s)kel-,half
অলস,ol̪ɔs̪ɔ,আইলসা,ɐ͡ɪ̯lʃɐ,অলস,ɔloʃ,অলস,ɔlɔʃo,অলস,ɔlɔʃo,ফ্রচন্ড,fɾocɔnd,Lazy,legh-,lay
অল্প,ol̪pɔ,এট্টুহানে,ettuhɐne,বাক্কা,bɐkkɐ,অল্প,ɔlpo,অল্ফ,ɔlpʰ,অল্ফ,ɔlf,Small,mēlo-,small
অল্পবয়সী,ol̪pɔbe̯ɔs̪i,‍কমবয়সী,‍komobɔʲoʃɪ,অল্প,ɔlpo,কম,kɔm,কম,kɔm,আল্ফবয়স্যা,ɐlfɔbɔʲoʃʃɐ,Young,3. i̯eu-,young
অশিক্ষিত,oɕikʂit̪,অশিক্ষিত,oʃɪkkʰɪt̪o,গন্ডোমূর্খ,gɔndomuɾkʰo,অশিক্ষিত,oʃɪkkʰɪt̪o,হে,he,সে,ʃe,Illiterate,deph-,illiterate
অশিক্ষিত,oɕikʂit̪ɔ,অশিক্ষিত,oʃɪkkʰɪt̪o,বখলম,bokʰlom,অশিক্ষিত,oʃɪkkʰɪt̪o,অশিক্ষিত,oʃɪkkʰɪt̪o,অশিক্ষিত,oʃɪkxɪt̪o,Illiterate,deph-,illiterate
অসম্ভব,os̪ɔmb̤ɔbɔ,একছের,ɛkcʰeɾ,অসম্ভব,ɔʃɔmbʱɔb,অসম্ভব,ɔʃɔmvɔb,অসম্ভব,ɔʃɔmbʱɔb,অসম্ভব,ɔʃɔmvɔb,Impossible,poti-s,possible
অসহায়,os̪ɔhae̯ɔ,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,অসহায়,ɔʃɔhɐe̯,Helpless,kob-,hapless
অসুখী,os̪ukʰi,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃukʰɪ,অসুখী,ɔʃuxɪ,Unhappy,kob-,happy
অসুখে,os̪ukʰe,অসুখে,ɔʃukʰe,অসুখে,ɔʃuxe,অসুখে,ɔʃukʰe,অসুখে,ɔʃukʰe,হয়েক,hoʲek,Ill,bhei(ə)-,bill
অসুবিধা,os̪ubid̪̤a,অসুবিধা,ɔʃubɪd̪ʱɐ,অসুবিধা,ɔʃubɪd̪ʱɐ,অসুবিধা,ɔʃubɪd̪ʱɐ,আসুবিধা,ɐʃubɪd̪ʱɐ,অসুবিদা,ɔʃubɪd̪ɐ,Disadvantage,ant-s,advantage
অসুস্থ,os̪us̪t̪ʰɔ,অসুস্থ,ɔʃust̪ʰo,অসুখ,ɔʃukʰ,অসুস্থ,ɔʃust̪ʰo,ইয়া,ɪʲɐ,ইবা,ɪbɐ,Ill,bhei(ə)-,bill
আঁকতে,aঁkɔt̪e,আঁকতে,ɐ̃kt̪e,আঁকাইতে,ɐ̃kɐ͡ɪ̯t̪e,আঁকতে,ɐ̃kt̪e,ছবি,cʰobɪ,আঁকতাম,ɐ̃kɔt̪ɐm,Drawing,dherāgh-,drawn
আঁকে,aঁke,আঁকে,ɐ̃ke,আকইন,ɐkɪn,আঁকে,ɐ̃ke,আঁকে,ɐ̃ke,ছবি,cʰobɪ,Draw,dherāgh-,draw
আঁচল,aঁt͡ɕɔl̪ɔ,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আঁচল,ɐ̃cɔl,আচল,ɐcol,Lodge,leup-,lodge
আইডিটা,aidita,আইডি,ɐ͡ɪ̯dɪ,আইডি,ɐ͡ɪ̯dɪ,আইডিটা,ɐ͡ɪ̯dɪtɐ,আইডিকান,ɐ͡ɪ̯dɪkɐn,আইডি,ɐ͡ɪ̯dɪ,Ideta,2. u̯(e)id-,idea
আকাশ,akaɕɔ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,আকাশ,ɐkɐʃ,নিল,nɪl,Sky,2. (s)keu-,sky
আকাশের,akaɕerɔ,আকাশের,ɐkɐʃeɾ,আকাশর,ɐkɐʃoɾ,আকাশের,ɐkɐʃeɾ,আকাশের,ɐkɐʃeɾ,আকাশর,ɐkɐʃoɾ,Sky,2. (s)keu-,sky
আগামিকাল,aɡamikal̪ɔ,কাইলগো,kɐ͡ɪ̯lgo,আগামীকাল,ɐgɐmɪkɐl,কালকে,kɐloke,আগোমি,ɐge͡ɐ̯mɪ,আগামি,ɐgɐmɪ,Tomorrow,2. mer-,morrow
আগুন,aɡun̪ɔ,আগুন,ɐgun,আগুন,ɐgun,আগুন,ɐgun,আগুন,ɐgun,অন,ɔn,Fire,peu̯ōr,fire
আগে,aɡe,আগে,ɐge,আগে,ɐge,একবার,ɛkbɐɾ,আগে,ɐge,আগে,ɐge,Before,2a. per-,before
চলতেই,t͡ɕɔl̪ɔt̪ei,চলতেই,cɔlt̪e͡ɪ̯,চলতোউ,cɔlɔt̪o͡u̯,চলতেই,cɔlt̪e͡ɪ̯,চইলতেই,cɪlt̪e͡ɪ̯,নো,no,On,4. an-,on
চলল,t͡ɕɔl̪ɔl̪ɔ,বইললা,bo͡ɪ̯llɐ,যার,zɐɾ,চলল,colol,চললো,cɔllo,যার,zɐɾ,Go,1. g̑hē-,go
চলা,t͡ɕɔl̪a,চলা,cɔlɐ,চলা,cɔlɐ,চলন,cɔlon,চলা,cɔlɐ,তেমন,kotɪn,Run,3. er-,run
চলার,t͡ɕɔl̪arɔ,যাওয়ার,ɟɐ͡o̯ʷɐɾ,আওগাইয়া,ɐ͡o̯gɐ͡ɪ̯ʲɐ,চলার,cɔlɐɾ,যানের,ɟɐneɾ,আগাই,ɐgɐ͡ɪ̯,Walking,4. dheu-,Dwaling
চলে,t͡ɕɔl̪e,আইছে,ɐ͡ɪ̯cʰe,ফানি,pʰɐnɪ,চইলা,cɔ͡ɪ̯lɐ,হানি,hɐnɪ,চলি,colɪ,Leaving,2. leu-,leasing
চা,t͡ɕa,খাবা?,kʰɐbɐ?,চা,cɐ,চা,cɐ,চা,cɐ,চা,cɐ,Tea,deuk-,team
চাঁদ,t͡ɕɔ̃d̪ɔ,চাঁন,cɐ̃n,ছান,cʰɐn,চাঁদ,cɐ̃d̪,চাদ,cɐd̪,চাঁদ,cɐ̃d̪,Moon,mēnōt,moon
চাঁদের,t͡ɕɔ̃d̪erɔ,চান্দের,cɐnd̪eɾ,চাঁদের,cɐ̃d̪eɾ,চাঁন্দের,mɪʃtɪ,চাঁদের,cɐ̃d̪eɾ,চাদর,cɐd̪oɾ,Moon,mēnōt,moon
চাই,t͡ɕai,চাই,cɐ͡ɪ̯,চাই,cɐ͡ɪ̯,চাই,cɐ͡ɪ̯,ঘুইত্তাম,gʱu͡ɪ̯t̪t̪ɐm,চাই,cɐ͡ɪ̯,Desire,1. su̯eid-,desire
চাইছি,t͡ɕait͡ɕʰi,চাই,cɐ͡ɪ̯,চাইয়ার,cɐ͡ɪ̯ʲɐɾ,চাইতাসি,cɐ͡ɪ̯t̪ɐʃɪ,চাইছি,cɐ͡ɪ̯cʰɪ,চাই,cɐ͡ɪ̯,Sink,sengu̯-,sink
চাইছে,t͡ɕait͡ɕʰe,চাইছে,cɐ͡ɪ̯cʰe,চাইছিল,cɐ͡ɪ̯cʰɪlo,চাইসে,cɐ͡ɪ̯ʃe,চাইছে,cɐ͡ɪ̯cʰe,সাইয়ে,ʃɐ͡ɪ̯ʲe,Wanting,bheg-,bantling
চাইত,t͡ɕait̪ɔ,চাইতে,cɐ͡ɪ̯t̪e,চাইতা,cɐ͡ɪ̯t̪ɐ,চাইত,cɐ͡ɪ̯t̪o,চাইতো,cɐ͡ɪ̯t̪o,চাইত,cɐ͡ɪ̯t̪o,Wanting,bheg-,bantling
চাইতে,t͡ɕait̪e,চাইতে,cɐ͡ɪ̯t̪e,চাইতে,cɐ͡ɪ̯t̪e,দামি,d̪ɐmɪ,চাইতে,cɐ͡ɪ̯t̪e,বেজ্ঞুনরতুন,beggunɔɾt̪un,To,de-,to
চাইতো,t͡ɕait̪o,চাইতে,cɐ͡ɪ̯t̪e,চাইতো,cɐ͡ɪ̯t̪o,চাইতো,cɐ͡ɪ̯t̪o,চাইতো,cɐ͡ɪ̯t̪o,চাইতো,cɐ͡ɪ̯t̪o,Wanting,bheg-,bantling
চাইবো?,t͡ɕaibo?,চামু?,cɐmu?,চাইতাম?,cɐ͡ɪ̯t̪ɐm?,চায়াম?,cɐʲɐm?,চাইয়ুম?,cɐ͡ɪ̯ʲum?,চাইয়ুম,cɐ͡ɪ̯ʲum,Want,1. eu-,want
চাইল,t͡ɕail̪,চাইছে,cɐ͡ɪ̯cʰe,চাইছিল,cɐ͡ɪ̯cʰɪlo,চাইল,cɐ͡ɪ̯l,চাইলো,cɐ͡ɪ̯lo,যাইতু,ɟɐ͡ɪ̯t̪u,Desire,1. su̯eid-,desire
চাইল,t͡ɕail̪ɔ,চাইছে,cɐ͡ɪ̯cʰe,চাইলো,cɐ͡ɪ̯lo,চাইল,cɐ͡ɪ̯l,চাইল,cɐ͡ɪ̯l,চাইয়ে,cɐ͡ɪ̯ʲe,Desire,1. su̯eid-,desire
চাইলাম,t͡ɕail̪amɔ,চাইছেলাম,cɐ͡ɪ̯cʰelɐm,হখানও,hɔkʰɐno,চাইলাম,cɐ͡ɪ̯lɐm,চাইলাম,cɐ͡ɪ̯lɐm,ইয়ানতও,ɪʲɐnt̪o,Want,1. eu-,want
চাইলেই,t͡ɕail̪ei,চাইলেই,cɐ͡ɪ̯le͡ɪ̯,চাইলেউ,cɐ͡ɪ̯le͡u̯,চাইলেই,cɐ͡ɪ̯le͡ɪ̯,চাইলেই,cɐ͡ɪ̯le͡ɪ̯,সাইলেও,sɐ͡ɪ̯le͡o̯,For,2a. per-,for
চাও,t͡ɕao,চাও,cɐ͡o̯,চাও,cɐ͡o̯,চাও,cɐ͡o̯,চো,co,নে,ne,Want,1. eu-,want
চাও?,t͡ɕao?,চাও?,cɐ͡o̯?,চাও,cɐ͡o̯,চাও?,cɐ͡o̯?,চাস?,cɐʃ?,নে?,ne?,Want,1. eu-,want
চাওয়া,t͡ɕaoe̯a,চাওয়া,cɐ͡o̯ʷɐ,চাওয়া,cɐ͡o̯ʷɐ,চাওয়া,cɐ͡o̯ʷɐ,চাওয়া,cɐ͡o̯ʷɐ,চন,cɔn,Seek,sāg-,seek
চাচা,t͡ɕat͡ɕa,চাচায়,cɐcɐe̯,চাচা,cɐcɐ,চাচা,cɐcɐ,আর,ɐɾ,চাচা,cɐcɐ,Uncle,au̯o-s,uncle
চাচার,t͡ɕat͡ɕarɔ,চাচার,cɐcɐɾ,চাচার,cɐcɐɾ,চাচার,cɐcɐɾ,চাচার,cɐcɐɾ,চাচা,cɐcɐ,Clerk,3. kel-,clerk
চাচারাও,t͡ɕat͡ɕarao,চাচারাও,cɐcɐɾɐ͡o̯,চাচায়,cɐcɐe̯,চাচারাও,cɐcɐɾɐ͡o̯,চাচারাও,cɐcɐɾɐ͡o̯,চাচা,cɐcɐ,Uncle,au̯o-s,uncle
চাচ্ছি,t͡ɕat͡ɕt͡ɕʰi,চাইতেয়াছি,cɐ͡ɪ̯t̪eʲɐcʰɪ,উপায়,upɐe̯,চাইতাসি,cɐ͡ɪ̯t̪ɐʃɪ,চাইয়ের,cɐ͡ɪ̯ʲeɾ,যাইর,zɐ͡ɪ̯ɾ,Want,1. eu-,want
চাচ্ছে,t͡ɕat͡ɕt͡ɕʰe,চাইতেয়াছে,cɐ͡ɪ̯t̪eʲɐcʰe,চার,cɐɾ,চাইতাসে,cɐ͡ɪ̯t̪ɐʃe,মামলা,mɐmlɐ,ন,nɔ,Wanting,bheg-,bantling
চান,t͡ɕan̪ɔ,চান,cɐn,নি,nɪ,চান,nɐ,চান,cɐn,নে,ne,Want,1. eu-,want
চানাচুর,t͡ɕan̪at͡ɕurɔ,চানাচুর,cɐnɐcuɾ,চানাচুর,cɐnɐcuɾ,চানাচুর,cɐnɐcuɾ,চানাচুর,cɐnɐcuɾ,চানাচুর,ɐ͡ɪ̯ʲe,Cunch,1. kenk-,cinch
চাপ,t͡ɕapɔ,চাপ,cɐp,চাপ,cɐp,চাপ,cɐp,চাপ,cɐp,চাপ,cɐp,Stress,2. streig-,stress
চাবি,t͡ɕabi,চাবি,cɐbɪ,চাবি,cɐbɪ,চাবি,cɐbɪ,চাবি,cɐbɪ,তালা,t̪ɐlɐ,Key,kagh-,key
চামচ,t͡ɕamɔt͡ɕɔ,চামুছ,cɐmucʰo,চামচ,cɐmoc,চামচ,cɐmoc,চামুচ,cɐmuc,চামচ,cɐmoc,Spoon,sp(h)ē-,spoon
চামুচ,t͡ɕamut͡ɕɔ,চামুছ,cɐmucʰo,চামচ,cɐmoc,চামুচ,cɐmuc,দি?,d̪ɪ?,দিয়ুম,d̪ɪʲum,Spoon,sp(h)ē-,spoon
চায়,t͡ɕae̯,চায়,cɐe̯,চায়,cɐe̯,চায়,cɐe̯,চায়,cɐe̯,চায়,cɐe̯,Desired,1. su̯eid-,desire
