bangla_speech,regional,regional_ipa,bangla_speech_ipa
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,বরিশাল মোর ছোডো ভাই এক্কালেই পড়াল্যাহা করতে চায় না,bɐɾɔhɐl moɾ cʰodo bʱɐ͡ɪ̯ ɛkkɐle͡ɪ̯ pɔɽɐlɛhɐ koɾt̪e cɐe̯ nɐ,amarɔ t͡ɕʰotɔ b̤ai ekɔd̪ɔmi pɔɽal̪ekʰa kɔrɔt̪e t͡ɕae̯ɔ n̪a
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,বরিশাল মোর ছোডো ভাই ইস্কুলে যাইতে চায় না,bɐɾɔhɐl moɾ cʰodo bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ,amarɔ t͡ɕʰotɔ b̤ai bid̪d͡zal̪e̯e d͡zet̪e t͡ɕae̯ɔ n̪a
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,বরিশাল মোর ছোডো ভাইয়ের ইস্কুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,bɐɾɔhɐl moɾ cʰodo bʱɐ͡ɪ̯ʲeɾ ɪskule ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e bʱɐlo lɐge nɐ,amarɔ t͡ɕʰotɔ b̤aie̯erɔ bid̪d͡zal̪e̯e ɡie̯e pɔɽal̪ekʰa kɔrɔt̪e b̤al̪ɔ l̪aɡe n̪a
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,বরিশাল মুই একদিন ইস্কুলের মাডে মাথা ঘুরাইয়া পইররা গ্যাল্লাম,bɐɾɔhɐl mu͡ɪ̯ ɛkd̪ɪn ɪskuleɾ mɐde mɐt̪ʰɐ gʱuɾɐ͡ɪ̯ʲɐ po͡ɪ̯ɾɾɐ gɛllɐm,ami ekd̪in̪ɔ bid̪d͡zal̪e̯erɔ matʰe mat̪ʰa ̤ɡ̤urie̯e pɔre ɡie̯et͡ɕʰil̪am
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,বরিশাল আমনে কি মোরে কোনকালেও ভালবাসবেন না?,bɐɾɔhɐl ɐmone kɪ moɾe konkɐle͡o̯ bʱɐlbɐʃben nɐ?,apn̪i ki amake kon̪d̪in̪o b̤al̪bas̪ɔben̪ɔ n̪a ?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,বরিশাল মোর দোস্ত আইজগো বেইন্নাহালে ফুটবল খ্যালছে,bɐɾɔhɐl moɾ d̪ost̪o ɐ͡ɪ̯ɟgo be͡ɪ̯nnɐhɐle pʰutbɔl kʰɛlcʰe,amarɔ bɔn̪d̪̤u ad͡ʑke s̪ɔkal̪e ɸutɔbɔl̪ɔ kʰel̪et͡ɕʰe
তুমি আমার মনের কথা একদমই বুঝো না ,বরিশাল তুমি মোর মনের কথ এক্কালেই বোঝো না,bɐɾɔhɐl t̪umɪ moɾ moneɾ kɔt̪ʰ ɛkkɐle͡ɪ̯ boɟʱo nɐ,t̪umi amarɔ mɔn̪erɔ kɔt̪ʰa ekɔd̪ɔmi bud͡ʑ̤o n̪a 
আমার আম্মু অনেক ভালো রান্না করে,বরিশাল মোর মায় বেমালা ভালো রান্দে,bɐɾɔhɐl moɾ mɐe̯ bemɐlɐ bʱɐlo ɾɐnd̪e,amarɔ ammu on̪ekɔ b̤al̪o ran̪n̪a kɔre
আমার বন্ধু এখন ঘুমাতে যাবে,বরিশাল মোর দোস্ত এহন ঘুনাইতে যাইবে,bɐɾɔhɐl moɾ d̪ost̪o ehon gʱunɐ͡ɪ̯t̪e ɟɐ͡ɪ̯be,amarɔ bɔn̪d̪̤u ekʰɔn̪ɔ ̤ɡ̤umat̪e d͡zabe
আমার ছোট বোন নাচতে পারে,বরিশাল মোর ছোডো বুইন নাচতে পারে,bɐɾɔhɐl moɾ cʰodo bu͡ɪ̯n nɐct̪e pɐɾe,amarɔ t͡ɕʰotɔ bon̪ɔ n̪at͡ɕt̪e pare
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,বরিশাল মোর দোস্ত এইফির ছুটিতে রাজশাহী ঘোরতে যাইবে,bɐɾɔhɐl moɾ d̪ost̪o e͡ɪ̯pʰɪɾ cʰutɪt̪e ɾɐɟʃɐhɪ gʱoɾt̪e ɟɐ͡ɪ̯be,amarɔ bɔn̪d̪̤u eibarɔ t͡ɕʰutit̪e rad͡ʑɕahi ̤ɡ̤urt̪e d͡zabe
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,বরিশাল মোর দোস্ত যারে ভালোবাসে হ্যায় রাজশাহী থাহে,bɐɾɔhɐl moɾ d̪ost̪o ɟɐɾe bʱɐlobɐʃe hɛe̯ ɾɐɟʃɐhɪ t̪ʰɐhe,amarɔ bɔn̪d̪̤u d͡zake b̤al̪bas̪e s̪e rad͡ʑɕahi t̪ʰake
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,বরিশাল মাইয়াডা রাজশাহী গোনে মোর বড় ভাইর লগে দ্যাহা করতে আইল্লে,bɐɾɔhɐl mɐ͡ɪ̯ʲɐdɐ ɾɐɟʃɐhɪ gone moɾ bɔɽo bʱɐ͡ɪ̯ɾ lɔge d̪ɛhɐ koɾt̪e ɐ͡ɪ̯lle,mee̯eti rad͡ʑɕahi t̪ʰeke amarɔ bɔɽɔ b̤aie̯erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e es̪et͡ɕʰil̪
মেয়েটি এখন সিলেট যাবে,বরিশাল মাইয়াডা এহন সিলেট যাইবে,bɐɾɔhɐl mɐ͡ɪ̯ʲɐdɐ ehon sɪlet ɟɐ͡ɪ̯be,mee̯eti ekʰɔn̪ɔ s̪il̪etɔ d͡zabe
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,বরিশাল মোর বড় ভাই এহন হ্যার দোস্তগো লগে বিরি খায় না,bɐɪʃɐl moɾ bɔɽo bʱɐ͡ɪ̯ ehon hɛɾ d̪ost̪ogo lɔge bɪɾɪ kʰɐe̯ nɐ,amarɔ bɔɽɔ b̤ai ekʰɔn̪ɔ t̪ɔ̃rɔ bɔn̪d̪̤ud̪erɔ s̪at̪ʰe s̪iɡaretɔ kʰae̯ɔ n̪a
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,বরিশাল আমনে কি মোরে আগে কোনদিন দ্যাখছেন?,bɐɾohɐl ɐmone kɪ moɾe ɐge kond̪ɪn d̪ɛkʰcʰen?,apn̪i ki amake aɡe kon̪d̪in̪ɔ d̪ekʰet͡ɕʰen̪ɔ ?
ছেলেটি আমাকে চিনতে পারল না,বরিশাল পোলাডায় মোরে চেনতে পারল না,bɐɾɔhɐl polɐdɐe̯ moɾe cent̪e pɐɾol nɐ,t͡ɕʰel̪eti amake t͡ɕin̪t̪e parɔl̪ɔ n̪a
মেয়েটি তোমাকে চিনতে পারল না,বরিশাল মাইয়াডা তোমারে চেনতে পারল না,bɐɾɔhɐl mɐ͡ɪ̯ʲɐdɐ t̪omɐɾe cent̪e pɐɾol nɐ,mee̯eti t̪omake t͡ɕin̪t̪e parɔl̪ɔ n̪a
আমার এখন পড়ালেখা করা উচিত,বরিশাল মোর এহন পড়াল্যাহা করা উচিত,bɐɾɔhɐl moɾ ehon pɔɽɐlɛhɐ kɔɾɐ ucɪt̪,amarɔ ekʰɔn̪ɔ pɔɽal̪ekʰa kɔra ut͡ɕit̪
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,বরিশাল বেমালা রাইত হইছে এহন মোর ছোডো বুইন ঘুমাইতে যাইবে,bɐɾɔhɐl bemɐlɐ ɾɐ͡ɪ̯t̪o ho͡ɪ̯cʰe ehon moɾ cʰodo bu͡ɪ̯n gʱumɐ͡ɪ̯t̪e ɟɐ͡ɪ̯be,on̪ekɔ rat̪ɔ he̯et͡ɕʰe ekʰɔn̪ɔ amarɔ t͡ɕʰotɔ bon̪ɔ ̤ɡ̤umat̪e d͡zabe
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,বরিশাল মোর পরিক্ষার আগে হগল কিছু লইয়া পড়াল্যাহা করতে হইবে,bɐɾɔhɐl moɾ poɾɪkkʰɐɾ ɐge hɔgol kɪcʰu lɔ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e ho͡ɪ̯be,amake pɔrikʂarɔ aɡe s̪ɔbɔ kit͡ɕʰu n̪ie̯e pɔɽal̪ekʰa kɔrɔt̪e hɔbe
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,বরিশাল মোর ছোডো ভাই ইস্কুলে যাইয়া দোস্তগো লগে কেসসা করে,bɐɾɪʃɐl moɾ cʰodo bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯ʲɐ d̪ost̪ogo lɔge kesʃɐ koɾe,amarɔ t͡ɕʰotɔ b̤ai bid̪d͡zal̪e̯e ɡie̯e bɔn̪d̪̤ud̪erɔ s̪at̪ʰe ɡɔl̪pɔ kɔre
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,বরিশাল মোর দোস্ত ইস্কুলের মাডে পেরতেকদিন কিরকেট খ্যালে,bɐɾɔhɐl moɾ d̪ost̪o ɪskuleɾ mɐde peɾt̪ekd̪ɪn kɪɾɔket kʰɛle,amarɔ bɔn̪d̪̤u bid̪d͡zal̪e̯erɔ matʰe prɔt̪id̪in̪ɔ kriketɔ kʰel̪e
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,বরিশাল এউক্কা ল্যাদা গেদু ফুটপাতে লাফাইতেয়াছে,bɐɾɔhɐl ɛ͡u̯kkɐ lɛd̪ɐ ged̪u pʰutpɐt̪e lɐpʰɐ͡ɪ̯t̪eʲɐcʰe,ekti t͡ɕʰotɔ ɕiɕu ɸutpat̪e l̪aɸat͡ɕt͡ɕʰe
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,বরিশাল মোর বান্ধুবি হ্যার জামাইরে বেমালা ভালোবাসে,bɐɾɔhɐl moɾ bɐnd̪ʱubɪ hɛɾ ɟɐmɐ͡ɪ̯ɾe bemɐlɐ bʱɐlobɐʃe,amarɔ ban̪d̪̤ubi t̪arɔ s̪bamike kʰubɔ b̤al̪bas̪e
আমার স্ত্রী আমাকে ভালোবাসে না,বরিশাল মোর বউ মোরে ভালবাসে না,bɐɾɔhɐl moɾ bɔ͡u̯ moɾe bʱɐlbɐʃe nɐ,amarɔ s̪t̪ri amake b̤al̪obas̪e n̪a
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,বরিশাল ইস্কুল জীবন গোনে মোর ভাইর লগে তোমার বুইনের পেরেম আল্লেহ,bɐɾɔhɐl ɪskul ɟɪbɔn gone moɾ bʱɐ͡ɪ̯ɾ lɔge t̪omɐɾ bu͡ɪ̯neɾ peɾem ɐlleh,s̪kul̪ɔ d͡ʑibɔn̪ɔ t̪ʰeke amarɔ b̤aie̯erɔ s̪at̪ʰe t̪omarɔ bon̪erɔ premɔ t͡ɕʰil̪o
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,বরিশাল মোর গ্যাছেকাইল বেমালা মাথা ব্যাথা করতেয়াছেলে,bɐɾɔʃɐl moɾ gɛcʰekɐ͡ɪ̯l bemɐlɐ mɐt̪ʰɐ bɛt̪ʰɐ koɾt̪eʲɐcʰele,amarɔ ɡɔt̪ɔkal̪ɔ prɔt͡ɕɔndɔ mat̪ʰa bd͡zɔt̪ʰa kɔrɔt͡ɕʰil̪o
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,বরিশাল মুই তোমার কোন কথা কিছুই বোঝতে পারলাম না,bɐɾɔhɐl mu͡ɪ̯ t̪omɐɾ kon kɔt̪ʰɐ kɪcʰu͡ɪ̯ boɟʱot̪e pɐɾlɐm nɐ,ami t̪omarɔ kon̪ɔ kɔt̪ʰa kit͡ɕʰui bud͡ʑ̤t̪e parl̪amɔ n̪a
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,বরিশাল তোমার হাশির ধারে মোর হগল কিছু ঠইজ্ঞা যায়,bɐɾɔʃɐl t̪omɐɾ hɐʃɪɾ d̪ʱɐɾe moɾ hɔgol kɪcʰu tʰo͡ɪ̯ggɐ ɟɐe̯,t̪omarɔ haɕirɔ kat͡ɕʰe amarɔ s̪ɔbɔ kit͡ɕʰu harɔ men̪e d͡zae̯
তোমার চোখ দুটো অনেক সুন্দর,বরিশাল তোমার চক্ষু দুইডা বেমালা সুন্দর,bɐɾɔhɐl t̪omɐɾ cokkʰu d̪u͡ɪ̯dɐ bemɐlɐ ʃund̪ɔɾ,t̪omarɔ t͡ɕokʰɔ d̪uto on̪ekɔ s̪un̪d̪ɔrɔ
তোমার সাথে অনেক দিন পর দেখা,বরিশাল তোমার লগে ম্যালা দিন পর দ্যাহা,bɐɾɔhɐl t̪omɐɾ lɔge mɛlɐ d̪ɪn pɔɾ d̪ɛhɐ,t̪omarɔ s̪at̪ʰe on̪ekɔ d̪in̪ɔ pɔrɔ d̪ekʰa
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,বরিশাল পোলাডা বিদ্যাশে যাইয়া পড়াল্যাহা করার হপন দ্যাহে,bɐɾɔhɐl polɐdɐ bɪd̪d̪ɐʃe ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ kɔɾɐɾ hɔpon d̪ɛhe,t͡ɕʰel̪eti bid̪eɕe ɡie̯e pɔɽal̪ekʰa kɔrarɔ s̪bɔpn̪ɔ d̪ekʰe
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,বরিশাল তোমার লগে কথা কইয়া মোর বেমালা ভালো লাগছে,bɐɾɔhɐl t̪omɐɾ lɔge kɔt̪ʰɐ ko͡ɪ̯ʲɐ moɾ bemɐlɐ bʱɐlo lɐgcʰe,t̪omarɔ s̪at̪ʰe kɔt̪ʰa bɔl̪e amarɔ on̪ekɔ b̤al̪o l̪aɡl̪o
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,বরিশাল তোমার দোস্তের লগে পরিচিত হইয়া ভালো লাগছে,bɐɾɔhɐl t̪omɐɾ d̪ost̪eɾ lɔge poɾɪcɪt̪o ho͡ɪ̯ʲɐ bʱɐlo lɐgcʰe,t̪omarɔ bɔn̪d̪̤urɔ s̪at̪ʰe pɔrit͡ɕit̪ɔ he̯e b̤al̪o l̪aɡl̪o
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,বরিশাল মোর আব্বা আর চাচার লগে জায়গা জমি লইয়া কাইজ্জা হয়,bɐɾɔhɐl moɾ ɐbbɐ ɐɾ cɐcɐɾ lɔge ɟɐʲgɐ ɟomɪ lɔ͡ɪ̯ʲɐ kɐ͡ɪ̯ɟɟɐ hɔe̯,amarɔ abbu arɔ t͡ɕat͡ɕarɔ mɔd̪̤d͡ze d͡ʑae̯ɡa d͡ʑɔmi n̪ie̯e d͡ʑ̤ɔɡɔɽa he̯ɔ
লোকটি কিছু দিন আগে বিয়ে করেন,বরিশাল ব্যাডাডা কয় দিন আগে বিয়া করছে,bɐɾɔhɐl bɛdɐdɐ kɔe̯ d̪ɪn ɐge bɪʲɐ koɾcʰe,l̪okti kit͡ɕʰu d̪in̪ɔ aɡe bie̯e kɔren̪
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,বরিশাল পোরথোম তোমারে এউক্কা বইয়ের দোকানে যাইতে হইবে,bɐɾɔhɐl poɾt̪ʰom t̪omɐɾe ɛ͡u̯kkɐ bo͡ɪ̯ʲeɾ d̪okɐne ɟɐ͡ɪ̯t̪e ho͡ɪ̯be,prɔt̪ʰɔme t̪omake ekti bie̯erɔ d̪okan̪e d͡zet̪e hɔbe
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,বরিশাল বেশি কিছু কয়ার আগেই চোউখে পানি চইল্লা আইছে, bɐɾɔhɐl beʃɪ kɪcʰu kɔʲɐɾ ɐge͡ɪ̯ co͡u̯kʰe pɐnɪ co͡ɪ̯llɐ ɐ͡ɪ̯cʰe,beɕi kit͡ɕʰu bɔl̪arɔ aɡei abeɡe t͡ɕokʰe pan̪i t͡ɕɔl̪e as̪t͡ɕʰe
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,বরিশাল আমনের দোস্তগো খামার দেওয়ার সুযোগ কইররা দেন,bɐɾɔhɐl ɐmoneɾ d̪ost̪ogo kʰɐmɐɾ d̪e͡o̯ʷɐɾ ʃuɟog ko͡ɪ̯ɾɾɐ d̪ɛn,apn̪arɔ bɔn̪d̪̤ud̪erɔ ɡal̪i d̪eoe̯arɔ s̪ud͡zoɡɔ kɔre d̪in̪
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,বরিশাল বেমালা মানু এহনো পাছে লাইনে খারাইয়া আছে,bɐɾɔhɐl bemɐlɐ mɐnu ehono pɐcʰe lɐ͡ɪ̯ne kʰɐɾɐ͡ɪ̯ʲɐ ɐcʰe,on̪ekɔ man̪uʂɔ ekʰn̪o pet͡ɕʰn̪e l̪ain̪e d̪ɔ̃ɽie̯e at͡ɕʰe
একজন মহিলা মারা গেছেন,বরিশাল এউক্কা মাতারি মইরা গ্যাছে,bɐɾɔhɐl e͡u̯kkɐ mɐt̪ɐɾɪ mo͡ɪ̯ɾɐ gɛcʰe,ekɔd͡ʑɔn̪ɔ mɔhil̪a mara ɡet͡ɕʰen̪
আপনি এত গরীব আগে কেন বলেননি,বরিশাল আমনে এত খয়রাতি আগে কিরলইজ্ঞা কন নাই,bɐɾone ɛt̪o kʰɔʲɾɐt̪ɪ ɐge kɪɾolɪggɐ kon nɐ͡ɪ̯,apn̪i et̪ɔ ɡɔribɔ aɡe ken̪ɔ bɔl̪en̪n̪i
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,বরিশাল তুমি ছাড়া এই পিরথিবিতে মোর আর কেউ নাই,bɐɾɔhɐl t̪umɪ cʰɐɽɐ e͡ɪ̯ pɪɾot̪ʰɪbɪt̪e moɾ ɐɾ ke͡u̯ nɐ͡ɪ̯,t̪umi t͡ɕʰaɽa ei pɽit̪ʰibit̪e amarɔ arɔ keu n̪ei
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,বরিশাল মুই আগেই কইছি তোমারে লইয়া বিদ্যাশ ঘোরতে চাই,bɐɾɪhɐl mu͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɪ t̪omɐɾe lɔ͡ɪ̯ʲɐ bɪd̪d̪ɐʃ gʱoɾt̪e cɐ͡ɪ̯,ami aɡei bɔl̪et͡ɕʰi t̪omake n̪ie̯e bid̪eɕɔ ̤ɡ̤urt̪e t͡ɕai
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,বরিশাল মোর মায় মোরে বেবাকটির সামনে পিডাইতে পিডাইতে বাড়ি লইয়া আইছে,bɐɾɔhɐl moɾ mɐe̯ moɾe bebɐktɪɾ ʃɐmne pɪdɐ͡ɪ̯t̪e pɪdɐ͡ɪ̯t̪e bɐɽɪ lɔ͡ɪ̯ʲɐ ɐ͡ɪ̯cʰe,amarɔ ammu amake s̪ɔbarɔ s̪amn̪e mart̪e mart̪e bas̪ae̯ɔ n̪ie̯e as̪e
