bangla_speech,regional,regional_ipa,bangla_speech_ipa
আমার দুইদিন পরে বিয়ে হবে,সিলেট আমার দুইদিন ফরে বিয়া অইবো,ʃɔlhe ɐmɐɾ d̪u͡ɪ̯d̪ɪn pʰɔɾe bɪʲɐ ɔ͡ɪ̯bo,amarɔ d̪uid̪in̪ɔ pɔre bie̯e hɔbe
ছেলেটি এখন আর বিকালে খেলতে বের হয় না,সিলেট ফুয়াটা এখন আর বিকালে খেলাত বারয় না,ʃɔlhe pʰuʲɐtɐ ɛkʰon ɐɾ bɪkɐle kʰelɐt̪ bɐɾɔe̯ nɐ,t͡ɕʰel̪eti ekʰɔn̪ɔ arɔ bikal̪e kʰel̪t̪e berɔ he̯ɔ n̪a
মেয়েটি সকালে ঘুম থেকে উঠেই পরতে বসে,সিলেট ফুরিটা সকালে ঘুম থাকি উঠেই ফরাত বয়,ʃɔlhe pʰuɾɪtɐ ʃɔkɐle gʱum t̪ʰɐkɪ utʰe͡ɪ̯ pʰɔɾɐt̪ bɔe̯,mee̯eti s̪ɔkal̪e ̤ɡ̤umɔ t̪ʰeke utʰei pɔrɔt̪e bɔs̪e
আমার চাচা বিদেশ থেকে গতকাল বাংলাদেশে এসেছে,সিলেট আমার চাচা বিদেশ থাকি গতকাল বাংলাদেশে আইছে,ʃɔlhe ɐmɐɾ cɐcɐ bɪd̪eʃ t̪ʰɐkɪ gɔt̪okɐl bɐŋlɐd̪eʃe ɐ͡ɪ̯cʰe,amarɔ t͡ɕat͡ɕa bid̪eɕɔ t̪ʰeke ɡɔt̪ɔkal̪ɔ baŋl̪ad̪eɕe es̪et͡ɕʰe
আমার বাসার দারওয়ান অনেক ভালো মানুষ,সিলেট আমার বাসার দারওয়ান অনেক ভালা মানুষ ,ʃɔlhe ɐmɐɾ bɐʃɐɾ d̪ɐɾoʷɐn ɔnek bʱɐlɐ mɐnuʃ ,amarɔ bas̪arɔ d̪aroe̯an̪ɔ on̪ekɔ b̤al̪o man̪uʂ
আমার বন্ধু খুলনা ঘুরতে গিয়েছে,সিলেট আমার বন্ধু খুলনা বেরানিত গেছইন,sɔlhe ɐmɐɾ bond̪ʱu kʰulnɐ beɾɐnɪt̪o gecʰo͡ɪ̯n,amarɔ bɔn̪d̪̤u kʰul̪n̪a ̤ɡ̤urt̪e ɡie̯et͡ɕʰe
আমার ঘুরতে অনেক ভালো লাগে,সিলেট আমার বেরাইতে অনেক ভালা লাগে,ʃɔlhe ɐmɐɾ beɾɐ͡ɪ̯t̪e ɔnek bʱɐlɐ lɐge,amarɔ ̤ɡ̤urt̪e on̪ekɔ b̤al̪o l̪aɡe
আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,সিলেট মুই বিদেশে গিয়া অনেক বেরাইতে চাই,ʃɔlhe mu͡ɪ̯ bɪd̪eʃe gɪʲɐ ɔnek beɾɐ͡ɪ̯t̪e cɐ͡ɪ̯,ami bid̪eɕe ɡie̯e on̪ekɔ ̤ɡ̤urt̪e t͡ɕai
তুমি আমাকে বিরক্ত করো না,সিলেট তুমি মোরে বিরক্ত করবা না,ʃɔlhe t̪umɪ moɾe bɪɾokt̪o koɾbɐ nɐ,t̪umi amake birɔkt̪ɔ kɔro n̪a
তিনি আমাকে অনেক অপমান করেছে,সিলেট তাইন মোরে অনেক অপমান করছইন,ʃɔlhe t̪ɐ͡ɪ̯n moɾe ɔnek ɔpomɐn koɾcʰɪn,t̪in̪i amake on̪ekɔ opman̪ɔ kɔret͡ɕʰe
আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,সিলেট মোর সকালে উঠিয়া বই পরতে অনেক ভালা লাগে,ʃɔlhe moɾ ʃɔkɐle utʰɪʲɐ bo͡ɪ̯ poɾt̪e ɔnek bʱɐlɐ lɐge,amarɔ s̪ɔkal̪e utʰe bi pɔrɔt̪e on̪ekɔ b̤al̪o l̪aɡe
আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,সিলেট মোর ছোট ভাই একদমই পড়ালেখা করতে চাইন না,ʃɔlhe moɾ cʰoto bʱɐ͡ɪ̯ ɛkd̪ɔmɪ pɔɽɐlekʰɐ koɾt̪e cɐ͡ɪ̯n nɐ,amarɔ t͡ɕʰotɔ b̤ai ekɔd̪ɔmi pɔɽal̪ekʰa kɔrɔt̪e t͡ɕae̯ɔ n̪a
আমার ছোট ভাই বিদ্যালয়ে যেতে চায় না,সিলেট মোর ছোট ভাই বিদ্যালয় যাইতে চায় না,ʃɔlhe moɾ cʰoto bʱɐ͡ɪ̯ bɪd̪d̪ɐlɔe̯ ɟɐ͡ɪ̯t̪e cɐe̯ nɐ,amarɔ t͡ɕʰotɔ b̤ai bid̪d͡zal̪e̯e d͡zet̪e t͡ɕae̯ɔ n̪a
আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,সিলেট মোর ছোট ভাইয়র বিদ্যালয়ে গিয়া পড়ালেখা করতে ভালা লাগে নানি,ʃɔlhe moɾ cʰoto bʱɐ͡ɪ̯ʲoɾ bɪd̪d̪ɐlɔʲe gɪʲɐ pɔɽɐlekʰɐ koɾt̪e bʱɐlɐ lɐge nɐnɪ,amarɔ t͡ɕʰotɔ b̤aie̯erɔ bid̪d͡zal̪e̯e ɡie̯e pɔɽal̪ekʰa kɔrɔt̪e b̤al̪ɔ l̪aɡe n̪a
আমি একদিন বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,সিলেট মুই একদিন বিদ্যালয়ের মাঠো মাথা ঘোরাইয়া ফরি গেছিলাম ,ʃɔlhe mu͡ɪ̯ ɛkd̪ɪn bɪd̪d̪ɐlɔʲeɾ mɐtʰo mɐt̪ʰɐ gʱoɾɐ͡ɪ̯ʲɐ pʰoɾɪ gecʰɪlɐm ,ami ekd̪in̪ɔ bid̪d͡zal̪e̯erɔ matʰe mat̪ʰa ̤ɡ̤urie̯e pɔre ɡie̯et͡ɕʰil̪am
আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,সিলেট আফনে কিতা আমারে কোনোদিনও ভালা ফাইতা না,ʃɔlhe ɐcʰone kɪt̪ɐ ɐmɐɾe konod̪ɪno bʱɐlɐ pʰɐ͡ɪ̯t̪ɐ nɐ,apn̪i ki amake kon̪d̪in̪o b̤al̪bas̪ɔben̪ɔ n̪a ?
আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,সিলেট আমার বন্ধু আইজকে সকালে ফুটবল খেলছে,ʃɔlhe ɐmɐɾ bond̪ʱu ɐ͡ɪ̯ɟke ʃɔkɐle pʰutbɔl kʰelcʰe,amarɔ bɔn̪d̪̤u ad͡ʑke s̪ɔkal̪e ɸutɔbɔl̪ɔ kʰel̪et͡ɕʰe
তুমি আমার মনের কথা একদমই বুঝো না ,সিলেট তুমি আমার ভিতরর মাত একদমই বুঝো না,ʃɔlhe t̪umɪ ɐmɐɾ bʱɪt̪ɔɾɔɾ mɐt̪ ɛkd̪ɔmɪ buɟʱo nɐ,t̪umi amarɔ mɔn̪erɔ kɔt̪ʰa ekɔd̪ɔmi bud͡ʑ̤o n̪a 
আমার আম্মু অনেক ভালো রান্না করে,সিলেট আমার মাই অনেক ভালা রান্দা করইন, ʃɔlhe ɐmɐɾ mɐ͡ɪ̯ ɔnek bʱɐlɐ ɾɐnd̪ɐ koɾɪn,amarɔ ammu on̪ekɔ b̤al̪o ran̪n̪a kɔre
আমার বন্ধু এখন ঘুমাতে যাবে,সিলেট আমার বন্ধু এখন হুতনো যাইবো,ʃɔlhe ɐmɐɾ bond̪ʱu ɛkʰon hut̪no ɟɐ͡ɪ̯bo,amarɔ bɔn̪d̪̤u ekʰɔn̪ɔ ̤ɡ̤umat̪e d͡zabe
আমার ছোট বোন নাচতে পারে,সিলেট আমার ছোট বোইন নাচতে ফারে,ʃɔlhe ɐmɐɾ cʰoto boʲɔn nɐct̪e pʰɐɾe,amarɔ t͡ɕʰotɔ bon̪ɔ n̪at͡ɕt̪e pare
আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,সিলেট আমার বন্ধু এবার ছুটিতে রাজশাহী ফাকানিত যাইবো, ʃɔlhe ɐmɐɾ bond̪ʱu ebɐɾ cʰutɪt̪e ɾɐɟʃɐhɪ pʰɐkɐnɪt̪o ɟɐ͡ɪ̯bo,amarɔ bɔn̪d̪̤u eibarɔ t͡ɕʰutit̪e rad͡ʑɕahi ̤ɡ̤urt̪e d͡zabe
আমার বন্ধু যাকে ভালবাসে সে রাজশাহী থাকে,সিলেট আমার বন্ধু যারে ভালা ফায় হে রাজশাহী থাকে,ʃɔlhe ɐmɐɾ bond̪ʱu ɟɐɾe bʱɐlɐ pʰɐe̯ he ɾɐɟʃɐhɪ t̪ʰɐke,amarɔ bɔn̪d̪̤u d͡zake b̤al̪bas̪e s̪e rad͡ʑɕahi t̪ʰake
মেয়েটি রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,সিলেট ফুড়িটা রাজশাহী থাকি আমার বড় ভাইয়র লগে দেখা করাত আইছলা,ʃɔlhe pʰuɽɪtɐ ɾɐɟʃɐhɪ t̪ʰɐkɪ ɐmɐɾ bɔɽo bʱɐ͡ɪ̯ʲoɾ lɔge d̪ɛkʰɐ kɔɾɐt̪ ɐ͡ɪ̯cʰɔlɐ,mee̯eti rad͡ʑɕahi t̪ʰeke amarɔ bɔɽɔ b̤aie̯erɔ s̪at̪ʰe d̪ekʰa kɔrɔt̪e es̪et͡ɕʰil̪
মেয়েটি এখন সিলেট যাবে,সিলেট ফুড়িটা এখইন সিলট যাইবা,ʃɔlho pʰuɽɪtɐ exɪn sɪlɔt zɐ͡ɪ̯bɐ,mee̯eti ekʰɔn̪ɔ s̪il̪etɔ d͡zabe
আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,সিলেট আমার বড় ভাই এখইন হের বন্ধুদের লগে সিগারেট খায় না,ʃɔlhe ɐmɐɾ bɔɽo bʱɐ͡ɪ̯ ekʰɪn heɾ bond̪ʱud̪eɾ lɔge ʃɪgɐɾet kʰɐe̯ nɐ,amarɔ bɔɽɔ b̤ai ekʰɔn̪ɔ t̪ɔ̃rɔ bɔn̪d̪̤ud̪erɔ s̪at̪ʰe s̪iɡaretɔ kʰae̯ɔ n̪a
আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,সিলেট আফনে কিতা আমারে আগে কোনোদিন দেখছিলানি,sɔlhe ɐcʰone kɪt̪ɐ ɐmɐɾe ɐge konod̪ɪn d̪ekʰcʰɪlɐnɪ,apn̪i ki amake aɡe kon̪d̪in̪ɔ d̪ekʰet͡ɕʰen̪ɔ ?
আপনি কি আমাকে চিনতে পেরেছেন?,সিলেট আফনে কিতা আমারে চিনইন নি,sɪhet ɐcʰone kɪt̪ɐ ɐmɐɾe cɪnɪn nɪ,apn̪i ki amake t͡ɕin̪t̪e peret͡ɕʰen̪ɔ?
ছেলেটি আমাকে চিনতে পারল না,সিলেট ফুয়াটায় আমারে চিনতে ফারলো না,ʃɔlhe pʰuʲɐtɐe̯ ɐmɐɾe cɪnt̪e pʰɐɾlo nɐ,t͡ɕʰel̪eti amake t͡ɕin̪t̪e parɔl̪ɔ n̪a
মেয়েটি তোমাকে চিনতে পারল না,সিলেট ফুড়িটায় তোমারে চিনতে ফারলো না,ʃɔlhe pʰuɽɪtɐe̯ t̪omɐɾe cɪnt̪e pʰɐɾlo nɐ,mee̯eti t̪omake t͡ɕin̪t̪e parɔl̪ɔ n̪a
আমার এখন পড়ালেখা করা উচিত,সিলেট আমার এখইন ফড়ালেখা করা উচিৎ,ʃɔlhe ɐmɐɾ exɪn fɔɽɐlexɐ kɔɾɐ ucɪt̪,amarɔ ekʰɔn̪ɔ pɔɽal̪ekʰa kɔra ut͡ɕit̪
অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,সিলেট অনেক রাইত অইছে এখইন আমার ছোট বোইন ঘুমাইতে যাইবো,ʃɔlhe ɔnek ɾɐ͡ɪ̯t̪o e͡ɪ̯cʰe ekʰɪn ɐmɐɾ cʰoto boʲɔn gʱumɐ͡ɪ̯t̪e ɟɐ͡ɪ̯bo,on̪ekɔ rat̪ɔ he̯et͡ɕʰe ekʰɔn̪ɔ amarɔ t͡ɕʰotɔ bon̪ɔ ̤ɡ̤umat̪e d͡zabe
আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,সিলেট আমাকে পরিক্ষার আগে হকল কিছু নিয়া ফড়ালেখা করত অইবো,ʃɔlhe ɐmɐke poɾɪkkʰɐɾ ɐge hokol kɪcʰu nɪʲɐ pʰɔɽɐlekʰɐ koɾt̪o ɔ͡ɪ̯bo,amake pɔrikʂarɔ aɡe s̪ɔbɔ kit͡ɕʰu n̪ie̯e pɔɽal̪ekʰa kɔrɔt̪e hɔbe
আমার ছোট ভাই বিদ্যালয়ে গিয়ে বন্ধুদের সাথে গল্প করে,সিলেট আমার ছোট ভাই বিদ্যালয় গিয়া বন্ধুদের লগে গল্প করইন,ʃɔlhe ɐmɐɾ cʰoto bʱɐ͡ɪ̯ bɪd̪d̪ɐlɔe̯ gɪʲɐ bond̪ʱud̪eɾ lɔge gɔlpo koɾɪn,amarɔ t͡ɕʰotɔ b̤ai bid̪d͡zal̪e̯e ɡie̯e bɔn̪d̪̤ud̪erɔ s̪at̪ʰe ɡɔl̪pɔ kɔre
আমার বন্ধু বিদ্যালয়ের মাঠে প্রতিদিন ক্রিকেট খেলে,সিলেট আমার বন্ধু বিদ্যালয়ের মাঠো ফতিদিন ক্রিকেট খেলইন,ʃɔlhe ɐmɐɾ bond̪ʱu bɪd̪d̪ɐlɔʲeɾ mɐtʰo pʰot̪ɪd̪ɪn kɾɪket kʰelɪn,amarɔ bɔn̪d̪̤u bid̪d͡zal̪e̯erɔ matʰe prɔt̪id̪in̪ɔ kriketɔ kʰel̪e
একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,সিলেট একটা ছোট বাইচ্চা ফুটপাতে লাফাইরা,ʃɔlhe ɛktɐ cʰoto bɐ͡ɪ̯ccɐ pʰutpɐt̪e lɐpʰɐ͡ɪ̯ɾɐ,ekti t͡ɕʰotɔ ɕiɕu ɸutpat̪e l̪aɸat͡ɕt͡ɕʰe
আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,সিলেট আমার বান্ধবী তার স্বামীরে খুব ভালা ফায়,ʃɔlhe ɐmɐɾ bɐnd̪ʱobɪ t̪ɐɾ ʃɐmɪɾe kʰub bʱɐlɐ pʰɐe̯,amarɔ ban̪d̪̤ubi t̪arɔ s̪bamike kʰubɔ b̤al̪bas̪e
আমার স্ত্রী আমাকে ভালোবাসে না,সিলেট আমার স্ত্রী আমারে ভালা ফায় না,ʃɔlho ɐmɐɾ st̪ɾɪ ɐmɐɾe bʱɐlɐ pʰɐe̯ nɐ,amarɔ s̪t̪ri amake b̤al̪obas̪e n̪a
স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের প্রেম ছিলো,সিলেট স্কুল জীবন থাকি আমার ভাইয়র লগে তোমার বোইনর প্রেম আছিল,ʃɔlho skul ɟɪbɔn t̪ʰɐkɪ ɐmɐɾ bʱɐ͡ɪ̯ʲoɾ lɔge t̪omɐɾ boʲɔnoɾ pɾem ɐcʰɪlo,s̪kul̪ɔ d͡ʑibɔn̪ɔ t̪ʰeke amarɔ b̤aie̯erɔ s̪at̪ʰe t̪omarɔ bon̪erɔ premɔ t͡ɕʰil̪o
আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,সিলেট আমার গতকাইল প্রচন্ড মাথা বেদনা করছিলো,ʃɔlhe ɐmɐɾ gɔt̪okɐ͡ɪ̯l pɾocɔnd mɐt̪ʰɐ bed̪onɐ koɾcʰɪlo,amarɔ ɡɔt̪ɔkal̪ɔ prɔt͡ɕɔndɔ mat̪ʰa bd͡zɔt̪ʰa kɔrɔt͡ɕʰil̪o
আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,সিলেট মুই তোমার কোন মাত কিচ্ছুই বুঝতে ফারলাম না,ʃɔlhe mu͡ɪ̯ t̪omɐɾ kon mɐt̪ kɪccʰu͡ɪ̯ buɟʱt̪e pʰɐɾlɐm nɐ,ami t̪omarɔ kon̪ɔ kɔt̪ʰa kit͡ɕʰui bud͡ʑ̤t̪e parl̪amɔ n̪a
তোমার হাশির কাছে আমার সব কিছু হার মেনে যায়,সিলেট তোমার হাশির কাছে আমার হকল কিছু হার মানিয়া যায়,ʃɔlhe t̪omɐɾ hɐʃɪɾ kɐcʰe ɐmɐɾ hokol kɪcʰu hɐɾ mɐnɪʲɐ ɟɐe̯,t̪omarɔ haɕirɔ kat͡ɕʰe amarɔ s̪ɔbɔ kit͡ɕʰu harɔ men̪e d͡zae̯
তোমার চোখ দুটো অনেক সুন্দর,সিলেট তোমার চোউক দুইটা অনেক সুন্দর ,ʃɔlhe t̪omɐɾ co͡u̯k d̪u͡ɪ̯tɐ ɔnek ʃund̪ɔɾ ,t̪omarɔ t͡ɕokʰɔ d̪uto on̪ekɔ s̪un̪d̪ɔrɔ
তোমার সাথে অনেক দিন পর দেখা,সিলেট তোমার লগে অনেক দিন পর দেখা,ʃɔlhe t̪omɐɾ lɔge ɔnek d̪ɪn pɔɾ d̪ɛkʰɐ,t̪omarɔ s̪at̪ʰe on̪ekɔ d̪in̪ɔ pɔrɔ d̪ekʰa
ছেলেটি বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,সিলেট ফুয়াটা বিদোশো গিয়া ফড়ালেখা করার স্বপ্ন দেখে,ʃɔlhe pʰuʲɐtɐ bɪd̪oʃo gɪʲɐ pʰɔɽɐlekʰɐ kɔɾɐɾ ʃɔpno d̪ekʰe,t͡ɕʰel̪eti bid̪eɕe ɡie̯e pɔɽal̪ekʰa kɔrarɔ s̪bɔpn̪ɔ d̪ekʰe
তোমার সাথে কথা বলে আমার অনেক ভালো লাগলো,সিলেট তোমার লগে মাতিয়া আমার অনেক ভালা লাগছে, ʃɔlhe t̪omɐɾ lɔge mɐt̪ɪʲɐ ɐmɐɾ ɔnek bʱɐlɐ lɐgcʰe,t̪omarɔ s̪at̪ʰe kɔt̪ʰa bɔl̪e amarɔ on̪ekɔ b̤al̪o l̪aɡl̪o
তোমার বন্ধুর সাথে পরিচিত হয়ে ভালো লাগলো,সিলেট তোমার বন্ধুর লগে পরিচত হইয়া ভালা লাগলো,ʃɔlhe t̪omɐɾ bond̪ʱuɾ lɔge poɾɪcɔt̪o ho͡ɪ̯ʲɐ bʱɐlɐ lɐglo,t̪omarɔ bɔn̪d̪̤urɔ s̪at̪ʰe pɔrit͡ɕit̪ɔ he̯e b̤al̪o l̪aɡl̪o
আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,সিলেট আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়া মাইর অয়,ʃɔlhe ɐmɐɾ ɐbbu ɐɾ cɐcɐɾ mod̪d̪ʱe ɟɐʲgɐ ɟomɪ nɪʲɐ mɐ͡ɪ̯ɾ ɔe̯,amarɔ abbu arɔ t͡ɕat͡ɕarɔ mɔd̪̤d͡ze d͡ʑae̯ɡa d͡ʑɔmi n̪ie̯e d͡ʑ̤ɔɡɔɽa he̯ɔ
লোকটি কিছু দিন আগে বিয়ে করেন,সিলেট লোকটা কিছুদিন আগে বিয়া করছইন,ʃɔlhe loktɐ kɪcʰud̪ɪn ɐge bɪʲɐ koɾcʰo͡ɪ̯n,l̪okti kit͡ɕʰu d̪in̪ɔ aɡe bie̯e kɔren̪
প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,সিলেট প্রথমে তোমাকে একটা বইয়ের দোখানো যাইতে হইবো,ʃɔlhe pɾot̪ʰome t̪omɐke ɛktɐ bo͡ɪ̯ʲeɾ d̪okʰɐno ɟɐ͡ɪ̯t̪e ho͡ɪ̯bo,prɔt̪ʰɔme t̪omake ekti bie̯erɔ d̪okan̪e d͡zet̪e hɔbe
বেশি কিছু বলার আগেই আবেগে চোখে পানি চলে আসছে,সিলেট বেশি কিছু বলার আগেই আবেগে চোউক এর ফানি চলে আইতেছে,ʃɔlhe beʃɪ kɪcʰu bɔlɐɾ ɐge͡ɪ̯ ɐbege co͡u̯k eɾ pʰɐnɪ cɔle ɐ͡ɪ̯t̪ecʰe,beɕi kit͡ɕʰu bɔl̪arɔ aɡei abeɡe t͡ɕokʰe pan̪i t͡ɕɔl̪e as̪t͡ɕʰe
আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,সিলেট আফনার বন্ধুদের গালি দেওয়ার সুযোগ কইরা দিন,ʃɔlhe ɐpʰnɐɾ bond̪ʱud̪eɾ gɐlɪ d̪e͡o̯ʷɐɾ ʃuɟe͡ɐ̯g ko͡ɪ̯ɾɐ d̪ɪn,apn̪arɔ bɔn̪d̪̤ud̪erɔ ɡal̪i d̪eoe̯arɔ s̪ud͡zoɡɔ kɔre d̪in̪
অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,সিলেট অনেক মানুষ এখোনো পেছনো লাইনো দাঁড়িয়া আছইন,ʃɔlhe ɔnek mɐnuʃ exono pecʰono lɐ͡ɪ̯no d̪ɐ̃ɽɪʲɐ ɐcʰo͡ɪ̯n,on̪ekɔ man̪uʂɔ ekʰn̪o pet͡ɕʰn̪e l̪ain̪e d̪ɔ̃ɽie̯e at͡ɕʰe
একজন মহিলা মারা গেছেন,সিলেট একজন বেডি মারা গেছইন,ʃɔlhe ɛkɟon bedɪ mɐɾɐ gecʰo͡ɪ̯n,ekɔd͡ʑɔn̪ɔ mɔhil̪a mara ɡet͡ɕʰen̪
আপনি এত গরীব আগে কেন বলেননি,সিলেট আফনি এত গরীব আগে কেনে কইলা না,ʃɔlhe ɐcʰonɪ ɛt̪o goɾɪb ɐge kene ko͡ɪ̯lɐ nɐ,apn̪i et̪ɔ ɡɔribɔ aɡe ken̪ɔ bɔl̪en̪n̪i
তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,সিলেট তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নাই,ʃɔlhe t̪umɪ cʰɐɽɐ e͡ɪ̯ pɾɪt̪ʰɪbɪt̪e ɐmɐɾ ɐɾ ke͡u̯ nɐ͡ɪ̯,t̪umi t͡ɕʰaɽa ei pɽit̪ʰibit̪e amarɔ arɔ keu n̪ei
আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,সিলেট মুই আগেই কইছলাম তোমারে নিয়া বিদেশ ফাকাইতে চাই,ʃɔlhe mu͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɔlɐm t̪omɐɾe nɪʲɐ bɪd̪eʃ pʰɐkɐ͡ɪ̯t̪e cɐ͡ɪ̯,ami aɡei bɔl̪et͡ɕʰi t̪omake n̪ie̯e bid̪eɕɔ ̤ɡ̤urt̪e t͡ɕai
আমার আম্মু আমাকে সবার সামনে মারতে মারতে বাসায় নিয়ে আসে,সিলেট আমার আম্মা আমাকে হকলের সামনে মারতে মারতে বাসাত নিয়া আইছে, sɔlɔt ɐmɐɾ ɐmmɐ ɐmɐke hɔkoleɾ ʃɐmne mɐɾt̪e mɐɾt̪e bɐʃɐt̪ nɪʲɐ ɐ͡ɪ̯cʰe,amarɔ ammu amake s̪ɔbarɔ s̪amn̪e mart̪e mart̪e bas̪ae̯ɔ n̪ie̯e as̪e
