bangla_speech_word,bangla_speech_ipa,regional_word,regional_ipa
মেয়েটি,mee̯eti,ছেড়িটা,cʰeɽɪtɐ
সিলেট,s̪il̪etɔ,সিলেট,sɪlet
থেকে,t̪ʰeke,থাইকা,t̪ʰɐ͡ɪ̯kɐ
আসা,as̪a,আসা,ɐʃɐ
এই,ei,অই,ɔ͡ɪ̯
ছেলেটিকে,t͡ɕʰel̪etike,ছেড়াটারে,cʰeɽɐtɐɾe
অনেক,on̪ekɔ,অনেক,ɔnek
ভালবাসে,b̤al̪bas̪e,ভালবাসে,bʱɐlbɐʃe
ছেলেটি,t͡ɕʰel̪eti,ছেড়াটা,cʰeɽɐtɐ
মেয়েটাকে,mee̯etake,ছেড়িটারে,cʰeɽɪtɐɾe
এখনো,ekʰn̪o,এখনো,ɛkʰono
ভালবাসার,b̤al̪bas̪arɔ,ভালবাসার,bʱɐlbɐʃɐɾ
চোখে,t͡ɕokʰe,চোখে,cokʰe
দেখেনি,d̪ekʰen̪i,দেখে,d̪ekʰe
মেয়েটি,mee̯eti,ছেড়িটা,cʰeɽɪtɐ
তাঁর,t̪ɔ̃rɔ,তার,t̪ɐɾ
সব,s̪ɔbɔ,সপ্নের,ʃɔpneɾ
স্বপ্নের,s̪bɔpn̪erɔ,মধ্যে,mod̪d̪ʱe
মধ্যে,mɔd̪̤d͡ze,ছেড়াটারে,cʰeɽɐtɐɾe
ছেলেটাকে,t͡ɕʰel̪etake,কল্পনা,kɔlponɐ
কল্পনা,kɔl̪pɔn̪a,করে,koɾe
আমার,amarɔ,আমার,ɐmɐɾ
অনেক,on̪ekɔ,অনেকদিন,ɔnekd̪ɪn
দিন,d̪in̪ɔ,আগে,ɐge
আগে,aɡe,একবার,ɛkbɐɾ
একবার,ekbarɔ,বিয়া,bɪʲɐ
বিয়ে,bie̯e,হইছিল,ho͡ɪ̯cʰɪlo
আমার,amarɔ,আমার,ɐmɐɾ
মা,ma,মা,mɐ
আমাকে,amake,আমারে,ɐmɐɾe
বলেছিল,bɔl̪et͡ɕʰil̪ɔ,কইসিল,ko͡ɪ̯sɪl
বিয়ে,bie̯e,বিয়া,bɪʲɐ
হলে,hɔl̪e,হইলে,ho͡ɪ̯le
জীবন,d͡ʑibɔn̪ɔ,জীবন,ɟɪbɔn
পরিবর্তন,pɔribɔrt̪ɔn̪ɔ,বদলায়া,bɔd̪lɐʲɐ
হয়ে,he̯e,যায়,ɟɐe̯
আম্মু,ammu,আম্মা,ɐmmɐ
ঐদিন,ojd̪in̪ɔ,অইদিন,ɔ͡ɪ̯d̪ɪn
ঠিক,tʰikɔ,ঠিক,tʰɪk
কথাই,kɔt̪ʰai,কথাই,kɔt̪ʰɐ͡ɪ̯
বলেছিলও,bɔl̪et͡ɕʰil̪o,কইসিল,ko͡ɪ̯sɪl
আম্মু,ammu,আম্মা,ɐmmɐ
সব,s̪ɔbɔ,সব,ʃɔb
সময়,s̪ɔme̯ɔ,সময়,ʃɔmɔe̯
আমার,amarɔ,আমার,ɐmɐɾ
মনের,mɔn̪erɔ,মনের,moneɾ
কথা,kɔt̪ʰa,কথা,kɔt̪ʰɐ
বুঝে,bud͡ʑ̤e,বুঝে,buɟʱe
আমার,amarɔ,আমার,ɐmɐɾ
বাসার,bas̪arɔ,ঘরের,gʱɔɾeɾ
কাজের,kad͡ʑerɔ,কামের,kɐmeɾ
মেয়েটি,mee̯eti,ছেড়িটা,cʰeɽɪtɐ
এখন,ekʰɔn̪ɔ,এখন,ɛkʰon
ভাল,b̤al̪ɔ,ভাল,bʱɐlo
মত,mɔt̪ɔ,মত,mɔt̪
কাজ,kad͡ʑɔ,কাম,kɐm
করে,kɔre,করে,koɾe
নাহ,n̪ahɔ,নাহ,nɐh
আমার,amarɔ,আমার,ɐmɐɾ
বাসার,bas̪arɔ,ঘরের,gʱɔɾeɾ
কাজের,kad͡ʑerɔ,কামের,kɐmeɾ
মেয়েটি,mee̯eti,ছেড়িটা,cʰeɽɪtɐ
দুইদিন,d̪uid̪in̪ɔ,দুইদিন,d̪u͡ɪ̯d̪ɪn
ধরে,d̪̤ɔre,ধইরা,d̪ʱo͡ɪ̯ɾɐ
পলাতক,pɔl̪at̪ɔkɔ,পালাইছে,pɐlɐ͡ɪ̯cʰe
আমার,amarɔ,আমার,ɐmɐɾ
বাসার,bas̪arɔ,বাড়ির,bɐɽɪɾ
দারওয়ান,d̪aroe̯an̪ɔ,দারওয়ান,d̪ɐɾoʷɐn
এখন,ekʰɔn̪ɔ,এহন,ehon
তাঁর,t̪ɔ̃rɔ,অর,ɔɾ
গ্রামে,ɡɔrame,গ্রামে,gɾɐme
ঘুরতে,̤ɡ̤urt̪e,ঘুরতে,gʱuɾt̪e
গিয়েছে,ɡie̯et͡ɕʰe,গেছে,gecʰe
তোমাকে,t̪omake,তোমারে,t̪omɐɾe
আমি,ami,আমি,ɐmɪ
কল,kɔl̪ɔ,কল,kɔl
দিবো,d̪ibo,দিতাম,d̪ɪt̪ɐm
না,n̪a,না,nɐ
এই,ei,এই,e͡ɪ̯
জিনিষটা,d͡ʑin̪iʂta,জিনিসটা,ɟɪnɪʃtɐ
খুবই,kʰubi,অনেক,ɔnek
বিরক্তিকর,birɔkt̪ikɔrɔ,বিরক্তিকর,bɪɾokt̪ɪkɔɾ
ছিল,t͡ɕʰil̪,আছিল,ɐcʰɪlo
সে,s̪e,সে,ʃe
সিলেট,s̪il̪etɔ,সিলেট,sɪlet
থেকে,t̪ʰeke,থাইকা,t̪ʰɐ͡ɪ̯kɐ
আমার,amarɔ,আমার,ɐmɐɾ
সাথে,s̪at̪ʰe,সাথে,ʃɐt̪ʰe
দেখা,d̪ekʰa,দেখা,d̪ɛkʰɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
এসেছিল,es̪et͡ɕʰil̪,আইসিল,ɐ͡ɪ̯sɪl
সে,s̪e,সে,ʃe
এখন,ekʰɔn̪ɔ,এহন,ehon
রাজশাহী,rad͡ʑɕahi,রাজশাহী,ɾɐɟʃɐhɪ
চলে,t͡ɕɔl̪e,চইলা,cɔ͡ɪ̯lɐ
গেছে,ɡet͡ɕʰe,গেসে,gese
সে,s̪e,সে,ʃe
এখন,ekʰɔn̪ɔ,এহন,ehon
তাঁর,t̪ɔ̃rɔ,তার,t̪ɐɾ
বন্ধুদের,bɔn̪d̪̤ud̪erɔ,বন্ধুরার,bond̪ʱuɾɐɾ
সাথে,s̪at̪ʰe,সাথে,ʃɐt̪ʰe
সিগারেট,s̪iɡaretɔ,সিগারেট,ʃɪgɐɾet
খায়,kʰae̯,খায়,kʰɐe̯
সে,s̪e,সে,ʃe
একদমই,ekɔd̪ɔmi,এক্কেরেই,ɛkkeɾe͡ɪ̯
হাসে,has̪e,হাসেনা,hɐʃenɐ
সে,s̪e,সে,ʃe
আমাকে,amake,আমারে,ɐmɐɾe
অপমান,opman̪ɔ,অপমান,ɔpomɐn
করে,kɔre,করে,koɾe
তাঁর,t̪ɔ̃rɔ,তার,t̪ɐɾ
বই,bi,বই,bo͡ɪ̯
পরতে,pɔrɔt̪e,পড়তে,poɽt̪e
একদমই,ekɔd̪ɔmi,এক্কেরেই,ɛkkeɾe͡ɪ̯
ভাল,b̤al̪ɔ,ভালালাগেনা,bʱɐlɐlɐgenɐ
আপনার,apn̪arɔ,আফনের,ɐpʰoneɾ
কি,ki,কি,kɪ
বই,bi,বই,bo͡ɪ̯
পড়ার,pɔɽarɔ,পড়ার,pɔɽɐɾ
অভ্যাস,ob̤d͡zas̪ɔ,অভ্যাস,ɔbbʱɐʃ
আছে,at͡ɕʰe,আসে?,ɐʃe?
তুমি,t̪umi,তুমি,t̪umɪ
কি,ki,কি,kɪ
আমাকে,amake,আমারে,ɐmɐɾe
চিনো,t͡ɕin̪o,চিনো?,cɪno?
আমি,ami,আমি,ɐmɪ
তোমাকে,t̪omake,তোমারে,t̪omɐɾe
চিনতে,t͡ɕin̪t̪e,চিনতে,cɪnt̪e
পারলাম,parl̪amɔ,পারলাম,pɐɾlɐm
না,n̪a,না,nɐ
আমি,ami,আমি,ɐmɪ
তোমাকে,t̪omake,তোমারে,t̪omɐɾe
আগে,aɡe,আগে,ɐge
কখনো,kɔkʰɔn̪o,কখনো,kɔkʰono
দেখি,d̪ekʰi,দেখি,d̪ekʰɪ
নাই,n̪ai,নাই,nɐ͡ɪ̯
আমাকে,amake,আমার,ɐmɐɾ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
একদমই,ekɔd̪ɔmi,এক্কেরেই,ɛkkeɾe͡ɪ̯
ভাল,b̤al̪ɔ,ভালালাগেনা,bʱɐlɐlɐgenɐ
আপনার,apn̪arɔ,আপনের,ɐponeɾ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করা,kɔra,করা,kɔɾɐ
উচিত,ut͡ɕit̪,দরকার,d̪ɔɾkɐɾ
আপনাকে,apn̪ake,আপনের,ɐponeɾ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
হবে,hɔbe,হইব,ho͡ɪ̯bo
আপনার,apn̪arɔ,আপনের,ɐponeɾ
কি,ki,কি,kɪ
কি,ki,পড়ালেহা,pɔɽɐlehɐ
পড়ালেখা,pɔɽal̪ekʰa,করতে,koɾt̪e
করতে,kɔrɔt̪e,এক্কেরেই,ɛkkeɾe͡ɪ̯
একদমই,ekɔd̪ɔmi,ভালালাগে,bʱɐlɐlɐge
ভাল,b̤al̪ɔ,নাহ?,nɐh?
তোর,t̪orɔ,তর,t̪ɔɾ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
কোরতে,kort̪e,করতে,koɾt̪e
হবে,hɔbe,হইব,ho͡ɪ̯bo
তুই,t̪ui,তুই,t̪u͡ɪ̯
কি,ki,কি,kɪ
আর,arɔ,আর,ɐɾ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করবি,kɔrɔbi,করতি,koɾt̪ɪ
নাহ,n̪ahɔ,নাহ?,nɐh?
তুই,t̪ui,তুই,t̪u͡ɪ̯
কি,ki,কি,kɪ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
ছেড়ে,t͡ɕʰeɽe,ছাইরা,cʰɐ͡ɪ̯ɾɐ
দিতে,d̪it̪e,দিতে,d̪ɪt̪e
চাস,t͡ɕas̪ɔ,চাস?,cɐʃ?
তোর,t̪orɔ,তর,t̪ɔɾ
কি,ki,কি,kɪ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
একদমই,ekɔd̪ɔmi,এক্কেরেই,ɛkkeɾe͡ɪ̯
ভাল,b̤al̪ɔ,ভালালাগে,bʱɐlɐlɐge
লাগে,l̪aɡe,নাহ?,nɐh?
তুমি,t̪umi,তুমি,t̪umɪ
কি,ki,কি,kɪ
এখন,ekʰɔn̪ɔ,এহন,ehon
খেতে,kʰet̪e,খাইতে,kʰɐ͡ɪ̯t̪e
বসবা,bɔs̪ɔba,বইবা,bo͡ɪ̯bɐ
আজকে,ad͡ʑke,আইজকা,ɐ͡ɪ̯ɟkɐ
আমার,amarɔ,আমার,ɐmɐɾ
খেতে,kʰet̪e,খাইতে,kʰɐ͡ɪ̯t̪e
ভালো,b̤al̪o,ভালা,bʱɐlɐ
লাগছে,l̪aɡt͡ɕʰe,লাগতাসেনা,lɐgt̪ɐʃenɐ
আমার,amarɔ,আমার,ɐmɐɾ
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
অনেক,on̪ekɔ,অনেক,ɔnek
বন্ধু,bɔn̪d̪̤u,বন্ধু,bond̪ʱu
আছে,at͡ɕʰe,আসে,ɐʃe
আমার,amarɔ,আমার,ɐmɐɾ
ছোট,t͡ɕʰotɔ,ছোট,cʰoto
বোন,bon̪ɔ,বইন,bo͡ɪ̯n
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
যেতে,d͡zet̪e,যাইতে,ɟɐ͡ɪ̯t̪e
চায়,t͡ɕae̯ɔ,চায়,cɐe̯
না,n̪a,না,nɐ
আমার,amarɔ,আমার,ɐmɐɾ
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
যেতে,d͡zet̪e,যাইতে,ɟɐ͡ɪ̯t̪e
অনেক,on̪ekɔ,অনেক,ɔnek
ভাল,b̤al̪ɔ,ভালা,bʱɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
সে,s̪e,হেয়,hee̯
তার,t̪arɔ,তার,t̪ɐɾ
গ্রামের,ɡɔramerɔ,গেরামের,geɾɐmeɾ
একটি,ekti,একটা,ɛktɐ
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করে,kɔre,করে,koɾe
সে,s̪e,হেয়,hee̯
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
যেতে,d͡zet̪e,যাইতে,ɟɐ͡ɪ̯t̪e
চায়,t͡ɕae̯ɔ,চায়,cɐe̯
না,n̪a,না,nɐ
তার,t̪arɔ,হের,heɾ
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
গিয়ে,ɡie̯e,যায়া,ɟɐʲɐ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করতে,kɔrɔt̪e,করতে,koɾt̪e
ভাল,b̤al̪ɔ,ভালা,bʱɐlɐ
লাগে,l̪aɡe,লাগে,lɐge
না,n̪a,না,nɐ
সে,s̪e,হেয়,hee̯
বিদ্যালয়ে,bid̪d͡zal̪e̯e,ইস্কুলে,ɪskule
গিয়ে,ɡie̯e,যায়া,ɟɐʲɐ
বন্ধুদের,bɔn̪d̪̤ud̪erɔ,বন্ধুরার,bond̪ʱuɾɐɾ
সাথে,s̪at̪ʰe,সাথে,ʃɐt̪ʰe
গল্প,ɡɔl̪pɔ,গল্প,gɔlpo
করে,kɔre,করে,koɾe
সে,s̪e,হেয়,hee̯
বিদ্যালয়ের,bid̪d͡zal̪e̯erɔ,ইস্কুলের,ɪskuleɾ
মাঠে,matʰe,মাঠে,mɐtʰe
প্রতিদিন,prɔt̪id̪in̪ɔ,প্রত্যেকদিন,pɾot̪t̪ekd̪ɪn
ক্রিকেট,kriketɔ,ক্রিকেট,kɾɪket
খেলে,kʰel̪e,খেলে,xele
সে,s̪e,হেয়,hee̯
বিদ্যালয়ের,bid̪d͡zal̪e̯erɔ,ইস্কুলের,ɪskuleɾ
মাঠে,matʰe,মাঠে,mɐtʰe
মাথা,mat̪ʰa,মাথা,mɐt̪ʰɐ
ঘুরিয়ে,̤ɡ̤urie̯e,ঘুরায়া,gʱuɾɐʲɐ
পরে,pɔre,পইড়া,po͡ɪ̯ɽɐ
গিয়েছিল,ɡie̯et͡ɕʰil̪,গেসিল,gesɪlo
সে,s̪e,হেয়,hee̯
অনেক,on̪ekɔ,অনেকদিন,ɔnekd̪ɪn
দিন,d̪in̪ɔ,আগে,ɐge
আগে,aɡe,হের,heɾ
তার,t̪arɔ,ইস্কুলের,ɪskuleɾ
বিদ্যালয়ের,bid̪d͡zal̪e̯erɔ,একটা,ɛktɐ
একটি,ekti,ছেড়িরে,cʰeɽɪɾe
মেয়েকে,mee̯eke,ভালবাসতো,bʱɐlbɐʃt̪o
ছেলেটি,t͡ɕʰel̪eti,ছেড়াটা,cʰeɽɐtɐ
তাঁর,t̪ɔ̃rɔ,হের,heɾ
গ্রামের,ɡɔramerɔ,গ্রামের,gɾɐmeɾ
ছোটো,t͡ɕʰoto,ছোট,cʰoto
একটি,ekti,একটা,ɛktɐ
বিদ্যালয়,bid̪d͡zal̪e̯ɔ,ইস্কুল,ɪskul
থেকে,t̪ʰeke,থাইক্কা,t̪ʰɐ͡ɪ̯kkɐ
পড়ালেখা,pɔɽal̪ekʰa,পড়ালেহা,pɔɽɐlehɐ
করে,kɔre,কইরা,ko͡ɪ̯ɾɐ
এসএসসি,es̪es̪s̪i,এসএসসি,eʃo͡e̯ssɪ
পাশ,paɕɔ,পাশ,pɐʃ
করেছে,kɔret͡ɕʰe,করসে,koɾ
তোমাদের,t̪omad̪erɔ,তোমরার,t̪omɾɐɾ
বাসা,bas̪a,বাসা,bɐʃɐ
কোথায়?,kot̪ʰae̯ɔ?,কই?,ko͡ɪ̯?
ঢাকা,d̤aka,ঢাকা,dʱɐkɐ
বাংলাদেশের,baŋl̪ad̪eɕerɔ,বাংলাদেশের,bɐŋlɐd̪eʃeɾ
রাজধানী,rad͡ʑd̪̤an̪i,রাজধানী।,ɾɐɟd̪ʱɐnɪ।
তুমি,t̪umi,তুমি,t̪umɪ
কি,ki,কিতা,kɪt̪ɐ
আমার,amarɔ,আমার,ɐmɐɾ
সাথে,s̪at̪ʰe,সাথে,ʃɐt̪ʰe
প্রেম,premɔ,প্রেম,pɾem
করবা?,kɔrɔba?,করবা?,koɾbɐ?
আমি,ami,আমি,ɐmɪ
আজকে,ad͡ʑke,আজকে,ɐzke
সকালে,s̪ɔkal̪e,সকালে,ʃɔkɐle
ফুটবল,ɸutɔbɔl̪ɔ,ফুটবল,futbɔl
খেলেছি,kʰel̪et͡ɕʰi,খেলছি,xelcʰɪ
আমি,ami,আমি,ɐmɪ
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
মনের,mɔn̪erɔ,মনের,moneɾ
কথা,kɔt̪ʰa,কথা,kɔt̪ʰɐ
বুঝি,bud͡ʑ̤i,বুঝি,buɟʱɪ
না,n̪a,না।,nɐ।
তোমার,t̪omarɔ,তোমার,t̪omɐɾ
জন্য,d͡ʑɔn̪d͡zɔ,লাইজ্ঞা,lɐ͡ɪ̯ggɐ
আমার,amarɔ,আমার,ɐmɐɾ
খুব,kʰubɔ,মেলা,mɛlɐ
কষ্ট,kɔʂtɔ,কষ্ট,koʃto
হয়,he̯ɔ,হয়,hɔe̯
আমাদের,amad̪erɔ,আমরার,mɛlɐ
স্বপ্ন,s̪bɔpn̪ɔ,স্বপ্ন,bɔɽo
অল্পবয়সী,ol̪pɔbe̯ɔs̪i,কম,kɔm
একটি,ekti,বয়স্ক,bɔʲoʃko
ছেলে,t͡ɕʰel̪e,একটা,ɛktɐ
বাইরে,baire,ছেড়া,cʰeɽɐ
ফুটপাতে,ɸutpat̪e,বাইরে,bɐ͡ɪ̯ɾe
দৌড়াচ্ছে,d̪owɽat͡ɕt͡ɕʰe,ফুটপাতে,pʰutpɐt̪e
একটি,ekti,একটা,ɛktɐ
ছোট,t͡ɕʰotɔ,ছুটো,cʰuto
শিশু,ɕiɕu,আবু,ɐbu
বিছানায়,bit͡ɕʰan̪ae̯ɔ,বিছানাত,bɪcʰɐnɐt̪
লাফিয়ে,l̪aɸie̯e,লাফাইয়া,lɐpʰɐ͡ɪ̯ʲɐ
উঠছে,utʰt͡ɕʰe,উঠছে,utʰcʰe
একটি,ekti,একটা,ɛktɐ
ছেলে,t͡ɕʰel̪e,ছেড়া,cʰeɽɐ
বিছানায়,bit͡ɕʰan̪ae̯ɔ,বিছানাত,bɪcʰɐnɐt̪
লাফাচ্ছে,l̪aɸat͡ɕt͡ɕʰe,লাফাইতাসে,lɐpʰɐ͡ɪ̯t̪ɐʃe
একটি,ekti,একটা,ɛktɐ
ছেলে,t͡ɕʰel̪e,ছেড়া,cʰeɽɐ
এক,ekɔ,এক,ɛk
বিছানা,bit͡ɕʰan̪a,বিছানাততন,bɪcʰɐnɐt̪ɔt̪on
থেকে,t̪ʰeke,আরেকটা,ɐɾektɐ
অন্য,on̪d͡zɔ,বিছানাত,bɪcʰɐnɐt̪o
বিছানায়,bit͡ɕʰan̪ae̯ɔ,লাফ,lɐpʰ
লাফ,l̪aɸɔ,দিতাসে,d̪ɪt̪ɐʃe
একটি,ekti,একটা,ɛktɐ
ছোট,t͡ɕʰotɔ,ছুটো,cʰuto
শিশু,ɕiɕu,আবু,ɐbu
ফুটপাতে,ɸutpat̪e,ফুটপাতে,pʰutpɐt̪e
হাঁটছে,hɔ̃tɔt͡ɕʰe,হাটতাসে,hɐtt̪ɐʃe
আমি,ami,আমি,ɐmɪ
একজন,ekɔd͡ʑɔn̪ɔ,একটা,ɛktɐ
ছেলে,t͡ɕʰel̪e,ছেড়া,cʰeɽɐ
আমি,ami,আমি,ɐmɪ
একজন,ekɔd͡ʑɔn̪ɔ,একটা,ɛktɐ
মেয়ে,mee̯e,ছেড়ি,cʰeɽɪ
আমার,amarɔ,আমার,ɐmɐɾ
স্বামী,s̪bami,জামাই,ɟɐmɐ͡ɪ̯
আমাকে,amake,আমারে,ɐmɐɾe
খুব,kʰubɔ,মেলা,mɛlɐ
ভালোবাসে,b̤al̪obas̪e,ভালবাসে,bʱɐlbɐʃe
স্কুল,s̪kul̪ɔ,ইস্কুল,ɪskul
জীবন,d͡ʑibɔn̪ɔ,জীবনতে,ɟɪbont̪e
থেকে,t̪ʰeke,তারার,t̪ɐɾɐɾ
তাদের,t̪ad̪erɔ,প্রেম,pɾem
প্রেম,premɔ,আসিল,ɐʃɪl
আমি,ami,আমি,ɐmɪ
বিবাহ,bibahɔ,বিয়া,bɪʲɐ
করেছি,kɔret͡ɕʰi,করসি,koɾʃɪ
দশ,d̪ɔɕɔ,দশ,d̪ɔʃ
বছর,bɔt͡ɕʰɔrɔ,বছর,bɔcʰoɾ
হয়,he̯ɔ,হইসে,ho͡ɪ̯ʃe
অসম্ভব,os̪ɔmb̤ɔbɔ,অসম্ভব,ɔʃɔmvɔb
ভাল,b̤al̪ɔ,ভালা,vɐlɐ
ছবি,t͡ɕʰɔbi,ছবি,cʰobɪ
বহুদিন,bɔhud̪in̪ɔ,মেলাদিন,pɔɾe
পরে,pɔre,পরে,ɛktɐ
একটা,ekta,একটা,bʱɐlɐ
ভাল,b̤al̪ɔ,ভালা,cʰobɪ
ছবি,t͡ɕʰɔbi,ছবি,d̪ekʰlɐm
অসম্ভব,os̪ɔmb̤ɔbɔ,অসম্ভব,ɔʃɔmvɔb
ভালো,b̤al̪o,ভালা,vɐlɐ
লিখেছেন,l̪ikʰet͡ɕʰen̪,লিখসেন,lɪxʃen
বহুদিন,bɔhud̪in̪ɔ,মেলাদিন,bɐd̪e
পরে,pɔre,বাদে,ɛktɐ
একটা,ekta,একটা,bʱɐlɐ
ভালো,b̤al̪o,ভালা,lehɐ
লেখা,l̪ekʰa,লেহা,pɔɽlɐm
প্রচণ্ড,prɔt͡ɕɔndɔ,বহুত,bohut̪
মাথা,mat̪ʰa,মাথা,mɐt̪ʰɐ
ব্যথা,bd͡zɔt̪ʰa,ব্যথা,bɛt̪ʰɐ
করছিলো,kɔrɔt͡ɕʰil̪o,করতাসিলো,koɾt̪ɐʃɪlo
কিছুই,kit͡ɕʰui,কিনুতাই,kɪnut̪ɐ͡ɪ̯
বুঝতে,bud͡ʑ̤t̪e,বুঝতে,buɟʱt̪e
পারলাম,parl̪amɔ,পারলাম,pɐɾlɐm
না,n̪a,না,nɐ
তিনি,t̪in̪i,হেয়,hee̯
এটা,eta,এইডা,e͡ɪ̯dɐ
দেখে,d̪ekʰe,দেইক্ষা,d̪e͡ɪ̯kkʰɐ
জ্ঞান,d͡ʑnan̪ɔ,জ্ঞান,gɛn
হারিয়ে,harie̯e,হারায়া,hɐɾɐʲɐ
ফেললেন,ɸel̪l̪en̪,ফালাইসে,pʰɐlɐ͡ɪ̯ʃe
এক,ekɔ,এক,ɛk
কথায়,kɔt̪ʰae̯ɔ,কথায়,kɔt̪ʰɐe̯
অনেক,on̪ekɔ,মেলা,mɛlɐ
সুন্দর,s̪un̪d̪ɔrɔ,সুন্দর,ʃund̪ɔɾ
লাগছে,l̪aɡt͡ɕʰe,লাগতাসে,lɐgt̪ɐʃe
আপনাকে,apn̪ake,আফনেরে,ɐpʰoneɾe
আপনার,apn̪arɔ,আফনের,ɐpʰoneɾ
ছবির,t͡ɕʰɔbirɔ,ছবিরতন,cʰobɪɾɔt̪on
চেয়ে,t͡ɕee̯e,আফনে,ɐcʰone
আপনি,apn̪i,বাস্তবে,bɐst̪obe
বাস্তবে,bas̪t̪ɔbe,বেশি,beʃɪ
বেশি,beɕi,সুন্দর,ʃund̪ɔɾ
আপনার,apn̪arɔ,আফনের,ɐpʰoneɾ
হাশির,haɕirɔ,হাসির,hɐʃɪɾ
কাছে,kat͡ɕʰe,কাসে,kɐʃe
সব,s̪ɔbɔ,বেক,bek
কিছু,kit͡ɕʰu,কিসু,kɪʃu
হার,harɔ,হার,hɐɾ
মেনে,men̪e,মানে,mɐne
আপনার,apn̪arɔ,আফনের,ɐpʰoneɾ
চোখ,t͡ɕokʰɔ,চোখ,cokʰ
অনেক,on̪ekɔ,মেলা,mɛlɐ
সুন্দর,s̪un̪d̪ɔrɔ,সুন্দর,ʃund̪ɔɾ
আপনার,apn̪arɔ,আফনের,ɐpʰoneɾ
সাথে,s̪at̪ʰe,লগে,lɔge
পরিচিত,pɔrit͡ɕit̪ɔ,পরিচিত,poɾɪcɪt̪o
হয়ে,he̯e,হয়া,hɔʲɐ
