regional_text,bangla_speech,region_name,combined,ipa_output
মুই বিদ্যাশ যাইয়া বেমালা ঘোরতে চাই,আমি বিদেশে গিয়ে অনেক ঘুরতে চাই,Barishal ,Barishal  মুই বিদ্যাশ যাইয়া বেমালা ঘোরতে চাই,bɐɾɔhɐl  mu͡ɪ̯ bɪd̪d̪ɐʃ ɟɐ͡ɪ̯ʲɐ bemɐlɐ gʱoɾt̪e cɐ͡ɪ̯
তুমি মোরে বিরক্ত কইররো না,তুমি আমাকে বিরক্ত করো না,Barishal ,Barishal  তুমি মোরে বিরক্ত কইররো না,bɐɾɔhɐl  t̪umɪ moɾe bɪɾokt̪o ko͡ɪ̯ɾoɾo nɐ
হ্যায় মোরে ম্যালা অপমান করছে,তিনি আমাকে অনেক অপমান করেছে,Barishal ,Barishal  হ্যায় মোরে ম্যালা অপমান করছে,bɐɾɪʃɐl  hɛe̯ moɾe mɛlɐ ɔpomɐn koɾcʰe
মোর বেইন্নাহালে উইঠ্যা বই পড়তে বেমালা ভালো লাগে,আমার সকালে উঠে বই পরতে অনেক ভালো লাগে,Barishal ,Barishal  মোর বেইন্নাহালে উইঠ্যা বই পড়তে বেমালা ভালো লাগে,bɐɪʃɐl  moɾ be͡ɪ̯nnɐhɐle u͡ɪ̯tʰɐ bo͡ɪ̯ poɽt̪e bemɐlɐ bʱɐlo lɐge
মোর ছোডো ভাই এক্কালেই পড়াল্যাহা করতে চায় না,আমার ছোট ভাই একদমই পড়ালেখা করতে চায় না,Barishal ,Barishal  মোর ছোডো ভাই এক্কালেই পড়াল্যাহা করতে চায় না,bɐɾɔhɐl  moɾ cʰodo bʱɐ͡ɪ̯ ɛkkɐle͡ɪ̯ pɔɽɐlɛhɐ koɾt̪e cɐe̯ nɐ
মোর ছোডো ভাই ইস্কুলে যাইতে চায় না,আমার ছোট ভাই  বিদ্যালয়ে  যেতে চায় না,Barishal ,Barishal  মোর ছোডো ভাই ইস্কুলে যাইতে চায় না,bɐɾɔhɐl  moɾ cʰodo bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯t̪e cɐe̯ nɐ
মোর ছোডো ভাইয়ের ইস্কুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,আমার ছোট ভাইয়ের বিদ্যালয়ে গিয়ে পড়ালেখা করতে ভাল লাগে না,Barishal ,Barishal  মোর ছোডো ভাইয়ের ইস্কুলে যাইয়া পড়াল্যাহা করতে ভালো লাগে না,bɐɾɔhɐl  moɾ cʰodo bʱɐ͡ɪ̯ʲeɾ ɪskule ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e bʱɐlo lɐge nɐ
মুই একদিন ইস্কুলের মাডে মাথা ঘুরাইয়া পইররা গ্যাল্লাম,আমি একদিন  বিদ্যালয়ের মাঠে মাথা ঘুরিয়ে পরে গিয়েছিলাম,Barishal ,Barishal  মুই একদিন ইস্কুলের মাডে মাথা ঘুরাইয়া পইররা গ্যাল্লাম,bɐɾɔhɐl  mu͡ɪ̯ ɛkd̪ɪn ɪskuleɾ mɐde mɐt̪ʰɐ gʱuɾɐ͡ɪ̯ʲɐ po͡ɪ̯ɾɾɐ gɛllɐm
আমনে কি মোরে কোনকালেও ভালবাসবেন না?,আপনি কি আমাকে কোনদিনও ভালবাসবেন না ?,Barishal ,Barishal  আমনে কি মোরে কোনকালেও ভালবাসবেন না?,bɐɾɔhɐl  ɐmone kɪ moɾe konkɐle͡o̯ bʱɐlbɐʃben nɐ?
মোর দোস্ত আইজগো বেইন্নাহালে ফুটবল খ্যালছে,আমার বন্ধু আজকে সকালে ফুটবল খেলেছে,Barishal ,Barishal  মোর দোস্ত আইজগো বেইন্নাহালে ফুটবল খ্যালছে,bɐɾɔhɐl  moɾ d̪ost̪o ɐ͡ɪ̯ɟgo be͡ɪ̯nnɐhɐle pʰutbɔl kʰɛlcʰe
তুমি মোর মনের কথ এক্কালেই বোঝো না,তুমি আমার মনের কথা একদমই বুঝো না ,Barishal ,Barishal  তুমি মোর মনের কথ এক্কালেই বোঝো না,bɐɾɔhɐl  t̪umɪ moɾ moneɾ kɔt̪ʰ ɛkkɐle͡ɪ̯ boɟʱo nɐ
মোর মায় বেমালা ভালো রান্দে,আমার আম্মু অনেক ভালো রান্না করে,Barishal ,Barishal  মোর মায় বেমালা ভালো রান্দে,bɐɾɔhɐl  moɾ mɐe̯ bemɐlɐ bʱɐlo ɾɐnd̪e
মোর দোস্ত এহন ঘুনাইতে যাইবে,আমার বন্ধু এখন ঘুমাতে যাবে,Barishal ,Barishal  মোর দোস্ত এহন ঘুনাইতে যাইবে,bɐɾɔhɐl  moɾ d̪ost̪o ehon gʱunɐ͡ɪ̯t̪e ɟɐ͡ɪ̯be
মোর ছোডো বুইন নাচতে পারে,আমার ছোট বোন নাচতে পারে,Barishal ,Barishal  মোর ছোডো বুইন নাচতে পারে,bɐɾɔhɐl  moɾ cʰodo bu͡ɪ̯n nɐct̪e pɐɾe
মোর দোস্ত এইফির ছুটিতে রাজশাহী ঘোরতে যাইবে,আমার বন্ধু এইবার ছুটিতে রাজশাহী ঘুরতে যাবে,Barishal ,Barishal  মোর দোস্ত এইফির ছুটিতে রাজশাহী ঘোরতে যাইবে,bɐɾɔhɐl  moɾ d̪ost̪o e͡ɪ̯pʰɪɾ cʰutɪt̪e ɾɐɟʃɐhɪ gʱoɾt̪e ɟɐ͡ɪ̯be
মোর দোস্ত যারে ভালোবাসে হ্যায় রাজশাহী থাহে,আমার বন্ধু  যাকে ভালবাসে  সে রাজশাহী থাকে,Barishal ,Barishal  মোর দোস্ত যারে ভালোবাসে হ্যায় রাজশাহী থাহে,bɐɾɔhɐl  moɾ d̪ost̪o ɟɐɾe bʱɐlobɐʃe hɛe̯ ɾɐɟʃɐhɪ t̪ʰɐhe
মাইয়াডা রাজশাহী গোনে মোর বড় ভাইর লগে দ্যাহা করতে আইল্লে,মেয়েটি  রাজশাহী থেকে আমার বড় ভাইয়ের সাথে দেখা করতে এসেছিল,Barishal ,Barishal  মাইয়াডা রাজশাহী গোনে মোর বড় ভাইর লগে দ্যাহা করতে আইল্লে,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ ɾɐɟʃɐhɪ gone moɾ bɔɽo bʱɐ͡ɪ̯ɾ lɔge d̪ɛhɐ koɾt̪e ɐ͡ɪ̯lle
মাইয়াডা এহন সিলেট যাইবে,মেয়েটি এখন সিলেট যাবে,Barishal ,Barishal  মাইয়াডা এহন সিলেট যাইবে,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ ehon sɪlet ɟɐ͡ɪ̯be
মোর বড় ভাই এহন হ্যার দোস্তগো লগে বিরি খায় না,আমার বড় ভাই এখন তাঁর বন্ধুদের সাথে সিগারেট খায় না,Barishal ,Barishal  মোর বড় ভাই এহন হ্যার দোস্তগো লগে বিরি খায় না,bɐɪʃɐl  moɾ bɔɽo bʱɐ͡ɪ̯ ehon hɛɾ d̪ost̪ogo lɔge bɪɾɪ kʰɐe̯ nɐ
আমনে কি মোরে আগে কোনদিন দ্যাখছেন?,আপনি কি আমাকে আগে কোনদিন দেখেছেন ?,Barishal ,Barishal  আমনে কি মোরে আগে কোনদিন দ্যাখছেন?,bɐɾohɐl  ɐmone kɪ moɾe ɐge kond̪ɪn d̪ɛkʰcʰen?
আমনে কি মোরে চেনতা পারছেন?,আপনি কি আমাকে চিনতে পেরেছেন?,Barishal ,Barishal  আমনে কি মোরে চেনতা পারছেন?,bɐɾcʰen?
পোলাডায় মোরে চেনতে পারল না,ছেলেটি আমাকে চিনতে পারল না,Barishal ,Barishal  পোলাডায় মোরে চেনতে পারল না,bɐɾɔhɐl  polɐdɐe̯ moɾe cent̪e pɐɾol nɐ
মাইয়াডা তোমারে চেনতে পারল না,মেয়েটি তোমাকে  চিনতে পারল না,Barishal ,Barishal  মাইয়াডা তোমারে চেনতে পারল না,bɐɾɔhɐl  mɐ͡ɪ̯ʲɐdɐ t̪omɐɾe cent̪e pɐɾol nɐ
মোর এহন পড়াল্যাহা করা উচিত,আমার এখন পড়ালেখা করা উচিত,Barishal ,Barishal  মোর এহন পড়াল্যাহা করা উচিত,bɐɾɔhɐl  moɾ ehon pɔɽɐlɛhɐ kɔɾɐ ucɪt̪
বেমালা রাইত হইছে এহন মোর ছোডো বুইন ঘুমাইতে যাইবে,অনেক রাত হয়েছে এখন আমার ছোট বোন ঘুমাতে যাবে,Barishal ,Barishal  বেমালা রাইত হইছে এহন মোর ছোডো বুইন ঘুমাইতে যাইবে,bɐɾɔhɐl  bemɐlɐ ɾɐ͡ɪ̯t̪o ho͡ɪ̯cʰe ehon moɾ cʰodo bu͡ɪ̯n gʱumɐ͡ɪ̯t̪e ɟɐ͡ɪ̯be
মোর পরিক্ষার আগে হগল কিছু লইয়া পড়াল্যাহা করতে হইবে,আমাকে পরিক্ষার আগে সব কিছু নিয়ে পড়ালেখা করতে হবে,Barishal ,Barishal  মোর পরিক্ষার আগে হগল কিছু লইয়া পড়াল্যাহা করতে হইবে,bɐɾɔhɐl  moɾ poɾɪkkʰɐɾ ɐge hɔgol kɪcʰu lɔ͡ɪ̯ʲɐ pɔɽɐlɛhɐ koɾt̪e ho͡ɪ̯be
মোর ছোডো ভাই ইস্কুলে যাইয়া দোস্তগো লগে কেসসা করে,আমার ছোট ভাই বিদ্যালয়ে  গিয়ে বন্ধুদের সাথে গল্প করে,Barishal ,Barishal  মোর ছোডো ভাই ইস্কুলে যাইয়া দোস্তগো লগে কেসসা করে,bɐɾɪʃɐl  moɾ cʰodo bʱɐ͡ɪ̯ ɪskule ɟɐ͡ɪ̯ʲɐ d̪ost̪ogo lɔge kesʃɐ koɾe
মোর দোস্ত ইস্কুলের মাডে পেরতেকদিন কিরকেট খ্যালে,আমার বন্ধু বিদ্যালয়ের  মাঠে প্রতিদিন ক্রিকেট খেলে,Barishal ,Barishal  মোর দোস্ত ইস্কুলের মাডে পেরতেকদিন কিরকেট খ্যালে,bɐɾɔhɐl  moɾ d̪ost̪o ɪskuleɾ mɐde peɾt̪ekd̪ɪn kɪɾɔket kʰɛle
এউক্কা ল্যাদা গেদু ফুটপাতে লাফাইতেয়াছে,একটি ছোট শিশু ফুটপাতে লাফাচ্ছে,Barishal ,Barishal  এউক্কা ল্যাদা গেদু ফুটপাতে লাফাইতেয়াছে,bɐɾɔhɐl  ɛ͡u̯kkɐ lɛd̪ɐ ged̪u pʰutpɐt̪e lɐpʰɐ͡ɪ̯t̪eʲɐcʰe
মোর বান্ধুবি হ্যার জামাইরে বেমালা ভালোবাসে,আমার বান্ধুবি তার স্বামীকে খুব ভালবাসে,Barishal ,Barishal  মোর বান্ধুবি হ্যার জামাইরে বেমালা ভালোবাসে,bɐɾɔhɐl  moɾ bɐnd̪ʱubɪ hɛɾ ɟɐmɐ͡ɪ̯ɾe bemɐlɐ bʱɐlobɐʃe
মোর বউ মোরে ভালবাসে না,আমার স্ত্রী আমাকে  ভালোবাসে না,Barishal ,Barishal  মোর বউ মোরে ভালবাসে না,bɐɾɔhɐl  moɾ bɔ͡u̯ moɾe bʱɐlbɐʃe nɐ
ইস্কুল জীবন গোনে মোর ভাইর লগে তোমার বুইনের পেরেম আল্লেহ,স্কুল জীবন থেকে আমার ভাইয়ের সাথে তোমার বোনের  প্রেম ছিলো,Barishal ,Barishal  ইস্কুল জীবন গোনে মোর ভাইর লগে তোমার বুইনের পেরেম আল্লেহ,bɐɾɔhɐl  ɪskul ɟɪbɔn gone moɾ bʱɐ͡ɪ̯ɾ lɔge t̪omɐɾ bu͡ɪ̯neɾ peɾem ɐlleh
মোর গ্যাছেকাইল বেমালা মাথা ব্যাথা করতেয়াছেলে,আমার গতকাল প্রচণ্ড মাথা ব্যথা করছিলো,Barishal ,Barishal  মোর গ্যাছেকাইল বেমালা মাথা ব্যাথা করতেয়াছেলে,bɐɾɔʃɐl  moɾ gɛcʰekɐ͡ɪ̯l bemɐlɐ mɐt̪ʰɐ bɛt̪ʰɐ koɾt̪eʲɐcʰele
মুই তোমার কোন কথা কিছুই বোঝতে পারলাম না,আমি তোমার কোন কথা কিছুই বুঝতে পারলাম না,Barishal ,Barishal  মুই তোমার কোন কথা কিছুই বোঝতে পারলাম না,bɐɾɔhɐl  mu͡ɪ̯ t̪omɐɾ kon kɔt̪ʰɐ kɪcʰu͡ɪ̯ boɟʱot̪e pɐɾlɐm nɐ
তোমার হাশির ধারে মোর হগল কিছু ঠইজ্ঞা যায়,তোমার  হাশির কাছে আমার সব কিছু হার মেনে যায়,Barishal ,Barishal  তোমার হাশির ধারে মোর হগল কিছু ঠইজ্ঞা যায়,bɐɾɔʃɐl  t̪omɐɾ hɐʃɪɾ d̪ʱɐɾe moɾ hɔgol kɪcʰu tʰo͡ɪ̯ggɐ ɟɐe̯
তোমার চক্ষু দুইডা বেমালা সুন্দর,তোমার  চোখ দুটো অনেক সুন্দর,Barishal ,Barishal  তোমার চক্ষু দুইডা বেমালা সুন্দর,bɐɾɔhɐl  t̪omɐɾ cokkʰu d̪u͡ɪ̯dɐ bemɐlɐ ʃund̪ɔɾ
তোমার লগে ম্যালা দিন পর দ্যাহা,তোমার সাথে অনেক দিন পর  দেখা,Barishal ,Barishal  তোমার লগে ম্যালা দিন পর দ্যাহা,bɐɾɔhɐl  t̪omɐɾ lɔge mɛlɐ d̪ɪn pɔɾ d̪ɛhɐ
পোলাডা বিদ্যাশে যাইয়া পড়াল্যাহা করার হপন দ্যাহে,ছেলেটি  বিদেশে গিয়ে পড়ালেখা করার স্বপ্ন দেখে,Barishal ,Barishal  পোলাডা বিদ্যাশে যাইয়া পড়াল্যাহা করার হপন দ্যাহে,bɐɾɔhɐl  polɐdɐ bɪd̪d̪ɐʃe ɟɐ͡ɪ̯ʲɐ pɔɽɐlɛhɐ kɔɾɐɾ hɔpon d̪ɛhe
তোমার লগে কথা কইয়া মোর বেমালা ভালো লাগছে,তোমার  সাথে কথা বলে আমার অনেক ভালো লাগলো,Barishal ,Barishal  তোমার লগে কথা কইয়া মোর বেমালা ভালো লাগছে,bɐɾɔhɐl  t̪omɐɾ lɔge kɔt̪ʰɐ ko͡ɪ̯ʲɐ moɾ bemɐlɐ bʱɐlo lɐgcʰe
তোমার দোস্তের লগে পরিচিত হইয়া ভালো লাগছে,তোমার বন্ধুর সাথে পরিচিত হয়ে  ভালো লাগলো,Barishal ,Barishal  তোমার দোস্তের লগে পরিচিত হইয়া ভালো লাগছে,bɐɾɔhɐl  t̪omɐɾ d̪ost̪eɾ lɔge poɾɪcɪt̪o ho͡ɪ̯ʲɐ bʱɐlo lɐgcʰe
মোর আব্বা আর চাচার লগে জায়গা জমি লইয়া কাইজ্জা হয়,আমার আব্বু আর চাচার মধ্যে জায়গা জমি নিয়ে ঝগড়া হয়,Barishal ,Barishal  মোর আব্বা আর চাচার লগে জায়গা জমি লইয়া কাইজ্জা হয়,bɐɾɔhɐl  moɾ ɐbbɐ ɐɾ cɐcɐɾ lɔge ɟɐʲgɐ ɟomɪ lɔ͡ɪ̯ʲɐ kɐ͡ɪ̯ɟɟɐ hɔe̯
ব্যাডাডা কয় দিন আগে বিয়া করছে,লোকটি কিছু দিন আগে  বিয়ে করেন,Barishal ,Barishal  ব্যাডাডা কয় দিন আগে বিয়া করছে,bɐɾɔhɐl  bɛdɐdɐ kɔe̯ d̪ɪn ɐge bɪʲɐ koɾcʰe
পোরথোম তোমারে এউক্কা বইয়ের দোকানে যাইতে হইবে,প্রথমে তোমাকে একটি বইয়ের দোকানে যেতে হবে,Barishal ,Barishal  পোরথোম তোমারে এউক্কা বইয়ের দোকানে যাইতে হইবে,bɐɾɔhɐl  poɾt̪ʰom t̪omɐɾe ɛ͡u̯kkɐ bo͡ɪ̯ʲeɾ d̪okɐne ɟɐ͡ɪ̯t̪e ho͡ɪ̯be
বেশি কিছু কয়ার আগেই চোউখে পানি চইল্লা আইছে,বেশি কিছু বলার আগেই  আবেগে চোখে পানি চলে আসছে,Barishal ,Barishal  বেশি কিছু কয়ার আগেই চোউখে পানি চইল্লা আইছে, bɐɾɔhɐl  beʃɪ kɪcʰu kɔʲɐɾ ɐge͡ɪ̯ co͡u̯kʰe pɐnɪ co͡ɪ̯llɐ ɐ͡ɪ̯cʰe
আমনের দোস্তগো খামার দেওয়ার সুযোগ কইররা দেন,আপনার বন্ধুদের গালি দেওয়ার সুযোগ করে দিন,Barishal ,Barishal  আমনের দোস্তগো খামার দেওয়ার সুযোগ কইররা দেন,bɐɾɔhɐl  ɐmoneɾ d̪ost̪ogo kʰɐmɐɾ d̪e͡o̯ʷɐɾ ʃuɟog ko͡ɪ̯ɾɾɐ d̪ɛn
বেমালা মানু এহনো পাছে লাইনে খারাইয়া আছে,অনেক মানুষ এখনো পেছনে লাইনে দাঁড়িয়ে আছে,Barishal ,Barishal  বেমালা মানু এহনো পাছে লাইনে খারাইয়া আছে,bɐɾɔhɐl  bemɐlɐ mɐnu ehono pɐcʰe lɐ͡ɪ̯ne kʰɐɾɐ͡ɪ̯ʲɐ ɐcʰe
এউক্কা মাতারি মইরা গ্যাছে,একজন মহিলা  মারা গেছেন,Barishal ,Barishal  এউক্কা মাতারি মইরা গ্যাছে,bɐɾɔhɐl  e͡u̯kkɐ mɐt̪ɐɾɪ mo͡ɪ̯ɾɐ gɛcʰe
আমনে এত খয়রাতি আগে কিরলইজ্ঞা কন নাই,আপনি  এত গরীব আগে কেন বলেননি,Barishal ,Barishal  আমনে এত খয়রাতি আগে কিরলইজ্ঞা কন নাই,bɐɾone ɛt̪o kʰɔʲɾɐt̪ɪ ɐge kɪɾolɪggɐ kon nɐ͡ɪ̯
তুমি ছাড়া এই পিরথিবিতে মোর আর কেউ নাই,তুমি ছাড়া এই পৃথিবীতে আমার আর কেউ নেই,Barishal ,Barishal  তুমি ছাড়া এই পিরথিবিতে মোর আর কেউ নাই,bɐɾɔhɐl  t̪umɪ cʰɐɽɐ e͡ɪ̯ pɪɾot̪ʰɪbɪt̪e moɾ ɐɾ ke͡u̯ nɐ͡ɪ̯
মুই আগেই কইছি তোমারে লইয়া বিদ্যাশ ঘোরতে চাই,আমি আগেই বলেছি তোমাকে নিয়ে বিদেশ ঘুরতে চাই,Barishal ,Barishal  মুই আগেই কইছি তোমারে লইয়া বিদ্যাশ ঘোরতে চাই,bɐɾɪhɐl  mu͡ɪ̯ ɐge͡ɪ̯ ko͡ɪ̯cʰɪ t̪omɐɾe lɔ͡ɪ̯ʲɐ bɪd̪d̪ɐʃ gʱoɾt̪e cɐ͡ɪ̯
মোর মায় মোরে বেবাকটির সামনে পিডাইতে পিডাইতে বাড়ি লইয়া আইছে,আমার আম্মু আমাকে সবার  সামনে মারতে মারতে বাসায় নিয়ে আসে,Barishal ,Barishal  মোর মায় মোরে বেবাকটির সামনে পিডাইতে পিডাইতে বাড়ি লইয়া আইছে,bɐɾɔhɐl  moɾ mɐe̯ moɾe bebɐktɪɾ ʃɐmne pɪdɐ͡ɪ̯t̪e pɪdɐ͡ɪ̯t̪e bɐɽɪ lɔ͡ɪ̯ʲɐ ɐ͡ɪ̯cʰe
আমনে কি জানেন এইহানে ম্যালা পোলা কমেন্ট পড়তে আইবে,আপনি কি জানেন  এখানে অনেক ছেলে কমেন্ট পড়তে আসবে,Barishal ,Barishal  আমনে কি জানেন এইহানে ম্যালা পোলা কমেন্ট পড়তে আইবে,bɐɾɔhɐl  ɐmone kɪ ɟɐnen e͡ɪ̯hɐne mɛlɐ polɐ kɔment poɽt̪e ɐ͡ɪ̯be
আবেগের ভালবাসা কাউরে দেওয়া উচিত না,আবেগের ভালোবাসা কাউকে দেওয়া উচিত না,Barishal ,Barishal  আবেগের ভালবাসা কাউরে দেওয়া উচিত না,bɐɾɔhɐl  ɐbegeɾ bʱɐlbɐʃɐ kɐ͡u̯ɾe d̪e͡o̯ʷɐ ucɪt̪ nɐ
একদিন বিবেকের ধারে ভালোবাসা ঠইজ্ঞা যাইবে,একদিন বিবেকের কাছে আবেগের ভালোবাসা হেরে যাবে,Barishal ,Barishal  একদিন বিবেকের ধারে ভালোবাসা ঠইজ্ঞা যাইবে,bɐɾɔhɐl  ɛkd̪ɪn bɪbekeɾ d̪ʱɐɾe bʱɐlobɐʃɐ tʰo͡ɪ̯ggɐ ɟɐ͡ɪ̯be
মোর মনের ভালবাসা আজিবন তোমার লইজ্ঞা থাইক্কা যাইবে,আমার মনের ভালোবাসা চিরদিন তোমার জন্য থেকে যাবে,Barishal ,Barishal  মোর মনের ভালবাসা আজিবন তোমার লইজ্ঞা থাইক্কা যাইবে,bɐɪʃɐl  moɾ moneɾ bʱɐlbɐʃɐ ɐɟɪbɔn t̪omɐɾ lo͡ɪ̯ggɐ t̪ʰɐ͡ɪ̯kkɐ ɟɐ͡ɪ̯be
জীবনে একলা একলা পথ চলা ম্যালা কঠিন,জীবনে একা একা পথ চলা অনেক কঠিন,Barishal ,Barishal  জীবনে একলা একলা পথ চলা ম্যালা কঠিন,bɐɾɔhɐl  ɟɪbone ɛklɐ ɛklɐ pɔt̪ʰ cɔlɐ mɛlɐ kotʰɪn
মোর জীবন মুই তোমারে লইয়া বাচার লইজ্ঞা দিমু,আমার জীবন আমি তোমাকে নিয়ে বাঁচার জন্য দিব,Barishal ,Barishal  মোর জীবন মুই তোমারে লইয়া বাচার লইজ্ঞা দিমু,bɐɪʃɐl  moɾ ɟɪbɔn mu͡ɪ̯ t̪omɐɾe lɔ͡ɪ̯ʲɐ bɐcɐɾ lo͡ɪ̯ggɐ d̪ɪmu
